NTD ID,Agency Name,Reporter Type,Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type
0R02-00389,City of Sandy,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00396,Mid-Columbia Economic Development District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00408,Wheeler County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R02-00409,Morrow County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R02-00410,Sherman County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R02-00411,Lake County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R02-00412,"Klamath Basin Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R02-00413,Gilliam County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R02-00421,Burns Paiute,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
0R04-00327,Valley Transit,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00340,"Senior Citizens of Kodiak, Inc.",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00345,Glacier Valley Transit,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00354,"Catholic Community Service, Sitka",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00358,Ketchikan Gateway Borough,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00378,"Central Area Rural Transit System, Inc.",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00382,Inter-Island Ferry Authority,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00387,City of Bethel,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00391,City and Borough of Juneau,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
0R04-00399,Sunshine Transit ,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
10040,Southeast Area Transit District,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10042,Valley Transit District,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10049,Greater New Haven Transit District,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10050,Greater Bridgeport Transit Authority,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10051,Housatonic Area Regional Transit ,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10057,Norwalk Transit District,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10063,Middletown Transit District,Small Systems Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10069,"Regional Transportation Program, Inc.",Small Systems Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10098,"Western Maine Transportation Services, Inc.",Full Reporter: Operating,Urban,1R03,Maine Department of Transportation,State Reporter
10099,York County Community Action Corporation,Small Systems Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10107,Milford Transit District,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10122,"Jalbert Leasing, Inc. ",Small Systems Reporter,Urban,1R04,New Hampshire Department of Transportation,State Reporter
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter: Operating,Urban,1R01,Connecticut Department of Transportation,State Reporter
10133,"Boston Express Bus, Inc.",Small Systems Reporter,Urban,1R04,New Hampshire Department of Transportation,State Reporter
10134,Penquis Community Action Program,Small Systems Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10140,Estuary Transit District,Small Systems Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10184,The Mashpee Wampanoag Tribe,Small Systems Reporter,Tribe,1R02,Massachusetts Department of Transportation ,State Reporter
11152,Mashantucket Pequot Tribal Nation,Small Systems Reporter,Tribe,1R01,Connecticut Department of Transportation,State Reporter
1R01-10131,Northwestern CT Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter
1R01-10149,Windham Region Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter
1R01-10156,Northeastern Connecticut Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter
1R01-11176,"Ability Beyond Disability, Inc.",Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11177,Town of Ashford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11178,Town of Woodbridge,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11179,Town of Wolcott,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11180,Town of Windsor Locks,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11181,Town of Windsor,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11182,Town of Watertown,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11183,Town of Waterford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11184,Town of Trumbull,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11185,Town of Suffield,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11186,Town of Stratford Senior Services,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11187,Town of Stafford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11188,Town of Sprague,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11189,Town of Southbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11190,Town of South Windsor,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11191,Town of Somers,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11192,Town of Simsbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11193,Town of Sherman,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11194,Town of Roxbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11195,Town of Rocky Hill,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11196,Town of Prospect,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11197,Town of Plainville,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11198,Town of Orange,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11199,Town of New Milford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11200,Town of Montville,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11201,Town of Middlebury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11202,Town of Marlborough,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11203,Town of Mansfield,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11204,Town of Manchester,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11205,Town of Litchfield,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11206,Town of Ledyard,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11207,Town of Hebron,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11208,Town of Groton,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11209,Town of Griswold,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11210,Town of Goshen (CT),Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11211,Town of Glastonbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11212,Town of Farmington,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11213,Town of Enfield,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11214,Town of East Windsor,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11215,Town of Cromwell,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11216,Town of Colchester,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11217,Town of Cheshire,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11218,Town of Canton,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11219,Town of Beacon Falls,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11220,Town of Avon (CT),Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11221,City of Torrington - Sullivan Senior Center,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11222,"Sunrise Northeast, Inc.",Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11223,Transportation Assoc. of Greenwich,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11224,The Wheels Program of New Milford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11225,"The Arc of Litchfield County, Inc",Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11226,"Sphere, Inc",Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11227,Norwalk Senior Center,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11228,Hockanum Valley Community Council,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R01-11229,Geer Nursing & Rehabilitation Center,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter
1R02-10173,Franklin Regional Transit Authority,Rural Reporter,Rural,1R02,Massachusetts Department of Transportation ,State Reporter
1R03-10142,"Aroostook Regional Transportation Systems, Inc.",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10152,City of Bath,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10153,Town of Cranberry Isles,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10155,Kennebec Valley Community Action Program,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10167,Isle au Haut Boat Services,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10169,Waldo Community Action Partners,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10175,"Downeast Transportation, Inc. ",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-10177,"West's Transportation, Inc. ",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-11161,"Downeast Community Partners, Inc.",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R03-11235,Maine State Ferry Service,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
1R04-10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R04-10159,"VNA Home Healthcare, Hospice & Community Service",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
1R04-10161,Belknap-Merrimack CAP/Concord Area Transit,Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
1R04-10170,"Tri-County CAP, Inc./Carroll County Transit",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
1R04-10172,"Tri-County CAP, Inc./North Country Transit",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11156,Southwestern Community Services Transportation,Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11162,Community Action Program of Strafford County,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11163,Behavioral Health & Developmental Services ,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11164,Easter Seals Special Transit Service,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11165,Genesis Behavioral Health ,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11166,"Grafton County Senior Citizens Council, Inc. ",Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11168,Granite State Independent Living,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11171,Lamprey Health Care,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11173,Monadnock Adult Care Center,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11174,Riverbend Community Mental Health,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R04-11175,Southern NH Services,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
1R06-10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R06-10143,Tri-Valley Transit Inc,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R06-10144,"Southeast Vermont Transit, Inc",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R06-10148,Rural Community Transportation,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R06-10151,Green Mountain Community Network,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R06-10154,Marble Valley Regional Transit District,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
1R06-10174,Vermont Association for the Blind and Visually Impaired,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
20006,City of Long Beach,Full Reporter: Operating,Urban,2R02,New York Department of Transportation,State Reporter
20084,County of Rockland ,Full Reporter: Operating,Urban,2R02,New York Department of Transportation,State Reporter
20085,Town of Clarkstown ,Small Systems Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20096,Putnam County ,Full Reporter: Operating,Urban,2R02,New York Department of Transportation,State Reporter
20199,County of Atlantic,Full Reporter: Operating,Urban,2R01,NJ Transit,State Reporter
20211,County of Mercer,Small Systems Reporter,Urban,2R01,NJ Transit,State Reporter
20212,County of Hunterdon,Small Systems Reporter,Urban,2R01,NJ Transit,State Reporter
2R01-20197,Meadowlands Transportation Brokerage Corporation,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-20928,Warren County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
2R01-20933,Monmouth County Division of Transportation,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
2R01-20944,Salem County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
2R01-20950,Sussex County Transit,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
2R01-22931,Bayonne Economic Opportunity Foundation,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22932,Borough of Carteret,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22933,Borough of Cliffside Park Housing Authority,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22934,Borough of Roselle Park,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22936,City of Margate (NJ),Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22937,City of Passaic,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22938,County of Passaic,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22939,City of Plainfield,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22940,City of Pleasantville,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22941,County of Ocean,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22942,County of Union,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22943,Long Beach Island Community Center Inc.,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22944,"The Greater Mercer Transportation Management Association, Inc.",Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22945,Town of Kearny,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22946,Township of Cranford,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22948,Township of Nutley,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22949,Township of South Brunswick,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22951,Township of Union,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22952,Town of Secaucus,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22953,Township of Bloomfield,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22954,Township of Cherry Hill,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22955,Township of Edison,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22956,Township of Ewing,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
2R01-22957,Township of Jefferson,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
