State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,State Name,State,Subrecipient Type,FY Start Date,FY End Date,Event Type,Location,Reportable Events,Major Safety and Security Events,Non Major Events (non-injury),Operator Injuries,Other Transit Worker Injuries,Other Injuries,Total Injuries,Operator Fatalities,Other Transit Worker Fatalities,Other Fatalities,Total Fatalities,Notes
,401,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,414,Ninilchik Village,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,416,Boise State University,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,417,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,420,Native Village of Unalakleet,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,455,Samish Indian Nation,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
0R01,0R01-00311,Mountain Rides Transportation Authority,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-00341,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-00342,Valley Vista Care Corporation,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-00347,SMART Transit,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-00357,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-00403,Lemhi Ride,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-00404,Shoshone County,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R01,0R01-80188,Southern Teton Area Rapid Transit,Rural Reporter,Rural,Idaho Transportation Department,ID,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00290,City of Cottage Grove,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00296,Tillamook County Transportation District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00300,City of Silverton,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00301,South Clackamas Transportation District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00307,Coos County Area Transit,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,2,,,,,,3,,,,0,
0R02,0R02-00308,Curry County Public Transit Service District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00310,Lincoln County Transportation Service District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00313,Grant County Transportation District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00319,Hood River County Transportation District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00321,Yamhill County,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,1,,,,,,2,,,,0,
0R02,0R02-00323,Malheur Council on Aging and Community Services,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00330,City of Canby,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00331,Sunset Empire Transportation District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00339,Basin Transit Service,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00343,Community Connection of Northeast Oregon,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,11,,,,,,4,,,,0,
0R02,0R02-00348,"Senior Citizens of Sweet Home, Inc.",Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00351,Douglas County,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,2,,,,,,2,,,,0,
0R02,0R02-00359,City of Pendleton,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00360,City of Woodburn,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
0R02,0R02-00363,Clackamas County Social Services,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00374,Harney County,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00375,Columbia County,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00377,City of Lebanon,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00389,City of Sandy,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R02,0R02-00396,Mid-Columbia Economic Development District,Rural Reporter,Rural,Oregon Department of Transportation ,OR,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00033,Senior Services of Snohomish County,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00282,Garfield County Transportation Program,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00285,Thurston Regional Planning Council,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00286,Rural Resources Community Action,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00287,People for People Moses Lake,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00294,Pullman Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00297,People for People Yakima,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00298,Island Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,4,,,,,,0,,,,0,
0R03,0R03-00299,Klickitat County Senior Services,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00303,Clallam Transit System,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,4,,,,,,4,,,,0,
0R03,0R03-00309,Grant County Transportation Authority,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,2,,,,,,0,,,,0,
0R03,0R03-00312,Hopesource,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
0R03,0R03-00314,Grays Harbor Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,7,,,,,,2,,,,0,
0R03,0R03-00315,Mason County Transportation Authority,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
0R03,0R03-00316,Jefferson Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00317,Mt Si Senior Center,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00322,Pacific Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,2,,,,,,1,,,,0,
0R03,0R03-00332,Okanogan County Transportation & Nutrition,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00336,Skamania County Senior Services,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00364,Twin Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
0R03,0R03-00366,White Pass Community Services Coalition,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00368,Lower Columbia Community Action Council,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00371,Wahkiakum County Health & Human Services,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00383,Columbia County Public Transportation,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
0R03,0R03-00386,Special Mobility Services,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00398,Coastal Community Action Program,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00405,Okanogan Transit,Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R03,0R03-00406,Smith6 LLC (Provide-A-Ride),Rural Reporter,Rural,Washington State Department of Transportation,WA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00327,Valley Transit,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00340,"Senior Citizens of Kodiak, Inc.",Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00345,Glacier Valley Transit,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00354,"Catholic Community Service, Sitka",Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00358,Ketchikan Gateway Borough,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00378,"Central Area Rural Transit System, Inc.",Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00382,Inter-Island Ferry Authority,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00387,City of Bethel,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00391,City and Borough of Juneau,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
0R04,0R04-00399,Sunshine Transit ,Rural Reporter,Rural,Alaska Department of Transportation,AK,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
,10002,Manchester Transit Authority,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10015,Lewiston-Auburn Transit Committee,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10063,Middletown Transit District,Reduced Reporter,Urban,,,,,,,,5,,,,,,3,,,,0,
,10069,"Regional Transportation Program, Inc.",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10096,City of Bangor,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10099,York County Community Action Corporation,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10112,City of South Portland,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,Reduced Reporter,Urban,,,,,,,,2,,,,,,1,,,,0,
,10119,University Of New Hampshire,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10123,Greater Derry Salem Cooperative Alliance for Regional Transportation,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10132,State of Connecticut - CTTransit - Nason - Torrington-Winsted,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10133,"Boston Express Bus, Inc.",Reduced Reporter,Urban,,,,,,,,2,,,,,,3,,,,0,
,10134,Penquis Community Action Program,Reduced Reporter,Urban,,,,,,,,1,,,,,,1,,,,0,
,10140,Estuary Transit District,Reduced Reporter,Urban,,,,,,,,5,,,,,,1,,,,0,
,10178,Town of Bedford,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10179,City of Beverly,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10180,City of Burlington,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10181,Town of Lexington,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10182,"Mission Hill Link, Inc.",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,10184,The Mashpee Wampanoag Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,11140,Houlton Band of Maliseet Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,11146,Aroostook Band of Micmacs,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,11152,Mashantucket Pequot Tribal Nation,Reduced Reporter,Tribe,,,,,,,,1,,,,,,1,,,,0,
,11159,"Blooms Bus Lines, Inc.",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,11160,Peter Pan Bus Lines,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
1R01,1R01-10131,Northwestern CT Transit District,Rural Reporter,Rural,Connecticut Department of Transportation,CT,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R01,1R01-10149,Windham Region Transit District,Rural Reporter,Rural,Connecticut Department of Transportation,CT,Rural General Public Transit,,,,,13,,,,,,0,,,,0,
1R01,1R01-10156,Northeastern Connecticut Transit District,Rural Reporter,Rural,Connecticut Department of Transportation,CT,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R02,1R02-10145,Martha's Vineyard Transit Authority,Rural Reporter,Rural,Massachusetts Department of Transportation ,MA,Rural General Public Transit,,,,,1,,,,,,2,,,,0,
1R02,1R02-10162,Nantucket Regional Transit Authority,Rural Reporter,Rural,Massachusetts Department of Transportation ,MA,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
1R02,1R02-10173,Franklin Regional Transit Authority,Rural Reporter,Rural,Massachusetts Department of Transportation ,MA,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
1R03,1R03-10142,"Aroostook Regional Transportation Systems, Inc.",Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10152,City of Bath,Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10153,Town of Cranberry Isles,Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10155,Kennebec Valley Community Action Program,Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10167,Isle au Haut Boat Services,Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10169,Waldo Community Action Partners,Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10175,"Downeast Transportation, Inc. ",Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-10177,"West's Transportation, Inc. ",Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-11161,"Downeast Community Partners, Inc.",Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R03,1R03-11235,Maine State Ferry Service,Rural Reporter,Rural,Maine Department of Transportation,ME,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R04,1R04-10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,New Hampshire Department of Transportation,NH,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R04,1R04-10159,"VNA Home Healthcare, Hospice & Community Service",Rural Reporter,Rural,New Hampshire Department of Transportation,NH,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R04,1R04-10161,Belknap-Merrimack CAP/Concord Area Transit,Rural Reporter,Rural,New Hampshire Department of Transportation,NH,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R04,1R04-10170,"Tri-County CAP, Inc./Carroll County Transit",Rural Reporter,Rural,New Hampshire Department of Transportation,NH,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R04,1R04-10172,"Tri-County CAP, Inc./North Country Transit",Rural Reporter,Rural,New Hampshire Department of Transportation,NH,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R04,1R04-11156,Southwestern Community Services Transportation,Rural Reporter,Rural,New Hampshire Department of Transportation,NH,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R06,1R06-10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R06,1R06-10143,Tri-Valley Transit Inc,Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,2,,,,,,2,,,,0,
1R06,1R06-10144,"Southeast Vermont Transit, Inc",Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R06,1R06-10148,Rural Community Transportation,Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
1R06,1R06-10151,Green Mountain Community Network,Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,1,,,,,,0,,,,1,
1R06,1R06-10154,Marble Valley Regional Transit District,Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
1R06,1R06-10174,Vermont Association for the Blind and Visually Impaired,Rural Reporter,Rural,Vermont Agency of Transportation,VT,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
,20005,Chemung County,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20085,Town of Clarkstown ,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20120,City of Glens Falls ,Reduced Reporter,Urban,,,,,,,,1,,,,,,1,,,,0,
,20143,Town of Newburgh,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20148,Newburgh Beacon Bus Corporation,Reduced Reporter,Urban,,,,,,,,1,,,,,,1,,,,0,
,20160,"Community Transit, Inc. ",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20165,"Olympia Trails Bus Company, Inc.",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20176,Kaser Bus Service,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20179,"Leprechaun Lines, Inc.",Reduced Reporter,Urban,,,,,,,,1,,,,,,0,,,,0,
,20182,Town of Highlands ,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20183,Town of Monroe ,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20187,Village of Kiryas Joel,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20194,East Windsor Township,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20195,Gloucester County,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20200,South Jersey Transportation Authority,Reduced Reporter,Urban,,,,,,,,6,,,,,,6,,,,0,
,20201,County of Cumberland,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20203,Cape May County,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20208,County of Burlington,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20210,Morris County Human Services,Reduced Reporter,Urban,,,,,,,,10,,,,,,1,,,,0,
,20211,County of Mercer,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20212,County of Hunterdon,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20213,City of Mechanicville,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20214,Town of Warwick ,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20215,City of Watertown NY,Reduced Reporter,Urban,,,,,,,,1,,,,,,1,,,,0,
,20216,Orange County,Reduced Reporter,Urban,,,,,,,,2,,,,,,0,,,,0,
,20219,A&C Bus Corporation & Montgomery & Westside Owners Association,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,20220,Broadway Bus Corporation,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,22929,Seneca Nation of Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
2R01,2R01-20928,Warren County,Rural Reporter,Rural,NJ Transit,NJ,Rural General Public Transit,,,,,1,,,,,,2,,,,0,
2R01,2R01-20933,Monmouth County Division of Transportation,Rural Reporter,Rural,NJ Transit,NJ,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R01,2R01-20944,Salem County,Rural Reporter,Rural,NJ Transit,NJ,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R01,2R01-20950,Sussex County Transit,Rural Reporter,Rural,NJ Transit,NJ,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R02,2R02-20925,Lewis County,Rural Reporter,Rural,New York Department of Transportation,NY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R02,2R02-20926,Schoharie County Public Transportation,Rural Reporter,Rural,New York Department of Transportation,NY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R02,2R02-20931,Greene County,Rural Reporter,Rural,New York Department of Transportation,NY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R02,2R02-20932,Essex County Department of Community Development,Rural Reporter,Rural,New York Department of Transportation,NY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
2R02,2R02-20934,Orleans Transit Service,Rural Reporter,Rural,New York Department of Transportation,NY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
