NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Contractee Agency Name,Contractee Company Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by,VOMS Under Contract,Months Seller Operated in FY,PT Fare Revenues/Passenger Fees,Passenger Out of Pocket Expenses,Direct Payment/Agency Subsidy,Contract Capital Leasing Expenses,Other Operating Expenses Incurred by the Buyer,Total Modal Expenses,Other Reconciling Item Expenses Incurred by the Buyer
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,ARC,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,63540,,8610,0,11172,83322,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,Merry Glen,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,15360,,5345,0,6935,27640,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,Latah,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,12,14820,,3550,0,4606,22976,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,MV  Public Transportation Inc,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,36,12,71503,,3502102,74830,495317,4143752,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,A.G.E.S.,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,11520,,5345,0,6935,23800,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,Compass,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,12,5040,,2094,0,2717,9851,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,40,,Central Puget Sound Regional Transit Authority,,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,116,12,11061723,,50713326,218545,0,61993594,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,56,12,266504,,7093113,168210,3407918,10935745,0
6,City of Yakima,Full Reporter,Urban,CB,PT,,,,A&A Motorcoach,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,2,12,249416,,481585,22932,57722,811655,0
6,City of Yakima,Full Reporter,Urban,DR,PT,,,,Medstar,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,24,12,95450,,893907,89390,271327,1350074,0
7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,Medical Transportation Management,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,Y,"Buyer provides Call center building, and maintenance for building.  Maintenance Facility at building provided, maintenance service provided by contractor.",In This Report,,Buyer,54,12,370637,,4241553,0,470036,5082226,0
7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,1498,,20898,0,2316,24712,0
7,Lane Transit District,Full Reporter,Urban,DT,PT,,,,Medical Management Transportation,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,Y,RideSource Call center also used by brokerage.,In This Report,,Buyer,71,12,0,,10392091,5196045,574262,16162398,0
7,Lane Transit District,Full Reporter,Urban,MB,PT,,,,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,22719,,198442,0,1856,223017,0
7,Lane Transit District,Full Reporter,Urban,MB,PT,,,,River Cities Taxi,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,2,12,11552,,285669,0,6855,304076,0
7,Lane Transit District,Full Reporter,Urban,VP,PT,,,,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,16,12,122278,64286,75680,31881,60860,354985,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,,,,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,219,12,8288165,,24774687,0,11594468,44657320,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DT,PT,,,,Broadway Cab,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,50,12,1048500,,4250821,127525,1079442,6506288,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,58,,City of Portland,,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Seller,12,12,1070657,,11394721,0,0,12465378,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,,,,Portland & Western Railroad,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,4,12,303185,,2324244,0,4483790,7111219,
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,,,,Eagle Senior Center,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,0,,133088,0,173496,306584,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,,,,Harvest Transit,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,0,,157745,0,173496,331241,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,,,,METRO Community Services,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,5,12,0,,431016,0,433738,864754,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,,,,Supportive Housing and Innovating Partners,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,5,12,0,,200432,0,260243,460675,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,,,,First Transit Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,14,12,107830,,1628113,0,723183,2459126,0
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,,,,First Transit Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,43,12,838555,,6497260,0,4418140,11753955,0
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,,,,MV Transportion,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,40,12,685839,,4484705,0,1208950,6379494,0
12,Municipality of Anchorage,Full Reporter,Urban,MB,PT,,,,MV Transportion,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,10,6,233684,,914839,0,1201030,2349553,0
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,,,,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,82,12,915368,260043,276520,606974,118488,2177393,0
16,RiverCities Transit,Full Reporter,Urban,DR,PT,,,,Paratransit Services,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,17,12,35305,,1249893,0,495748,1780946,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,,,,The ARC of the Tri-Cities,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,33,12,43950,,1333723,0,155718,1533391,0
20,Kitsap Transit,Full Reporter,Urban,DT,PT,,,,City Cab Taxi Services LLC,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,3012,,57779,108,22215,83114,0
20,Kitsap Transit,Full Reporter,Urban,DT,PT,,,,Yellow Cab,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,3682,,70620,132,27152,101586,0
20,Kitsap Transit,Full Reporter,Urban,FB,PT,,,,Kitsap Harbor Tours,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,2,12,759525,,971179,33000,717059,2480763,0
21,Whatcom Transportation Authority,Full Reporter,Urban,DT,PT,,,,"KLDW Enterprises, LLC dba Western Van Service",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,3,12,276,,101282,50641,8301,160500,0
23,City of Seattle,Full Reporter,Urban,MG,PT,,,,Seattle Monorail Services LLC,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,,Seller,8,12,4151874,,-860482,0,911259,4202651,0
25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,,,,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,54,12,402005,,4843787,120000,2465686,7831478,11243
25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,Enterprise,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,30,12,215694,95128,208379,230421,15299,764921,0
28,County of Pierce,Full Reporter,Urban,FB,PT,,,,HMS - Paciific Navigation Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,2778623,,2827824,0,3761928,9368375,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,40,,Central Puget Sound Regional Transit Authority,,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,52,12,9579080,,19835763,300000,0,29714843,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,,,,First Transit - CT Commuter,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,54,12,6332644,,6970668,0,4859082,18162394,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,,,,Homage Senior Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,42,12,431663,,7943530,0,1030745,9405938,0
34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,Paratransit Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,19,12,111858,,1600836,0,679690,2392384,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,1,,King County Department of Metro Transit,,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,Is a Public Entity,Buyer,106,12,15970891,,52973384,91208,8020664,77056147,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,3,,Pierce County Transportation Benefit Area Authority,,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,Is a Public Entity,Buyer,116,12,11181649,,50713326,218545,7658566,69772086,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,29,,Snohomish County Public Transportation Benefit Area Corporation,,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,Is a Public Entity,Buyer,52,12,9682932,,19835763,300000,4085908,33904603,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,,,,Burlington Northern Santa Fe,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,70,12,17332381,,13348826,0,43530611,74211818,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,1,,King County Department of Metro Transit,,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,Is a Public Entity,Buyer,54,12,43602193,,59640284,184927,71760754,175188158,0
43,Link Transit,Full Reporter,Urban,DR,PT,,,,Lake Chelan Hospital,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,N,,In This Report,,Seller,2,12,431,,40931,1876,7436,50674,0
47,City of Corvallis,Reduced Reporter,Urban,DR,PT,65,,Benton County,,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In Another Report,Is a Public Entity,Buyer,4,12,0,,44366,4550,7534,56450,0
47,City of Corvallis,Reduced Reporter,Urban,MB,PT,,,,MTR Western,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,11,12,0,,2301454,22185,693855,3017494,0
55,Kootenai County,Reduced Reporter,Urban,DR,PT,,,,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,4,12,0,,338767,10543,111917,461227,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,231,,Confederated Tribes of Warm Springs,,The Reporter is the Seller,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,Is a Public Entity,Seller,1,12,3919,,149256,0,0,153175,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,Paratransit Services Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,9,12,50907,,584856,0,609780,1245543,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,231,,Confederated Tribes of Warm Springs,,The Reporter is the Seller,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,Is a Public Entity,Seller,1,12,2388,,47245,0,0,49633,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,,,,Paratransit Services Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,13,12,356866,,1212031,0,1278901,2847798,0
58,City of Portland,Full Reporter,Urban,SR,PT,8,,Tri-County Metropolitan Transportation District of Oregon,,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,Is a Public Entity,Buyer,12,12,1070657,,11394721,0,7592345,20057723,0
58,City of Portland,Full Reporter,Urban,TR,PT,,,,OHSU/Doppelmayr,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,764384,,2802181,0,228897,3795462,0
59,Josephine County,Reduced Reporter,Urban,MB,DO,,,,City of Grants Pass,The Reporter is the Seller,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,4,12,0,,153238,4904,0,158142,0
63,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,,,,German Graves d.b.a GG Taxi Service,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,6080,,72000,36000,74146,188226,0
63,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,,,,"MV Transportation, Inc.",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,12,0,,82281,0,79984,162265,0
65,Benton County,Reduced Reporter,Urban,CB,PT,,,,"Benton County Dial-a-Bus, Inc.",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,8,12,31728,,245268,0,190948,467944,0
65,Benton County,Reduced Reporter,Urban,DR,PT,47,,City of Corvallis,,The Reporter is the Seller,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,Is a Public Entity,Buyer,4,12,0,,44366,4550,0,48916,0
65,Benton County,Reduced Reporter,Urban,DR,PT,,,,"Benton County Dial-a-Bus, Inc.",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,8,12,484244,,622812,0,557663,1664719,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Broadway Cab,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,10,12,0,,185930,92965,8898,287793,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,A-1 Medical Transport,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,28,12,0,,542019,271009,25939,838967,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Metro West,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,0,,4175,2087,200,6462,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Wapato Shores,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,8,12,0,,191051,95525,9143,295719,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Willamette Valley Transport,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,6,12,0,,65172,32586,3119,100877,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,All-Med Transit,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,5,12,0,,20995,10497,1005,32497,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Radio Cab,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,14,12,0,,233225,116612,11161,360998,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Easy Ride,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,2,1,0,,366,183,18,567,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Sidra Transportation,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,1,0,,141,72,7,220,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,WAV Transport,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,1,0,,123,62,6,191,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Asian Health and Service Center,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,6,0,,27867,13933,1334,43134,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Exceed Enterprises,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,0,,27442,13721,1313,42476,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,MFS,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,3,12,0,,699777,349888,33488,1083153,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Urban League,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,0,,21731,10865,1040,33636,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Clackamas County,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,0,,710258,355129,33989,1099376,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,,,,Community Connection,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,0,,3051,1525,146,4722,0
