NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Reporting Module,Mode,TOS,Element Type,Element Name,Element Count,Lane Miles,Linear Miles,Track Miles,Pre 1930,1930's,Pre 1940,1940's,1950's,1960's,1970's,1980's,1990's,2000's,2010's,2020's,Expected Service Years,Percent Agency Capital Responsibility,Allocation Units,Separate Asset Flag,Shared Capital Responsibility Other Party,Notes
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Substation Equipment,,,,,0,0,,0,0,0,0,0,0,0,100,,40,0,Percent,N,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Tangent - Revenue Service,,,,7.57,,,,,,,,,,,,,70,0,,N,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Track Under Performance Restriction,,,0,0,,,,,,,,,,,,,,,Track Miles,N,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Train Control & Signaling,,,,,0,0,,0,0,0,0,0,0,0,100,,40,0,Percent,N,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,TB,DO,,Exclusive Fixed Guideway,,116.9,,,,,,,,,,,,,,,,,,N,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,,Controlled Access High Intensity Busway,,0,,,,,,,,,,,,,,,,,,N,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,,Exclusive Fixed Guideway,,0,,,,,,,,,,,,,,,,,,N,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,,Exclusive High-Intensity Busway,,16.9,,,,,,,,,,,,,,,,,,N,,
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,RB,DO,,Exclusive Fixed Guideway,,15.4,,,,,,,,,,,,,,,,,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,At-Grade/Ballast (including expressway),,,,88.53,0,0,,0,0,0,0,22.19,24.6,30.18,11.56,,80,100,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,At-Grade/In-Street/Embedded,,,,18.37,0,0,,0,0,0,0,4.63,2.59,9.77,1.38,,20,100,Track Miles,N,,"100% of Track bed, in city owned ROW in Portland and Hillsboro."
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Below-Grade/Bored or Blasted Tunnel,,,,5.9,0,0,,0,0,0,0,0,5.9,0,0,,100,100,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Below-Grade/Cut-and-Cover Tunnel,,,,0.87,0,0,,0,0,0,0,0.34,0.53,0,0,,100,100,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Below-Grade/Retained Cut,,,,0.63,0,0,,0,0,0,0,0.05,0.58,0,0,,100,100,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Curve - Revenue Service,,,,42.34,,,,,,,,,,,,,30,100,,N,,"radius less than 1,500 feet"
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Double Crossover,6,,,,,,,,,,,,,,,,35,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Elevated/Concrete,,,,7.39,0,0,,0,0,0,0.06,0.97,0.79,2.85,2.72,,80,100,Track Miles,N,,includes timber
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Elevated/Retained Fill,,,,6.21,0,0,,0,0,0,0,1.53,1.76,2.18,0.74,,80,100,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Elevated/Steel Viaduct or Bridge,,,,1.08,0,0,,0,0,0,0,0.42,0,0,0.66,,80,100,Track Miles,N,,"100% of trackway and bridge deck, UPRR owns the Steel Bridge structure that is leased to ODOT and sublet to TriMet for 2 of 4 lanes."
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Grade Crossings,212,,,,,,,,,,,,,,,,20,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Non-Revenue Service,,,,8.98,,,,,,,,,,,,,35,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Overhead Contact System/Power Distribution,,,,,0,0,,0,0,0,0,26,29,33,12,,40,100,Percent,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Rail Crossings,36,,,,,,,,,,,,,,,,35,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Single Crossover,39,,,,,,,,,,,,,,,,35,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Single Turnout,143,,,,,,,,,,,,,,,,35,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Substation Building,63,,,,0,0,,0,0,0,0,15,21,20,7,,40,100,Quantity,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Substation Equipment,,,,,0,0,,0,0,0,0,24,33,32,11,,35,100,Percent,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Tangent - Revenue Service,,,,77.67,,,,,,,,,,,,,40,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Track Under Performance Restriction,,,5.09,5.09,,,,,,,,,,,,,,,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,,Train Control & Signaling,,,,,0,0,,0,0,0,0,26,25,34,15,,40,100,Percent,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,,Controlled Access High Intensity Busway,,0.6,,,,,,,,,,,,,,,,,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,,Exclusive Fixed Guideway,,6.3,,,,,,,,,,,,,,,,,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,,Exclusive High-Intensity Busway,,0,,,,,,,,,,,,,,,,,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,At-Grade/Ballast (including expressway),,,,18.76,0,0,,0,0,0,0,0,0,100,0,,30,100,Percent,N,,"100% for track bed, State of Oregon owns ROW"
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,At-Grade/In-Street/Embedded,,,,0.5,0,0,,0,0,0,0,0,0,100,0,,50,100,Percent,N,,100% of track bed in city ROW
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Curve - Revenue Service,,,,5.64,,,,,,,,,,,,,35,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Elevated/Concrete,,,,0.44,0,0,,0,0,0,0,0,0,100,0,,80,100,Percent,N,,includes timber
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Elevated/Steel Viaduct or Bridge,,,,0.05,0,0,,0,0,0,0,0,0,100,0,,80,100,Percent,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Grade Crossings,27,,,,,,,,,,,,,,,,20,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Non-Revenue Service,,,,0.55,,,,,,,,,,,,,60,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Single Crossover,5,,,,,,,,,,,,,,,,20,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Single Turnout,11,,,,,,,,,,,,,,,,20,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Tangent - Revenue Service,,,,13.56,,,,,,,,,,,,,50,100,,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Track Under Performance Restriction,,,0.08,0.08,,,,,,,,,,,,,,,Track Miles,N,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,,Train Control & Signaling,,,,,0,0,,0,0,0,0,0,0,100,0,,40,100,Percent,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Curve - Revenue Service,,,,0.5,,,,,,,,,,,,,100,100,,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Elevated/Concrete,,,,1.8,0,0,,0,0,85,0,15,0,0,0,,100,100,Percent,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Substation Building,1,,,,0,0,,0,0,0,0,1,0,0,0,,50,100,Quantity,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Substation Equipment,,,,,0,0,,0,0,0,0,98,0,0,2,,30,100,Percent,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Tangent - Revenue Service,,,,1.3,,,,,,,,,,,,,100,100,,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Third Rail/Power Distribution,,,,,0,0,,0,0,0,0,0,0,50,50,,25,100,Percent,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Track Under Performance Restriction,,,0,0,,,,,,,,,,,,,,,Track Miles,N,,
23,City of Seattle,Full Reporter,,,Urban,MG,PT,,Train Control & Signaling,,,,,0,0,,0,0,0,0,50,0,50,0,,35,100,Percent,N,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,,Controlled Access High Intensity Busway,,3.4,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,DO,,Controlled Access High Intensity Busway,,8,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,DO,,Exclusive Fixed Guideway,,0,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,DO,,Exclusive High-Intensity Busway,,68.1,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,PT,,Controlled Access High Intensity Busway,,2.3,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,PT,,Exclusive Fixed Guideway,,0,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,PT,,Exclusive High-Intensity Busway,,50.8,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,MB,DO,,Controlled Access High Intensity Busway,,6.6,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,MB,DO,,Exclusive Fixed Guideway,,0,,,,,,,,,,,,,,,,,,N,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,MB,DO,,Exclusive High-Intensity Busway,,19.8,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,DO,,Controlled Access High Intensity Busway,,52.2,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,DO,,Exclusive Fixed Guideway,,2.9,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,DO,,Exclusive High-Intensity Busway,,129.8,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,PT,,Controlled Access High Intensity Busway,,33.9,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,PT,,Exclusive Fixed Guideway,,0,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,PT,,Exclusive High-Intensity Busway,,44.6,,,,,,,,,,,,,,,,,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,At-Grade/In-Street/Embedded,,,,153.7,0,0,,4.87,1.49,25.36,12.77,24.57,20.13,30.04,34.47,,100,10.4,Track Miles,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Below-Grade/Bored or Blasted Tunnel,,,,2.73,0,0,,0,0,0,0,0,0.88,0,1.85,,100,0,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Curve - Revenue Service,,,,59.28,,,,,,,,,,,,,30,7.2,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Elevated/Concrete,,,,0.19,0,0,,0,0,0,0,0,0,0,0.19,,100,100,Track Miles,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Elevated/Retained Fill,,,,0.08,0,0,,0,0,0,0,0,0,0,0.08,,100,100,Track Miles,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Elevated/Steel Viaduct or Bridge,,,,2.19,0,0,,0.59,0.08,0.36,0.04,0.48,0.04,0,0.6,,100,0,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Grade Crossings,63,,,,,,,,,,,,,,,,30,25.4,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Non-Revenue Service,,,,0.7,,,,,,,,,,,,,30,85.7,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Revenue Track - No Capital Replacement Responsibility,,,,142.59,,,,,,,,,,,,,30,,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Single Crossover,39,,,,,,,,,,,,,,,,30,5.1,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Single Turnout,14,,,,,,,,,,,,,,,,30,42.9,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Slip Switch,3,,,,,,,,,,,,,,,,30,0,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Tangent - Revenue Service,,,,98.91,,,,,,,,,,,,,30,3.4,,N,BNSF,Sound Transit responsible for Tacoma to Lakewood assets.  All others BNSF.
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Track Under Performance Restriction,,,0,0,,,,,,,,,,,,,,,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,,Train Control & Signaling,,,,,0,0,,0,0,0,0,0,0,0,100,,30,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,At-Grade/In-Street/Embedded,,,,18.36,0,0,,0,0,0,0,0,0,18.36,0,,50,100,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Below-Grade/Bored or Blasted Tunnel,,,,12.08,0,0,,0,0,0,0,0,0,5.75,6.33,,150,100,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Curve - Revenue Service,,,,21.49,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Double Crossover,10,,,,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Elevated/Concrete,,,,17.26,0,0,,0,0,0,0,0,0,13.63,3.63,,100,100,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Elevated/Retained Fill,,,,0.4,0,0,,0,0,0,0,0,0,0.4,0,,100,100,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Grade Crossings,37,,,,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Non-Revenue Service,,,,6.38,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Overhead Contact System/Power Distribution,,,,,0,0,,0,0,0,0,0,0,91.7,8.3,,30,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Single Crossover,6,,,,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Single Turnout,4,,,,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Slip Switch,1,,,,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Substation Building,15,,,,0,0,,0,0,0,0,0,0,87.8,12.2,,30,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Substation Equipment,,,,,0,0,,0,0,0,0,0,0,87.8,12.2,,30,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Tangent - Revenue Service,,,,20.23,,,,,,,,,,,,,50,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Track Under Performance Restriction,,,2.36,2.36,,,,,,,,,,,,,,,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,,Train Control & Signaling,,,,,0,0,,0,0,0,0,0,0,92.2,7.8,,30,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,At-Grade/In-Street/Embedded,,,,2.7,0,0,,0,0,0,0,0,0,2.7,0,,30,100,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Curve - Revenue Service,,,,0.62,,,,,,,,,,,,,30,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Grade Crossings,14,,,,,,,,,,,,,,,,30,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Non-Revenue Service,,,,0.17,,,,,,,,,,,,,30,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Overhead Contact System/Power Distribution,,,,,0,0,,0,0,0,0,0,0,100,0,,30,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Single Turnout,3,,,,,,,,,,,,,,,,0,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Substation Building,2,,,,0,0,,0,0,0,0,0,0,100,0,,25,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Substation Equipment,,,,,0,0,,0,0,0,0,0,0,100,0,,25,100,Percent,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Tangent - Revenue Service,,,,1.91,,,,,,,,,,,,,30,100,,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Track Under Performance Restriction,,,0,0,,,,,,,,,,,,,,,Track Miles,N,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,,Train Control & Signaling,,,,,0,0,,0,0,0,0,0,0,100,0,,30,100,Percent,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,At-Grade/Ballast (including expressway),,,,563.5,0,0,,2,6,6,8,26,28,15,9,,40,100,Percent,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,At-Grade/In-Street/Embedded,,,,3.84,0,0,,0,0,0,0,5,45,25,25,,40,100,Percent,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Below-Grade/Bored or Blasted Tunnel,,,,1.43,0,0,,0,0,0,0,0,0,25,75,,40,100,Percent,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Curve - Revenue Service,,,,191.42,,,,,,,,,,,,,30,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Elevated/Steel Viaduct or Bridge,,,,4.77,24,3,,7,8,9,7,9,4,20,9,,40,100,Percent,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Grade Crossings,137,,,,,,,,,,,,,,,,30,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Non-Revenue Service,,,,76.27,,,,,,,,,,,,,50,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Rail Crossings,3,,,,,,,,,,,,,,,,30,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Single Crossover,23,,,,,,,,,,,,,,,,30,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Single Turnout,541,,,,,,,,,,,,,,,,30,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Tangent - Revenue Service,,,,305.84,,,,,,,,,,,,,40,100,,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Track Under Performance Restriction,,,10.49,10.49,,,,,,,,,,,,,,,Track Miles,N,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,,Train Control & Signaling,,,,,0,0,,0,0,0,0,0,0,46,54,,20,100,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,At-Grade/Ballast (including expressway),,,,0.3,0,0,,0,0,0,0,0,0,63,37,,40,100,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,At-Grade/In-Street/Embedded,,,,11.8,0,0,,0,0,0,0,0,0,62.7,37.3,,40,95.2,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Curve - Revenue Service,,,,1.8,,,,,,,,,,,,,40,100,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Double Crossover,6,,,,,,,,,,,,,,,,40,0,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Elevated/Concrete,,,,1.3,0,0,,0,0,0,0,0,0,0,100,,40,0,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Elevated/Retained Fill,,,,0.12,0,0,,0,0,0,0,0,0,0,100,,40,100,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Elevated/Steel Viaduct or Bridge,,,,1.04,0,0,,0,0,0,0,0,0,0,100,,40,100,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Grade Crossings,193,,,,,,,,,,,,,,,,40,27,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Non-Revenue Service,,,,0.3,,,,,,,,,,,,,40,100,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Overhead Contact System/Power Distribution,,,,,0,0,,0,0,0,0,0,0,52,48,,35,95.2,Percent,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Revenue Track - No Capital Replacement Responsibility,,,,1.9,,,,,,,,,,,,,40,,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Single Crossover,3,,,,,,,,,,,,,,,,40,100,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Single Turnout,23,,,,,,,,,,,,,,,,40,70,,N,,
58,City of Portland,Full Reporter,,,Urban,SR,PT,,Substation Building,14,,,,0,0,,0,0,0,0,0,0,64,36,,40,100,Percent,N,,
