NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol, Methonal ,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,0,,,478938,,,,,0,,,,,,
12,Municipality of Anchorage,Full Reporter,Urban,MB,PT,,,,,,,,,29840,,,,,,
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,,,,,,,,,84460,,,,,,
16,RiverCities Transit,Full Reporter,Urban,DR,PT,1462,,,0,,,,,29629,,,,13844,,
16,RiverCities Transit,Full Reporter,Urban,MB,DO,67816,,,0,,,,,,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,,,,,,,,,327266,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,,,,,,,,,34623,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,0,,,552832,8021,,,,,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,,,,,,,,,233743,,,,,,
19,Intercity Transit,Full Reporter,Urban,CB,DO,124950,,,182,,,,,,,,,,,
19,Intercity Transit,Full Reporter,Urban,DR,DO,106137,,,155,,,,,5936,,,,72626,,
19,Intercity Transit,Full Reporter,Urban,MB,DO,655990,,,956,,,,,,,,,,,
19,Intercity Transit,Full Reporter,Urban,VP,DO,,,,,,,,,207883,,,,,,
20,Kitsap Transit,Full Reporter,Urban,DR,DO,73573,,,0,,,,,1588,,,,166417,,
20,Kitsap Transit,Full Reporter,Urban,FB,DO,0,,,582277,,,,,,,,,,,
20,Kitsap Transit,Full Reporter,Urban,FB,PT,0,,,45305,,,,,,,,,,0,
20,Kitsap Transit,Full Reporter,Urban,MB,DO,559948,,,0,17912,,,,,,,,9238,,
20,Kitsap Transit,Full Reporter,Urban,VP,DO,3563,,,0,,,,,40674,,,,,,
21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,119827,,,,71740,,
21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,0,,,445475,,,,,,,,,,,
21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,,16046,,,,,,
23,City of Seattle,Full Reporter,Urban,MG,PT,,,,,,618078,,,,,,,,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,0,,,174140,,,,,3754,,,,,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,,912460,,,,,8137,,,,,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,14276,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,35623,,,0,,,,,147577,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,219441,,344025,0,,,,,,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,31710,,,,,,
28,County of Pierce,Full Reporter,Urban,FB,PT,0,,,185117,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,20678,,,392877,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,0,,,631312,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,247514,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,87571,,,1663841,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,,,,,,,,,245791,,,,,,
34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,,,,,,47762,,,,,,
34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,0,,145614,74164,,,,,,,,,,,
35,Washington State Ferries,Full Reporter,Urban,FB,DO,825236,,,17903510,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,0,,425350,2379859,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,748767,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,0,,,1415148,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,,,,,,25140087,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,,,,,,428078,,,,,,,,,
41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,0,,,723152,,,,,,,,,,,
43,Link Transit,Full Reporter,Urban,DR,DO,,,,,,,,,8441,,,,19639,,
43,Link Transit,Full Reporter,Urban,DR,PT,,,,,,,,,809,,,,,,
43,Link Transit,Full Reporter,Urban,MB,DO,0,,,230835,130305,,,,28544,,,,59327,,
44,Skagit Transit,Full Reporter,Urban,CB,DO,0,,,63504,,,,,,,,,,,
44,Skagit Transit,Full Reporter,Urban,DR,DO,0,,,19227,,,,,,,,,63974,,
44,Skagit Transit,Full Reporter,Urban,MB,DO,0,,,173404,,,,,,,,,,,
44,Skagit Transit,Full Reporter,Urban,VP,DO,,,,,,,,,59985,,,,,,
46,City of Wilsonville,Full Reporter,Urban,DR,DO,0,,1882,2247,,,,,8831,,,,,,
46,City of Wilsonville,Full Reporter,Urban,MB,DO,0,,7530,42690,433,,,,35548,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,0,,,41962,,,,,6774,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,,,,,,,,,25588,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,,,,,,31304,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,,,,,,,,,4026,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,0,,,47318,,,,,8547,,,,,,
58,City of Portland,Full Reporter,Urban,SR,PT,,,,,,2520042,,,,,,,,,
58,City of Portland,Full Reporter,Urban,TR,PT,,,,,,363800,,,,,,,,,
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,,30363,,,,,,
376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,,,,,,,,,31854,,,,,,
415,Ada County Highway District,Full Reporter,Urban,VP,DO,,,,,,,,,88098,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,0,,,300000,,,,,1013,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,0,,,1830000,,,,,,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,VP,PT,,,,,,,,,8965,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,0,,,13813617,,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,1862649,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,0,,,1202108,,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,190322755,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,48371041,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,5617942,,1720936,0,,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,0,,,171178,,,,,33865,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,0,,,372280,,6836648,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,4760818,,,,,,,,,
10004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,0,,,533,,,,,103348,,,,,,
10004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,0,,,289744,,,,,,,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,27531,,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,47881,,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,278467,,,,,31218,,,,,,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,102752,,,,,,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,379128,,,,,,,,,,,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,38860,,,,,,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,72222,,,,,65577,,,,,,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,370583,,,,,,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,0,,,1165653,162450,,,,15792,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,33799,,,,,,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,108469,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,344880,,,,,,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,33754,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,83128,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,0,,,371131,232480,,,,20349,,,,,,
10016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,0,,194296,179825,,,,,,,,,,,
10017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,0,,60393,104885,,,,,527447,,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,12839,,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,MB,DO,0,,,230438,,,,,8885,,,,,,
10042,Valley Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,6007,,,,45278,,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,0,,,235859,,,,,,,,,,,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,0,,,55791,,,,,,,,,,,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,0,,,2180201,,,,,,,,,,,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,0,,,275867,,,,,,,,,,,
10049,Greater New Haven Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,288688,,,,,,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,0,,,51451,,,,,1138,,,,,,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,0,,,466119,,,,,,,,,,,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,DR,DO,0,,,11332,,,,,48725,,,,,,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,MB,DO,0,,,166834,,,,,51584,,,,,,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,25313,,,,,,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,0,,,36866,,,,,5775,,,,,,
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,0,,,1039899,,,,,,,,,,,
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,0,,,369276,,,,,,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,DR,DO,0,,,11999,,,,,42818,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,35560,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,MB,DO,0,,,239504,,,,,25968,,,,,,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,0,,,1220,,,,,270181,,,,,,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,114085,,,,,52670,,,,,,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,229182,,,,,,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,202400,,,,,35559,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,CB,DO,0,,,135935,,,,,11127,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,DO,0,,,19230,,,,,32685,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,61483,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,MB,DO,0,,,300805,,,,,25731,,,,,,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,,,,,,,,,28637,,,,,,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,0,,,134423,,,,,9520,,,,,,
10087,City of Nashua,Full Reporter,Urban,DR,PT,11611,,,0,,,,,7648,,,,,,
10087,City of Nashua,Full Reporter,Urban,MB,PT,17445,,94114,0,,,,,278,,,,,,
10088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,40986,,,246248,,,,,,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,CB,DO,0,,,386,,,,,14956,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,,38566,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,0,,,15896,,,,,14455,,,,,,
10102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,0,,,112588,,,,,,,,,,,
10102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,0,,,885146,,,,,,,,,,,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,240243,,,,,,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,158037,,,3634,,,,,2980,,,,,,
10107,Milford Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,37556,,,,,,
10107,Milford Transit District,Full Reporter,Urban,MB,DO,61304,,,0,,,,,,,,,,,
10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,0,,,802968,,,,,,,,,,,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,108645,,,,,,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,,,53606,,,,,,153472,,,,,,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,PT,,,,,,,,,118919,,,,,,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,PT,0,,,292253,,,,,,,,,,,
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,MB,PT,0,,,223048,,,,,,,,,,,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,0,,,3161408,,,,,,,,,,,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,0,,8124,62703,,,,,,,,,,,
11147,Rhode Island Department of Transportation,Full Reporter,Urban,FB,PT,0,,,155646,,,,,,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,0,,,93997,,,,,,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,367307,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,0,,,1793326,,,,,6668,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,,15023,,,,,,
20003,Broome County,Full Reporter,Urban,DR,DO,0,,,2095,,,,,24419,,,,,,
20003,Broome County,Full Reporter,Urban,DR,PT,0,,,666,,,,,52081,,,,,,
20003,Broome County,Full Reporter,Urban,MB,DO,0,,,284566,,,,,,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,0,,37866,22328,,,,,204498,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,7688537,,,,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,0,,802397,1879005,,,,,,,,,,,
20006,City of Long Beach,Full Reporter,Urban,DR,DO,,,,,,,,,7154,,,,,,
20006,City of Long Beach,Full Reporter,Urban,MB,DO,0,,,57929,,,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,CB,DO,0,,,4109317,,,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,DR,PT,0,,,1470503,,,,,3979716,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,HR,DO,,,,,,1773312000,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,MB,DO,0,,5473310,27575850,232158,,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,RB,DO,0,,,1185641,,,,,,,,,,,
20010,Dutchess County,Full Reporter,Urban,DR,DO,0,,,43520,,,,,,,,,,,
20010,Dutchess County,Full Reporter,Urban,MB,DO,0,,,243704,,,,,,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,0,,,5417,,,,,99266,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,90987,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,0,,487428,943470,,,,,,,,,,,
20072,Suffolk County ,Full Reporter,Urban,DR,PT,,,,,,,,,1365930,,,,,,
20072,Suffolk County ,Full Reporter,Urban,MB,PT,0,,,1194041,,,,,261802,,,,,,
20075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,,,,,,45534654,,,,,,,,,
20076,Westchester County,Full Reporter,Urban,DR,PT,,,,,,,,,341624,,,,,,
20076,Westchester County,Full Reporter,Urban,MB,PT,0,,,2629211,,,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,0,,,7051456,,481926202,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,0,,,194573,,,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,0,,,51574,,,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,0,,,13953028,,385837774,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,0,,,40010,,,,,2194211,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,,,,,,6772749,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,,,,,,28448278,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,0,,1753198,21204046,,,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,0,,,1938747,,,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,,,,,,,,,192262,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,0,,,713160,,,,,,,,,,,
20082,New York City Department of Transportation,Full Reporter,Urban,CB,PT,0,,,199084,,,,,,,,,,,
20082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,0,,,4692125,,,,,,,,,,,
20084,County of Rockland ,Full Reporter,Urban,DR,DO,0,,,0,,,,,68590,,,,,,
20084,County of Rockland ,Full Reporter,Urban,MB,PT,0,,,427231,,,,,0,,,,,,
20096,Putnam County ,Full Reporter,Urban,DR,PT,,,,,,,,,18687,,,,,,
20096,Putnam County ,Full Reporter,Urban,MB,PT,,,,,,,,,66350,,,,,,
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,FB,PT,0,,,688820,,,,,,,,,,,
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,,,,,,100550363,,,,,,,,,
20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,HR,DO,,,,,,29591896,,,,,,,,,
20100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,0,,,7356180,,510310000,,,,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,DR,DO,,,,,,,,,277365,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,MB,DO,0,,,1421248,,,,,,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,VP,PT,,,,,,,,,3995,,,,,,
20122,"Academy Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,1757047,,,,,,,,,,,
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,2278570,,,,,,,,,,,
20128,Suburban Transit Corporation,Full Reporter,Urban,CB,DO,0,,,928853,,,,,,,,,,,
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,CB,DO,0,,,345365,,,,,,,,,,,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,DR,PT,,,,,,,,,64010,,,,,,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,MB,DO,0,,,415229,,,,,6281,,,,,,
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,CB,DO,0,,,644844,,,,,,,,,,,
20161,DeCamp Bus Lines,Full Reporter,Urban,CB,DO,0,,,547286,,,,,,,,,,,
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,733459,,,,,,,,,,,
20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,MB,DO,0,,,416416,,,,,,,,,,,
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,CB,DO,0,,,705630,,,,,,,,,,,
20175,Private Transportation Corporation,Full Reporter,Urban,MB,PT,0,,,62011,,,,,,,,,,,
20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,CB,DO,0,,,423342,,,,,,,,,,,
20188,MTA Bus Company,Full Reporter,Urban,MB,DO,0,,2473995,10166020,,,,,,,,,,,
20189,"BillyBey Ferry Company, LLC",Full Reporter,Urban,FB,DO,0,,,719287,,,,,,,,,,,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,FB,DO,0,,,2244162,,,,,,,,,,,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,MB,DO,0,,,247819,,,,,,,,,,,
20192,Bergen County,Full Reporter,Urban,DR,DO,,,,,,,,,127454,,,,,,
20192,Bergen County,Full Reporter,Urban,MB,DO,,,,,,,,,9633,,,,,,
20193,Cumberland County,Full Reporter,Urban,DR,DO,0,,,342,,,,,77915,,,,,,
20199,County of Atlantic,Full Reporter,Urban,DR,DO,0,,,4006,,,,,107420,,,,,,
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,DR,DO,0,,,20939,,,,,123038,,,,,,
20206,County of Nassau,Full Reporter,Urban,DR,PT,0,,,81520,,,,,120552,,,,,,
20206,County of Nassau,Full Reporter,Urban,MB,PT,0,,3093647,11254,,,,,6810,,,,,,
20217,"Hampton Jitney, Inc.",Full Reporter,Urban,CB,DO,0,,,601336,,,,,,,,,,,
22930,New York City Economic Development Corporation,Full Reporter,Urban,FB,PT,0,,,2826767,,,,,,,,,,,
22930,New York City Economic Development Corporation,Full Reporter,Urban,MB,PT,0,,,15714,,,,,,,,,,,
30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,28179,,,,,,
30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,MB,DO,0,,,360475,,,,,45504,,,,,,
30002,The Tri-State Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,54995,,,,,,
30002,The Tri-State Transit Authority,Full Reporter,Urban,MB,DO,0,,,198390,,,,,,,,,,,
30006,Greater Richmond Transit Company,Full Reporter,Urban,DR,PT,0,,401594,1442,,,,,4893,,,,,,
30006,Greater Richmond Transit Company,Full Reporter,Urban,MB,DO,0,,1033869,326158,,,,,,,,,,,
30006,Greater Richmond Transit Company,Full Reporter,Urban,RB,DO,,,188745,,,,,,,,,,,,
