Agency NTD ID,Agency Name,Agency Reporter Type,Agency Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type,Row Number
10133,"Boston Express Bus, Inc.",Reduced Reporter,Urban,1R04,New Hampshire Department of Transportation,State Reporter,124
10134,Penquis Community Action Program,Reduced Reporter,Urban,1R03,Maine Department of Transportation,State Reporter,125
10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,126
10140,Estuary Transit District,Reduced Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,127
10142,"Aroostook Regional Transportation Systems, Inc.",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,128
10143,Tri-Valley Transit Inc,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,129
10144,"Southeast Vermont Transit, Inc",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,130
10148,Rural Community Transportation,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,131
10149,Windham Region Transit District,Reduced Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,132
10151,Green Mountain Community Network,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,133
10152,City of Bath,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,134
10153,Town of Cranberry Isles,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,135
10154,Marble Valley Regional Transit District,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,136
10155,Kennebec Valley Community Action Program,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,137
10156,Northeastern Connecticut Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter,138
10159,"VNA Home Healthcare, Hospice & Community Service",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter,139
10161,Belknap-Merrimack CAP/Concord Area Transit,Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter,140
10167,Isle au Haut Boat Services,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,141
10169,Waldo Community Action Partners,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,142
10170,"Tri-County CAP, Inc./Carroll County Transit",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter,143
10172,"Tri-County CAP, Inc./North Country Transit",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter,144
10173,Franklin Regional Transit Authority,Rural Reporter,Rural,1R02,Massachusetts Department of Transportation ,State Reporter,145
10174,Vermont Association for the Blind and Visually Impaired,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter,146
10175,"Downeast Transportation, Inc. ",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,147
10177,"West's Transportation, Inc. ",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,148
10184,The Mashpee Wampanoag Tribe,Reduced Reporter,Tribe,1R02,Massachusetts Department of Transportation ,State Reporter,149
11152,Mashantucket Pequot Tribal Nation,Reduced Reporter,Tribe,1R01,Connecticut Department of Transportation,State Reporter,150
11156,Southwestern Community Services Transportation,Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter,151
11161,"Downeast Community Partners, Inc.",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,152
11162,Community Action Program of Strafford County,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,153
11163,Behavioral Health & Developmental Services ,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,154
11164,Easter Seals Special Transit Service,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,155
11165,Genesis Behavioral Health ,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,156
11166,"Grafton County Senior Citizens Council, Inc. ",Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,157
11168,Granite State Independent Living,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,158
11173,Monadnock Adult Care Center,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,159
11175,Southern NH Services,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,160
11176,"Ability Beyond Disability, Inc.",Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,161
11177,Town of Ashford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,162
11178,Town of Woodbridge,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,163
11179,Town of Wolcott,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,164
11180,Town of Windsor Locks,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,165
11181,Town of Windsor,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,166
11182,Town of Watertown,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,167
11183,Town of Waterford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,168
11184,Town of Trumbull,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,169
11185,Town of Suffield,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,170
11186,Town of Stratford Senior Services,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,171
11187,Town of Stafford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,172
11189,Town of Southbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,173
11190,Town of South Windsor,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,174
11191,Town of Somers,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,175
11192,Town of Simsbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,176
11193,Town of Sherman,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,177
11195,Town of Rocky Hill,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,178
11196,Town of Prospect,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,179
11197,Town of Plainville,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,180
11198,Town of Orange,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,181
11199,Town of New Milford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,182
11201,Town of Middlebury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,183
11202,Town of Marlborough,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,184
11204,Town of Manchester,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,185
11206,Town of Ledyard,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,186
11207,Town of Hebron,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,187
11208,Town of Groton,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,188
11209,Town of Griswold,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,189
11210,Town of Goshen (CT),Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,190
11211,Town of Glastonbury,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,191
11212,Town of Farmington,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,192
11213,Town of Enfield,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,193
11214,Town of East Windsor,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,194
11215,Town of Cromwell,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,195
11216,Town of Colchester,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,196
11217,Town of Cheshire,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,197
11221,City of Torrington - Sullivan Senior Center,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,198
11223,Transportation Assoc. of Greenwich,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,199
11224,The Wheels Program of New Milford,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,200
11225,"The Arc of Litchfield County, Inc",Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,201
11227,Norwalk Senior Center,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,202
11228,Hockanum Valley Community Council,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,203
11229,Geer Nursing & Rehabilitation Center,Reduced Asset Reporter,Asset,1R01,Connecticut Department of Transportation,State Reporter,204
11235,Maine State Ferry Service,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter,205
11236,NHDOT Assets,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,206
11243,Rockingham Nutrition Meals on Wheels,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter,207
20006,City of Long Beach,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter,208
20010,Dutchess County,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter,209
20071,Town of Huntington,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter,210
20084,County of Rockland ,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter,211
20085,Town of Clarkstown ,Reduced Reporter,Urban,2R02,New York Department of Transportation,State Reporter,212
20096,Putnam County ,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter,213
20143,Town of Newburgh,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,214
20148,Newburgh Beacon Bus Corporation,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,215
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter,216
20182,Town of Highlands ,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,217
20183,Town of Monroe ,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,218
20187,Village of Kiryas Joel,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,219
20192,Bergen County,Full Reporter,Urban,2R01,NJ Transit,State Reporter,220
20193,Cumberland County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,221
20194,East Windsor Township,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter,222
20195,Gloucester County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,223
20196,Middlesex County,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter,224
20197,Meadowlands Transportation Brokerage Corporation,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter,225
20199,County of Atlantic,Full Reporter,Urban,2R01,NJ Transit,State Reporter,226
20200,South Jersey Transportation Authority,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,227
20201,County of Cumberland,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,228
20202,Essex County,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter,229
20203,Cape May County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,230
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,2R01,NJ Transit,State Reporter,231
20208,County of Burlington,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,232
20209,Somerset County,Full Reporter,Urban,2R01,NJ Transit,State Reporter,233
20210,Morris County Human Services,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,234
20211,County of Mercer,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,235
20212,County of Hunterdon,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter,236
20214,Town of Warwick ,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,237
20215,City of Watertown NY,Reduced Reporter,Urban,2R02,New York Department of Transportation,State Reporter,238
20216,Orange County,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,239
20227,Town of Wallkill,Reduced Reporter,Urban,A0023,Orange County,Group Plan Sponsor,240
20925,Lewis County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,241
20926,Schoharie County Public Transportation,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,242
20928,Warren County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter,243
20931,Greene County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,244
20932,Essex County Department of Community Development,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,245
20933,Monmouth County Division of Transportation,Rural Reporter,Rural,2R01,NJ Transit,State Reporter,246
20934,Orleans Transit Service,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,247
20935,Chenango County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,248
20937,Sullivan County Transportation,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,249
20938,RTS Seneca ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,250
20939,Clinton County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,251
20940,Madison County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,252
20941,City of Corning,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,253
20942,Oswego County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,254
20944,Salem County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter,255
20945,Schuyler County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,256
20946,First Transit - Steuben,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,257
20947,RTS Genesee,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,258
20950,Sussex County Transit,Rural Reporter,Rural,2R01,NJ Transit,State Reporter,259
20951,Allegany County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,260
20952,Montgomery County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,261
20953,Hornell Area Transit,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,262
20954,Town of Goshen,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,263
20957,County of Niagara,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,264
20958,Cortland County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,265
20959,Chautauqua County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,266
20960,City of Oneonta,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,267
20962,RTS Livingston ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,268
20964,Fulton County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,269
20967,RTS Ontario,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,270
20968,County of Rensselaer,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,271
20973,Town of Montgomery,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,272
20975,First Transit-Olean,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter,273
