UACE Code,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description, Total Actual Vehicle Revenue Hours , Total Unlinked Passenger Trips , Total Actual Vehicle Revenue Miles , Total Passenger Miles Traveled , Total Operating Expenses , Non-Fixed Guideway Vehicle Revenue Miles , Non-Fixed Guideway Passenger Miles , Non-Fixed Guideway Operating Expenses , Directional Route Miles , Fixed Guideway Vehicle Revenue Miles , Fixed Guideway Passenger Miles , Fixed Guideway Operating Expenses , SGR FG Directional Route Miles , SGR FG Vehicle Revenue Miles , SGR HIB Directional Route Miles , SGR HIB Vehicle Revenue Miles 
41,Oregon Non-UZA,Y,,,,,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO, Actual Data,,,,2903,1905,74775,0,"$271,114.00 ",74775,0,"$271,114.00 ",0,0,0,$0.00 ,0,0,0,0
16,Idaho Non-UZA,N,,,,,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
8785,"Boise City, ID",Y,433180,3111,139.23,,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,24153,63202,369780,367714,"$3,701,996.00 ",369780,367714,"$3,701,996.00 ",0,0,0,$0.00 ,0,0,0,0
60976,"Nampa, ID",N,177561,2696,65.86,,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,17172,44936,262914,261445,"$2,632,123.00 ",262914,261445,"$2,632,123.00 ",0,0,0,$0.00 ,0,0,0,0
16,Idaho Non-UZA,N,,,,,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
8785,"Boise City, ID",Y,433180,3111,139.23,,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,62483,706825,1077047,2694997,"$10,153,704.00 ",1077047,2694997,"$10,153,704.00 ",0,0,0,$0.00 ,0,0,0,0
60976,"Nampa, ID",N,177561,2696,65.86,,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,18644,210905,321373,804143,"$3,029,697.00 ",321373,804143,"$3,029,697.00 ",0,0,0,$0.00 ,0,0,0,0
2305,"Anchorage, AK",Y,249252,2718,91.69,,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT, Actual Data,,,,55798,129261,719394,787529,"$5,843,154.00 ",719394,787529,"$5,843,154.00 ",0,0,0,$0.00 ,0,0,0,0
2305,"Anchorage, AK",Y,249252,2718,91.69,,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO, Actual Data,,,,191421,2412729,2280229,10342197,"$30,885,551.00 ",2280229,10342197,"$30,885,551.00 ",0,0,0,$0.00 ,0,0,0,0
2305,"Anchorage, AK",Y,249252,2718,91.69,,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT, Actual Data,,,,32813,189684,1582484,7799636,"$1,105,911.00 ",1582484,7799636,"$1,105,911.00 ",0,0,0,$0.00 ,0,0,0,0
2,Alaska Non-UZA,Y,,,,,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,7692,39789,95045,0,"$677,652.00 ",95045,0,"$677,652.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,Y,,,,,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO, Actual Data,,,,34,15,337,0,"$320,478.00 ",337,0,"$320,478.00 ",0,0,0,$0.00 ,0,0,0,0
51283,"Longview, WA--OR",Y,69841,1985,35.19,,16,RiverCities Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,264,521,8571,6252,"$67,354.00 ",8571,6252,"$67,354.00 ",0,0,0,$0.00 ,0,0,0,0
51283,"Longview, WA--OR",Y,69841,1985,35.19,,16,RiverCities Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,15285,30214,126768,92627,"$1,417,855.00 ",126768,92627,"$1,417,855.00 ",0,0,0,$0.00 ,0,0,0,0
51283,"Longview, WA--OR",Y,69841,1985,35.19,,16,RiverCities Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,26908,205740,347971,880567,"$3,918,423.00 ",347971,880567,"$3,918,423.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,Y,,,,,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO, Actual Data,,,,705,3870,23030,0,"$224,120.00 ",23030,0,"$224,120.00 ",0,0,0,$0.00 ,0,0,0,0
55333,"Marysville, WA",N,160440,2366,67.8,,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO, Actual Vehicle Revenue Miles,,,,451,2472,14710,0,"$143,152.00 ",14710,0,"$143,152.00 ",0,0,0,$0.00 ,0,0,0,0
44479,"Kennewick--Richland--Pasco, WA",Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,99590,217530,1576144,1651440,"$13,754,378.00 ",1576144,1651440,"$13,754,378.00 ",0,0,0,$0.00 ,0,0,0,0
44479,"Kennewick--Richland--Pasco, WA",Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,51005,153786,1101253,681432,"$3,247,759.00 ",1101253,681432,"$3,247,759.00 ",0,0,0,$0.00 ,0,0,0,0
44479,"Kennewick--Richland--Pasco, WA",Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,215815,1781820,3456000,7501462,"$26,588,389.00 ",3456000,7501462,"$26,588,389.00 ",0,0,0,$0.00 ,0,0,0,0
44479,"Kennewick--Richland--Pasco, WA",Y,255401,2276,112.21,,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,34435,244427,1495493,8481180,"$1,658,143.00 ",1495493,8481180,"$1,658,143.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",N,3544011,3607,982.52,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,9308,82960,219341,1632015,"$1,704,367.00 ",219341,1632015,"$1,704,367.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
65242,"Olympia--Lacey, WA",Y,208157,1960,106.21,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",N,3544011,3607,982.52,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Data,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
65242,"Olympia--Lacey, WA",Y,208157,1960,106.21,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,78956,130004,821521,727929,"$15,612,495.00 ",821521,727929,"$15,612,495.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",N,3544011,3607,982.52,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
65242,"Olympia--Lacey, WA",Y,208157,1960,106.21,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,190084,2885836,2511636,10526715,"$33,612,259.00 ",2511636,10526715,"$33,612,259.00 ",0,0,0,$0.00 ,0,0,0,0
