NTD ID,Agency Name,Reporter Type,Reporting Module,CA: Cash and Cash Equivalents,CA: Accounts Receivable,CA: Inventory,CA: Prepaid Expenses,CA: Current Investments and Current Portions of Long-Term Investments,CA: Other Current Assets,Total Current Assets,NCA: Capital Assets,NCA: Intangible Assets,NCA: Capital Leases Receivables,NCA: Special Funds,NCA: Work in Progress,NCA: Investments,NCA: Other Noncurrent Assets,Total Noncurrent Assets,Total Assets,Deferred Outflows of Resources,CL: Current Accounts Payable,CL: Short-Term Debt and Current Portions of Long-Term Debt,CL: Accrued Liabilities,CL: Other Current Liabilities,Total Current Liabilities,NCL: Long-Term Debt,NCL: Noncurrent Accounts Payable,NCL: Capital Lease Obligations,NCL: Long-Term Pension Liabilities,NCL: Estimated Liabilities,NCL: Other Noncurrent Liabilities,Total Noncurrent Liabilities,Total Liabilities,Deferred Inflows of Resources,Net Position
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,"$225,374,248.00 ","$63,749,192.00 ","$2,046,600.00 ","$497,497.00 ",$0.00 ,$0.00 ,"$291,667,537.00 ","$229,699,510.00 ","$9,834,074.00 ",$0.00 ,"$1,782,612.00 ","$62,104,899.00 ","$182,453,294.00 ","$19,433,753.00 ","$505,308,142.00 ","$796,975,679.00 ","$24,673,407.00 ","$17,327,425.00 ","$1,304,171.00 ","$9,825,842.00 ","$3,108,395.00 ","$31,565,833.00 ","$5,414,756.00 ",$0.00 ,$0.00 ,"$27,369,811.00 ","$2,433,109.00 ",$0.00 ,"$35,217,676.00 ","$66,783,509.00 ","$21,190,161.00 ","$733,675,416.00 "
34,Rogue Valley Transportation District,Full Reporter,Urban,"$17,977,937.00 ","$6,088,310.00 ","$588,862.00 ","$399,898.00 ",$0.00 ,$0.00 ,"$25,055,007.00 ","$27,147,335.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$27,147,335.00 ","$52,202,342.00 ",$0.00 ,"$810,985.00 ","$60,399.00 ","$3,917,759.00 ",$0.00 ,"$4,789,143.00 ","$174,476.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$174,476.00 ","$4,963,619.00 ",$0.00 ,"$47,238,723.00 "
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,"$961,214,313.00 ","$522,056,018.00 ","$36,365,268.00 ","$13,808,908.00 ","$1,340,610,946.00 ","$409,903.00 ","$2,874,465,356.00 ","$7,593,204,651.00 ","$846,031,985.00 ","$337,239,116.00 ","$281,020,183.00 ","$8,583,764,861.00 ","$959,714,495.00 ","$17,715,551.00 ","$18,618,690,842.00 ","$21,493,156,198.00 ","$6,342,172.00 ","$304,312,513.00 ","$62,005,000.00 ","$59,623,379.00 ","$168,447,778.00 ","$594,388,670.00 ","$2,811,625,892.00 ",$0.00 ,"$149,660,436.00 ",$0.00 ,$0.00 ,"$14,059,710.00 ","$2,975,346,038.00 ","$3,569,734,708.00 ","$20,888,963.00 ","$17,908,874,699.00 "
43,Chelan Douglas PTBA ,Full Reporter,Urban,"$8,969,642.00 ","$6,069,448.00 ","$491,261.00 ","$129,541.00 ","$28,646,200.00 ",$0.00 ,"$44,306,092.00 ","$32,908,278.00 ",$0.00 ,$0.00 ,"$2,701,978.00 ","$241,235.00 ",$0.00 ,$0.00 ,"$35,851,491.00 ","$80,157,583.00 ","$3,044,258.00 ","$1,452,281.00 ",$0.00 ,"$1,261,633.00 ",$0.00 ,"$2,713,914.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,566,345.00 ",$0.00 ,"$54,351.00 ","$1,620,696.00 ","$4,334,610.00 ","$2,747,057.00 ","$76,120,174.00 "
44,Skagit Transit,Full Reporter,Urban,"$27,129,283.00 ","$3,712,148.00 ","$562,611.00 ","$3,569.00 ",$0.00 ,$0.00 ,"$31,407,611.00 ","$25,911,178.00 ","$270,000.00 ",$0.00 ,$0.00 ,"$6,150,548.00 ",$0.00 ,$0.00 ,"$32,331,726.00 ","$63,739,337.00 ",$0.00 ,"$182,942.00 ",$0.00 ,"$1,334,909.00 ",$0.00 ,"$1,517,851.00 ",$0.00 ,$0.00 ,"$41,523.00 ",$0.00 ,$0.00 ,"$509,554.00 ","$551,077.00 ","$2,068,928.00 ",$0.00 ,"$61,670,409.00 "
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,"$10,130,759.00 ","$11,710,422.00 ","$1,720,789.00 ","$560,798.00 ","$725,267.00 ",$0.00 ,"$24,848,035.00 ","$97,722,160.00 ",$0.00 ,$0.00 ,"$5,720,481.00 ","$31,099,295.00 ","$4,252,714.00 ","$1,600,000.00 ","$140,394,650.00 ","$165,242,685.00 ","$18,791,002.00 ","$7,824,288.00 ","$2,833,537.00 ","$7,736,451.00 ","$460,325.00 ","$18,854,601.00 ","$7,191,499.00 ",$0.00 ,$0.00 ,"$116,720,061.00 ","$9,269,766.00 ",$0.00 ,"$133,181,326.00 ","$152,035,927.00 ","$37,568,833.00 ","($5,571,073.00)"
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,"$561,069,585.00 ","$334,717,046.00 ","$62,124,948.00 ","$12,574,344.00 ","$163,517,973.00 ","$937,968,382.00 ","$2,071,972,278.00 ","$14,453,866,572.00 ",$0.00 ,"$145,710,899.00 ",$0.00 ,$0.00 ,$0.00 ,"$666,086,139.00 ","$15,265,663,610.00 ","$17,337,635,888.00 ","$550,072,240.00 ","$435,331,360.00 ","$323,635,618.00 ","$246,109,317.00 ",$0.00 ,"$1,005,076,295.00 ","$5,553,755,563.00 ",$0.00 ,"$74,863,632.00 ","$3,698,335,000.00 ",$0.00 ,"$149,884,010.00 ","$9,476,838,205.00 ","$10,481,914,500.00 ","$723,100,144.00 ","$6,682,693,484.00 "
10004,Brockton Area Transit Authority,Full Reporter,Urban,"$2,599,815.00 ","$5,000,533.00 ",$0.00 ,$0.00 ,$0.00 ,"$81,845.00 ","$7,682,193.00 ","$19,448,519.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,482,696.00 ","$20,931,215.00 ","$28,613,408.00 ","$648,366.00 ","$766,388.00 ",$0.00 ,"$388,764.00 ","$1,072,208.00 ","$2,227,360.00 ","$6,300,000.00 ",$0.00 ,$0.00 ,"$227,167.00 ",$0.00 ,"$1,178,809.00 ","$7,705,976.00 ","$9,933,336.00 ","$836,827.00 ","$18,491,611.00 "
10005,Lowell Regional Transit Authority,Full Reporter,Urban,"$1,560,353.00 ","$4,038,074.00 ",$0.00 ,"$138,504.00 ",$0.00 ,"$250,610.00 ","$5,987,541.00 ","$34,455,281.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$2,163,260.00 ","$36,618,541.00 ","$42,606,082.00 ",$0.00 ,"$1,282,508.00 ","$6,000,000.00 ","$71,104.00 ",$0.00 ,"$7,353,612.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,183,327.00 ",$0.00 ,"$313,682.00 ","$1,497,009.00 ","$8,850,621.00 ","$167,090.00 ","$33,588,371.00 "
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,"$2,224,774.00 ","$10,762,559.00 ","$1,075,321.00 ","$178,515.00 ",$0.00 ,$0.00 ,"$14,241,169.00 ","$20,344,331.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,277,034.00 ",$0.00 ,$0.00 ,"$22,621,365.00 ","$36,862,534.00 ","$2,787,081.00 ","$3,461,263.00 ","$6,005,500.00 ","$257,804.00 ",$0.00 ,"$9,724,567.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,615,808.00 ","$895,934.00 ",$0.00 ,"$3,511,742.00 ","$13,236,309.00 ","$6,738,443.00 ","$19,674,863.00 "
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,"$1,041,044.00 ","$4,656,446.00 ",$0.00 ,"$26,014.00 ",$0.00 ,"$783,162.00 ","$6,506,666.00 ","$11,730,888.00 ",$0.00 ,"$66,640.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$11,797,528.00 ","$18,304,194.00 ","$223,380.00 ",$922.00 ,"$5,100,000.00 ","$65,602.00 ","$237,550.00 ","$5,404,074.00 ",$0.00 ,$0.00 ,$0.00 ,"$784,248.00 ",$0.00 ,$0.00 ,"$784,248.00 ","$6,188,322.00 ","$131,759.00 ","$12,207,493.00 "
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,"$534,032.00 ","$20,511,400.00 ",$0.00 ,"$317,296.00 ","$3,946,359.00 ",$0.00 ,"$25,309,087.00 ","$103,551,585.00 ",$0.00 ,$0.00 ,"$5,613,462.00 ",$0.00 ,$0.00 ,"$5,555,724.00 ","$114,720,771.00 ","$140,029,858.00 ","$7,273,674.00 ","$8,508,624.00 ","$14,500,000.00 ","$113,792.00 ","$3,368,228.00 ","$26,490,644.00 ",$0.00 ,$0.00 ,$0.00 ,"$39,907,473.00 ",$0.00 ,"$5,631,111.00 ","$45,538,584.00 ","$72,029,228.00 ","$11,818,525.00 ","$63,455,779.00 "
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,"$3,268,646.00 ","$11,059,700.00 ",$0.00 ,"$143,924.00 ",$0.00 ,$0.00 ,"$14,472,270.00 ","$57,210,598.00 ",$0.00 ,$0.00 ,"$1,049,252.00 ",$0.00 ,$0.00 ,"$161,472.00 ","$58,421,322.00 ","$72,893,592.00 ","$105,353.00 ","$2,468,502.00 ","$12,011,472.00 ","$104,085.00 ",$0.00 ,"$14,584,059.00 ","$143,924.00 ",$0.00 ,$0.00 ,"$760,880.00 ",$0.00 ,"$955,011.00 ","$1,859,815.00 ","$16,443,874.00 ",$0.00 ,"$56,555,071.00 "
10014,Worcester Regional Transit Authority,Full Reporter,Urban,"$3,470,674.00 ","$10,168,163.00 ","$422,218.00 ","$12,382.00 ",$0.00 ,$0.00 ,"$14,073,437.00 ","$105,079,308.00 ","$195,892.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$105,275,200.00 ","$119,348,637.00 ","$2,556,846.00 ","$1,684,909.00 ","$11,300,000.00 ","$165,083.00 ","$71,048.00 ","$13,221,040.00 ",$0.00 ,$0.00 ,$0.00 ,"$13,541,771.00 ","$8,262,102.00 ",$0.00 ,"$21,803,873.00 ","$35,024,913.00 ","$1,467,651.00 ","$85,412,919.00 "
10016,Greater Portland Transit District,Full Reporter,Urban,"$2,369,105.00 ","$2,554,507.00 ","$390,979.00 ","$87,594.00 ",$0.00 ,$0.00 ,"$5,402,185.00 ","$17,214,182.00 ",$0.00 ,$0.00 ,$0.00 ,"$96,027.00 ",$0.00 ,$0.00 ,"$17,310,209.00 ","$22,712,394.00 ","$96,028.00 ","$734,427.00 ","$199,150.00 ","$397,944.00 ",$0.00 ,"$1,331,521.00 ","$2,997,198.00 ",$0.00 ,$0.00 ,"$803,410.00 ","$3,586.00 ","$454,908.00 ","$4,259,102.00 ","$5,590,623.00 ","$856,455.00 ","$16,361,344.00 "
10017,Greater Hartford Transit District,Full Reporter,Urban,"$306,915.00 ","$9,862,445.00 ",$0.00 ,"$155,917.00 ","$1,310,046.00 ",$0.00 ,"$11,635,323.00 ","$36,400,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$5,240,184.00 ",$0.00 ,"$41,640,184.00 ","$53,275,507.00 ",$0.00 ,"$5,871,380.00 ",$0.00 ,"$255,594.00 ","$304,525.00 ","$6,431,499.00 ",$0.00 ,$0.00 ,$0.00 ,"$812,068.00 ",$0.00 ,$0.00 ,"$812,068.00 ","$7,243,567.00 ","$6,705,193.00 ","$39,326,747.00 "
10040,Southeast Area Transit District,Full Reporter,Urban,"$44,626.00 ","$1,018,679.00 ","$254,511.00 ","$145,555.00 ",$0.00 ,$0.00 ,"$1,463,371.00 ","$9,401,847.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$9,401,847.00 ","$10,865,218.00 ",$0.00 ,"$200,501.00 ","$685,219.00 ","$135,252.00 ",$0.00 ,"$1,020,972.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,020,972.00 ",$0.00 ,"$9,844,246.00 "
10042,Valley Transit District,Full Reporter,Urban,"$497,399.00 ","$230,407.00 ",$0.00 ,"$8,836.00 ",$0.00 ,$0.00 ,"$736,642.00 ","$4,493,732.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$4,493,732.00 ","$5,230,374.00 ",$0.00 ,"$5,608.00 ",$0.00 ,"$104,545.00 ",$0.00 ,"$110,153.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$110,153.00 ",$0.00 ,"$5,120,221.00 "
10049,Greater New Haven Transit District,Full Reporter,Urban,"$505,600.00 ","$1,501,580.00 ","$62,998.00 ","$127,147.00 ",$0.00 ,$0.00 ,"$2,197,325.00 ","$7,186,337.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$7,186,337.00 ","$9,383,662.00 ",$0.00 ,"$140,791.00 ",$0.00 ,"$619,115.00 ","$146,521.00 ","$906,427.00 ","$217,593.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$217,593.00 ","$1,124,020.00 ",$0.00 ,"$8,259,642.00 "
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,"$3,507,540.00 ","$3,305,995.00 ","$1,339,028.00 ","$4,566.00 ",$0.00 ,$0.00 ,"$8,157,129.00 ","$29,473,704.00 ",$0.00 ,$0.00 ,$0.00 ,"$409,372.00 ",$0.00 ,$0.00 ,"$29,883,076.00 ","$38,040,205.00 ","$664,011.00 ","$1,132,124.00 ",$0.00 ,"$4,766,923.00 ","$59,472.00 ","$5,958,519.00 ",$0.00 ,$0.00 ,$0.00 ,"$10,457,290.00 ","$391,516.00 ",$0.00 ,"$10,848,806.00 ","$16,807,325.00 ","$2,868,376.00 ","$19,028,515.00 "
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,"$1,112,742.00 ","$1,076,355.00 ","$75,227.00 ","$36,126.00 ",$0.00 ,$0.00 ,"$2,300,450.00 ","$36,754,245.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$2,955,450.00 ",$0.00 ,"$39,709,695.00 ","$42,010,145.00 ",$0.00 ,"$289,168.00 ","$41,179.00 ","$164,546.00 ",$0.00 ,"$494,893.00 ","$80,418.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$80,418.00 ","$575,311.00 ",$0.00 ,"$41,434,834.00 "
10053,Cape Ann Transportation Authority,Full Reporter,Urban,"$2,806,558.00 ","$1,542,630.00 ",$0.00 ,"$3,275.00 ",$0.00 ,$0.00 ,"$4,352,463.00 ","$5,303,474.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$5,303,474.00 ","$9,655,937.00 ",$0.00 ,"$186,262.00 ",$0.00 ,"$61,650.00 ",$0.00 ,"$247,912.00 ","$2,210,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,894,551.00 ","$4,104,551.00 ","$4,352,463.00 ",$0.00 ,"$5,303,474.00 "
10057,Norwalk Transit District,Full Reporter,Urban,"$379,863.00 ","$1,254,789.00 ","$504,901.00 ","$19,565.00 ",$0.00 ,$0.00 ,"$2,159,118.00 ","$29,826,576.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,331,315.00 ",$0.00 ,$0.00 ,"$32,157,891.00 ","$34,317,009.00 ",$0.00 ,"$877,379.00 ","$1,705,659.00 ","$950,074.00 ",$0.00 ,"$3,533,112.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$275,636.00 ",$0.00 ,"$275,636.00 ","$3,808,748.00 ",$0.00 ,"$30,508,261.00 "
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,"$9,080,450.00 ","$25,388,113.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,093,121.00 ","$35,561,684.00 ","$52,196,138.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$52,196,138.00 ","$87,757,822.00 ",$0.00 ,"$26,419,517.00 ","$19,053,333.00 ","$422,682.00 ","$248,650.00 ","$46,144,182.00 ","$156,671.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$156,671.00 ","$46,300,853.00 ",$0.00 ,"$41,456,969.00 "
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,"$4,188,743.00 ","$17,219,256.00 ","$365,499.00 ","$825,568.00 ",$0.00 ,$0.00 ,"$22,599,066.00 ","$25,257,386.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$4,680,163.00 ","$29,937,549.00 ","$52,536,615.00 ","$2,020,720.00 ","$11,231,883.00 ","$8,200,000.00 ","$342,704.00 ","$137,186.00 ","$19,911,773.00 ",$0.00 ,$0.00 ,$0.00 ,"$6,754,417.00 ",$0.00 ,"$278,079.00 ","$7,032,496.00 ","$26,944,269.00 ","$2,145,219.00 ","$25,467,847.00 "
10066,Green Mountain Transit Authority,Full Reporter,Urban,"$3,831,572.00 ","$6,991,700.00 ","$793,299.00 ","$243,524.00 ",$0.00 ,$0.00 ,"$11,860,095.00 ","$65,630,375.00 ",$0.00 ,$0.00 ,$0.00 ,"$84,813.00 ",$0.00 ,$0.00 ,"$65,715,188.00 ","$77,575,283.00 ","$443,794.00 ","$3,443,613.00 ",$0.00 ,"$1,415,383.00 ","$5,003.00 ","$4,863,999.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$4,863,999.00 ",$0.00 ,"$73,155,078.00 "
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,"$1,975,763.00 ","$671,237.00 ","$106,369.00 ","$45,849.00 ",$0.00 ,$0.00 ,"$2,799,218.00 ","$4,206,913.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$4,206,913.00 ","$7,006,131.00 ",$0.00 ,"$215,364.00 ",$0.00 ,"$270,873.00 ","$110,802.00 ","$597,039.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$597,039.00 ",$0.00 ,"$6,409,092.00 "
10088,Casco Bay Island Transit District,Full Reporter,Urban,"$2,137,880.00 ","$230,004.00 ","$63,349.00 ","$74,092.00 ",$0.00 ,$0.00 ,"$2,505,325.00 ","$9,318,901.00 ",$0.00 ,$0.00 ,"$803,980.00 ","$19,790,948.00 ",$0.00 ,$0.00 ,"$29,913,829.00 ","$32,419,154.00 ",$0.00 ,"$468,770.00 ",$0.00 ,"$245,727.00 ","$1,912.00 ","$716,409.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,416,694.00 ","$1,416,694.00 ","$2,133,103.00 ",$0.00 ,"$30,286,051.00 "
