NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Operator (Vehicle Operations) Hours Worked,Full Time Non-Operator (Vehicle Operations) Hours Worked,Total Full Time (Vehicle Operations) Hours Worked,Full Time Operator (Vehicle Maintenance) Hours Worked,Full Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Full Time (Vehicle Maintenance) Hours Worked,Full Time Operator (Facility Maintenance) Hours Worked,Full Time Non-Operator (Facility Maintenance) Hours Worked,Total Full Time (Facility Maintenance) Hours Worked,Full Time Operator (General Administration) Hours Worked,Full Time Non-Operator (General Administration) Hours Worked,Total Full Time (General Administration) Hours Worked,Total Full Time Operator (Operating Labor) Hours Worked,Total Full Time Non-Operator (Operating Labor) Hours Worked,Total Full Time (Operating Labor) Hours Worked,Full Time Operator (Capital Labor) Hours Worked,Full Time Non-Operator (Capital Labor) Hours Worked,Total Full Time (Capital Labor) Hours Worked,Total Full Time Operator Hours Worked,Total Full Time Non-Operator Hours Worked,Total Full Time Hours Worked,Full Time Operator (Vehicle Operations) Employee Count,Full Time Non-Operator (Vehicle Operations) Employee Count,Total Full Time (Vehicle Operations) Employee Count,Full Time Operator (Vehicle Maintenance) Employee Count,Full Time Non-Operator (Vehicle Maintenance) Employee Count,Total Full Time (Vehicle Maintenance) Employee Count,Full Time Operator (Facility Maintenance) Employee Count,Full Time Non-Operator (Facility Maintenance) Employee Count,Total Full Time (Facility Maintenance) Employee Count,Full Time Operator (General Administration) Employee Count,Full Time Non-Operator (General Administration) Employee Count,Total Full Time (General Administration) Employee Count,Total Full Time Operator (Operations) Employee Count,Total Full Time Non-Operator (Operations) Employee Count,Total Full Time (Operations) Employee Count,Full Time Operator (Capital Labor) Employee Count,Full Time Non-Operator (Capital Labor) Employee Count,Total Full Time (Capital Labor) Employee Count,Total Full Time Operator Employee Count,Total Full Time Non-Operator Employee Count,Total Full Time Employee Count,Part Time Operator (Vehicle Operations) Hours Worked,Part Time Non-Operator (Vehicle Operations) Hours Worked,Total Part Time (Vehicle Operations) Hours Worked,Part Time Operator (Vehicle Maintenance) Hours Worked,Part Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Part Time (Vehicle Maintenance) Hours Worked,Part Time Operator (Facility Maintenance) Hours Worked,Part Time Non-Operator (Facility Maintenance) Hours Worked,Total Part Time (Facility Maintenance) Hours Worked,Part Time Operator (General Administration) Hours Worked,Part Time Non-Operator (General Administration) Hours Worked,Total Part Time (General Administration) Hours Worked,Total Part Time Operator (Operating Labor) Hours Worked,Total Part Time Non-Operator (Operating Labor) Hours Worked,Total Part Time (Operating Labor) Hours Worked,Part Time Operator (Capital Labor) Hours Worked,Part Time Non-Operator (Capital Labor) Hours Worked,Total Part Time (Capital Labor) Hours Worked,Total Part Time Operator Hours Worked,Total Part Time Non-Operator Hours Worked,Total Part Time Hours Worked,Part Time Operator (Vehicle Operations) Employee Count,Part Time Non-Operator (Vehicle Operations) Employee Count,Total Part Time (Vehicle Operations) Employee Count,Part Time Operator (Vehicle Maintenance) Employee Count,Part Time Non-Operator (Vehicle Maintenance) Employee Count,Total Part Time (Vehicle Maintenance) Employee Count,Part Time Operator (Facility Maintenance) Employee Count,Part Time Non-Operator (Facility Maintenance) Employee Count,Total Part Time (Facility Maintenance) Employee Count,Part Time Operator (General Administration) Employee Count,Part Time Non-Operator (General Administration) Employee Count,Total Part Time (General Administration) Employee Count,Total Part Time Operator (Operations) Employee Count,Total Part Time Non-Operator (Operations) Employee Count,Total Part Time (Operations) Employee Count,Part Time Operator (Capital Labor) Employee Count,Part Time Non-Operator (Capital Labor) Employee Count,Total Part Time (Capital Labor) Employee Count,Total Part Time Operator Employee Count,Total Part Time Non-Operator Employee Count,Total Part Time Employee Count,data_year
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,1884179,315055,2199234,0,558867,558867,0,62505,62505,0,374972,374972,1884179,1311399,3195578,0,56401,56401,1884179,1367800,3251979,972,177.5,1149.5,0,295.5,295.5,0,41.5,41.5,0,210,210,972,724.5,1696.5,0,31,31,972,755.5,1727.5,303739,0,303739,0,0,0,0,0,0,0,6993,6993,303739,6993,310732,0,0,0,303739,6993,310732,219,0,219,0,0,0,0,0,0,0,5,5,219,5,224,0,0,0,219,5,224,
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,231663,19670,251333,0,59428,59428,0,19827,19827,0,56308,56308,231663,155233,386896,0,975,975,231663,156208,387871,117,11,128,0,35.5,35.5,0,11,11,0,36,36,117,93.5,210.5,0,0.5,0.5,117,94,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,RiverCities Transit,Full Reporter,Urban,CB,DO,815,112,927,0,0,0,0,20,20,0,125,125,815,257,1072,0,0,0,815,257,1072,2,0.1,2.1,0,0,0,0,0,0,0,0.1,0.1,2,0.1,2.1,0,0,0,2,0.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,RiverCities Transit,Full Reporter,Urban,MB,DO,37354,7667,45021,0,0,0,0,1377,1377,0,4512,4512,37354,13556,50910,0,0,0,37354,13556,50910,25,4,29,0,0,0,0,1,1,0,2,2,25,7,32,0,0,0,25,7,32,0,0,0,0,0,0,0,1100,1100,0,0,0,0,1100,1100,0,0,0,0,1100,1100,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,95223,27167,122390,0,16543,16543,0,3692,3692,0,24764,24764,95223,72166,167389,0,0,0,95223,72166,167389,53,16,69,0,8.9,8.9,0,1.6,1.6,0,11.4,11.4,53,37.8,90.8,0,0,0,53,37.8,90.8,27238,5591,32829,0,3362,3362,0,602,602,0,5161,5161,27238,14716,41954,0,0,0,27238,14716,41954,24,4,28,0,2.5,2.5,0,0.6,0.6,0,5.4,5.4,24,12.5,36.5,0,0,0,24,12.5,36.5,
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,215785,13878,229663,0,33727,33727,0,7490,7490,0,50234,50234,215785,105329,321114,0,0,0,215785,105329,321114,110,7,117,0,18.1,18.1,0,3.2,3.2,0,23.1,23.1,110,51.4,161.4,0,0,0,110,51.4,161.4,47022,9935,56957,0,6855,6855,0,1221,1221,0,10469,10469,47022,28480,75502,0,0,0,47022,28480,75502,41,5,46,0,5,5,0,1.3,1.3,0,10.9,10.9,41,22.2,63.2,0,0,0,41,22.2,63.2,
18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,0,3604,3604,0,3668,3668,0,506,506,0,3394,3394,0,11172,11172,0,0,0,0,11172,11172,0,2,2,0,2,2,0,0.2,0.2,0,1.6,1.6,0,5.8,5.8,0,0,0,0,5.8,5.8,0,2470,2470,0,745,745,0,82,82,0,2123,2123,0,5420,5420,0,0,0,0,5420,5420,0,2,2,0,0.5,0.5,0,0.1,0.1,0,0.7,0.7,0,3.4,3.4,0,0,0,0,3.4,3.4,
19,Intercity Transit,Full Reporter,Urban,CB,DO,13243,2174,15417,0,2836,2836,0,532,532,0,2555,2555,13243,8097,21340,0,0,0,13243,8097,21340,7.6,1.2,8.8,0,1.6,1.6,0,0.4,0.4,0,1.6,1.6,7.6,4.8,12.4,0,0,0,7.6,4.8,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,Intercity Transit,Full Reporter,Urban,DR,DO,133013,48764,181777,0,18831,18831,0,834,834,0,28192,28192,133013,96621,229634,0,0,0,133013,96621,229634,78.3,28.8,107.1,0,10.9,10.9,0,0.6,0.6,0,18,18,78.3,58.3,136.5,0,0,0,78.3,58.3,136.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,Intercity Transit,Full Reporter,Urban,MB,DO,270435,44403,314838,0,57924,57924,0,18521,18521,0,52171,52171,270435,173019,443454,0,0,0,270435,173019,443454,155.1,24.9,180,0,33.5,33.5,0,12.2,12.2,0,33.3,33.3,155.1,103.9,259,0,0,0,155.1,103.9,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,Intercity Transit,Full Reporter,Urban,VP,DO,0,10192,10192,0,10282,10282,0,1366,1366,0,1698,1698,0,23538,23538,0,0,0,0,23538,23538,0,6.1,6.1,0,6,6,0,0.9,0.9,0,1.1,1.1,0,14,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,Kitsap Transit,Full Reporter,Urban,DR,DO,91185,49031,140216,0,14951,14951,0,10524,10524,0,29218,29218,91185,103724,194909,0,1784,1784,91185,105508,196693,69,33,102,0,9,9,0,6.7,6.7,0,17.2,17.2,69,65.9,134.9,0,1.3,1.3,69,67.2,136.2,3512,0,3512,0,0,0,0,556,556,0,1478,1478,3512,2034,5546,0,0,0,3512,2034,5546,5,0,5,0,0,0,0,0.4,0.4,0,1.1,1.1,5,1.5,6.5,0,0,0,5,1.5,6.5,
20,Kitsap Transit,Full Reporter,Urban,FB,DO,72673,0,72673,0,23121,23121,0,662,662,0,6785,6785,72673,30568,103241,0,2265,2265,72673,32833,105506,52,0,52,0,13.7,13.7,0,0.4,0.4,0,4,4,52,18.1,70.1,0,1.6,1.6,52,19.7,71.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,Kitsap Transit,Full Reporter,Urban,MB,DO,160607,33292,193899,0,61027,61027,0,17146,17146,0,47588,47588,160607,159053,319660,0,2938,2938,160607,161991,322598,104,20,124,0,36.8,36.8,0,10.9,10.9,0,28,28,104,95.7,199.7,0,2.1,2.1,104,97.8,201.8,36132,428,36560,0,0,0,0,906,906,0,2408,2408,36132,3742,39874,0,0,0,36132,3742,39874,68,1,69,0,0,0,0,0.6,0.6,0,1.8,1.8,68,3.4,71.4,0,0,0,68,3.4,71.4,
20,Kitsap Transit,Full Reporter,Urban,VP,DO,0,3607,3607,0,1926,1926,0,539,539,0,1497,1497,0,7569,7569,0,92,92,0,7661,7661,0,2,2,0,1.2,1.2,0,0.3,0.3,0,0.9,0.9,0,4.4,4.4,0,0.1,0.1,0,4.5,4.5,0,0,0,0,0,0,0,29,29,0,76,76,0,105,105,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,
21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,91283,41952,133235,0,12573,12573,0,1666,1666,0,17591,17591,91283,73782,165065,0,0,0,91283,73782,165065,50,25.1,75.1,0,7.2,7.2,0,1,1,0,11,11,50,44.3,94.3,0,0,0,50,44.3,94.3,1150,0,1150,0,0,0,0,0,0,0,0,0,1150,0,1150,0,0,0,1150,0,1150,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,
21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,204756,38405,243161,0,36331,36331,0,11205,11205,0,35208,35208,204756,121149,325905,0,0,0,204756,121149,325905,119,23.7,142.7,0,21.1,21.1,0,6.5,6.5,0,21.9,21.9,119,73.1,192.1,0,0,0,119,73.1,192.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,0,333,333,0,405,405,0,74,74,0,224,224,0,1036,1036,0,0,0,0,1036,1036,0,0.2,0.2,0,0.2,0.2,0,0,0,0,0.1,0.1,0,0.6,0.6,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,89281,24242,113523,0,13739,13739,0,7317,7317,0,28039,28039,89281,73337,162618,0,0,0,89281,73337,162618,50.2,12.9,63.1,0,7.7,7.7,0,4.2,4.2,0,16.8,16.8,50.2,41.7,91.9,0,0,0,50.2,41.7,91.9,32508,345,32853,0,0,0,0,0,0,0,96,96,32508,441,32949,0,0,0,32508,441,32949,18,0,18,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,18,0,18,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,305584,51338,356922,0,85773,85773,0,23288,23288,0,87149,87149,305584,247548,553132,0,0,0,305584,247548,553132,175,30,205,0,47.9,47.9,0,13,13,0,52.2,52.2,175,143.1,318.1,0,0,0,175,143.1,318.1,22795,213,23008,0,0,0,0,0,0,0,156,156,22795,369,23164,0,0,0,22795,369,23164,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,0,0,0,0,31,31,0,128,128,0,1730,1730,0,1889,1889,0,0,0,0,1889,1889,0,0,0,0,0.1,0.1,0,0.1,0.1,0,1.1,1.1,0,1.2,1.2,0,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,235126,46970,282096,0,46417,46417,0,17795,17795,0,62001,62001,235126,173183,408309,0,14,14,235126,173197,408323,126,27,153,0,24.6,24.6,0,8.4,8.4,0,34.2,34.2,126,94.2,220.2,0,0,0,126,94.2,220.2,0,1494,1494,0,1414,1414,0,0,0,0,1449,1449,0,4357,4357,0,0,0,0,4357,4357,0,1,1,0,1,1,0,0,0,0,1,1,0,3,3,0,0,0,0,3,3,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,62698,15822,78520,0,19462,19462,0,3236,3236,0,21117,21117,62698,59637,122335,0,2951,2951,62698,62588,125286,34.1,9,43.1,0,11.9,11.9,0,2.1,2.1,0,12.7,12.7,34.1,35.6,69.7,0,1.8,1.8,34.1,37.4,71.5,512,0,512,0,0,0,0,0,0,0,92,92,512,92,604,0,0,0,512,92,604,0.7,0,0.7,0,0,0,0,0,0,0,0.3,0.3,0.7,0.3,1,0,0,0,0.7,0.3,1,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,558993,159934,718927,0,115229,115229,0,28847,28847,0,203220,203220,558993,507230,1066223,0,30162,30162,558993,537392,1096385,303.9,91,394.9,0,70.4,70.4,0,18.4,18.4,0,121.8,121.8,303.9,301.5,605.5,0,18.3,18.3,303.9,319.9,623.8,4565,0,4565,0,0,0,0,0,0,0,821,821,4565,821,5386,0,0,0,4565,821,5386,6.3,0,6.3,0,0,0,0,0,0,0,2.4,2.4,6.3,2.4,8.7,0,0,0,6.3,2.4,8.7,
