NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS, Bio-Diesel , Bunker Fuel , C Natural Gas , Diesel Fuel , Electric Battery , Electric Propulsion , Ethanol , Methanol , Gasoline , Hydrogen , Kerosene , Liquified Nat Gas , Liquified Petroleum Gas , Other Fuel , Other Fuel Description 
10066,Green Mountain Transit Authority,Full Reporter,Urban,CB,DO,0,,,61608,,,,,17193,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,DO,0,,,0,,,,,55884,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,46330,,,,,,
10066,Green Mountain Transit Authority,Full Reporter,Urban,MB,DO,0,,,232041,45570,,,,37048,,,,,,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,,,,,,,,,26441,,,,,,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,42510,,,54253,,,,,17063,,,,,,
10087,City of Nashua,Full Reporter,Urban,DR,PT,415,,,0,,,,,18375,,,,,,
10087,City of Nashua,Full Reporter,Urban,MB,PT,16827,,90611,0,,,,,360,,,,,,
10088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,45658,,,258519,,,,,,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,CB,DO,0,,,17433,,,,,7283,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,,38502,,,,,,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,0,,,15977,,,,,2586,,,,,,
10102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,0,,,189332,,,,,,,,,,,
10102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,0,,,708538,,1228448,,,,,,,,,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,132303,,,,,,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,7991,,,151836,,,,,72899,,,,,,
10107,Milford Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,25533,,,,,,
10107,Milford Transit District,Full Reporter,Urban,MB,DO,0,,,54397,,,,,,,,,,,
10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,0,,,870101,,,,,,,,,,,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,90616,,,,,,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,,,123768,,,,,,17096,,,,,,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,DO,,,,,,,,,89523,,,,,,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,DO,0,,,287996,,,,,,,,,,,
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,MB,PT,0,,,237724,,,,,,,,,,,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,0,,,3384315,,,,,,,,,,,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,0,,,50544,,,,,10518,,,,,,
11147,Rhode Island Department of Transportation,Full Reporter,Urban,FB,PT,0,,,130831,,,,,,,,,,,
11238,Bay State LLC,Full Reporter,Urban,FB,DO,0,,,276933,,,,,,,,,,,
11239,"Hyannis Harbor Tours, Inc. ",Full Reporter,Urban,FB,DO,0,,,1445765,,,,,,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,0,,,97153,,,,,,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,161978,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,219263,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,0,,,2052309,27415,,,,16493,,,,,,
20002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,,27139,,,,,,
20003,Broome County,Full Reporter,Urban,DR,DO,,,,,,,,,55561,,,,,,
20003,Broome County,Full Reporter,Urban,MB,DO,0,,,251939,,,,,,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,0,,20200,16131,,,,,205940,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,8294444,,,,,,,,,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,0,,990934,1035705,,,,,,,,,,,
20006,City of Long Beach,Full Reporter,Urban,DR,DO,,,,,,,,,804,,,,,,
20006,City of Long Beach,Full Reporter,Urban,MB,DO,0,,,56078,,,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,CB,DO,0,,,3697741,,,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,DR,PT,0,,,19738,,,,,3570980,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,HR,DO,,,,,,1552447460,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,MB,DO,0,,4824913,23170009,618599,,,,,,,,,,
20008,MTA New York City Transit,Full Reporter,Urban,RB,DO,0,,,1070814,,,,,,,,,,,
20010,Dutchess County,Full Reporter,Urban,DR,DO,0,,,36505,,,,,,,,,,,
20010,Dutchess County,Full Reporter,Urban,MB,DO,0,,,224587,,,,,,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,116610,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,82699,,,,,,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,0,,752372,363055,,,,,,,,,,,
20071,Town of Huntington,Full Reporter,Urban,DR,DO,,,,,,,,,27755,,,,,,
20071,Town of Huntington,Full Reporter,Urban,MB,DO,0,,,21033,,,,,33156,,,,,,
20072,Suffolk County ,Full Reporter,Urban,DR,PT,,,,,,,,,1147047,,,,,,
20072,Suffolk County ,Full Reporter,Urban,MB,PT,0,,,1084223,,,,,231609,,,,,,
20075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,,,,,,40007603,,,,,,,,,
20076,Westchester County,Full Reporter,Urban,DR,PT,,,,,,,,,288382,,,,,,
20076,Westchester County,Full Reporter,Urban,MB,PT,0,,,2333427,21490,,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,0,,,6882694,,388728660,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,0,,,192849,,,,,,,,,,,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,0,,,41741,,,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,0,,,14018352,,344775043,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,1761034,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,,,,,,6936448,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,,,,,,29105137,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,0,,1257636,19011620,,,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,0,,,1887499,,,,,,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,,,,,,,,,44867,,,,,,
20080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,0,,,667776,,,,,,,,,,,
20082,New York City Department of Transportation,Full Reporter,Urban,CB,PT,0,,,0,,,,,,,,,,,
20082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,0,,,4840205,,,,,,,,,,,
20084,County of Rockland ,Full Reporter,Urban,DR,DO,,,,,,,,,70126,,,,,,
20084,County of Rockland ,Full Reporter,Urban,MB,PT,0,,,391733,,,,,16744,,,,,,
20096,Putnam County ,Full Reporter,Urban,DR,PT,,,,,,,,,14008,,,,,,
20096,Putnam County ,Full Reporter,Urban,MB,PT,,,,,,,,,57495,,,,,,
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,,,,,,93339968,,,,,,,,,
20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,HR,DO,,,,,,24803444,,,,,,,,,
20100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,0,,,7310132,,475664400,,,,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,DR,DO,0,,,12155,,,,,345483,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,MB,DO,0,,,1065611,316588,,,,,,,,,,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,VP,PT,,,,,,,,,2550,,,,,,
20122,"Academy Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,668954,,,,,,,,,,,
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,944587,,,,,,,,,,,
20128,Suburban Transit Corporation,Full Reporter,Urban,CB,DO,0,,,772193,,,,,,,,,,,
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,CB,DO,0,,,288710,,,,,,,,,,,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,DR,PT,,,,,,,,,54399,,,,,,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,MB,DO,0,,,310801,186344,,,,0,,,,,,
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,CB,DO,0,,,283362,,,,,,,,,,,
20161,DeCamp Bus Lines,Full Reporter,Urban,CB,DO,0,,,214773,,,,,,,,,,,
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,CB,DO,0,,,293079,,,,,,,,,,,
20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,MB,DO,0,,,221969,,,,,,,,,,,
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,CB,DO,241888,,,0,,,,,,,,,,,
20175,Private Transportation Corporation,Full Reporter,Urban,MB,PT,48505,,,0,,,,,,,,,,,
20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,CB,DO,0,,,217501,,,,,,,,,,,
20178,Ulster County ,Full Reporter,Urban,DR,DO,,,,,,,,,25694,,,,,,
20178,Ulster County ,Full Reporter,Urban,MB,DO,0,,,62400,63461,,,,28606,,,,,,
20188,MTA Bus Company,Full Reporter,Urban,MB,DO,0,,1147229,9476906,,,,,,,,,,,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,FB,DO,0,,,1908884,,,,,,,,,,,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,MB,DO,0,,,99043,,,,,,,,,,,
20192,Bergen County,Full Reporter,Urban,DR,DO,,,,,,,,,79229,,,,,,
20192,Bergen County,Full Reporter,Urban,MB,DO,,,,,,,,,9531,,,,,,
20199,County of Atlantic,Full Reporter,Urban,DR,DO,0,,,4158,,,,,89271,,,,,,
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,DR,DO,0,,,156,,,,,93908,,,,,,
20206,County of Nassau,Full Reporter,Urban,DR,PT,0,,,26552,,,,,220732,,,,,,
20206,County of Nassau,Full Reporter,Urban,MB,PT,0,,2237326,6790,,,,,10905,,,,,,
20209,Somerset County,Full Reporter,Urban,DR,DO,0,,,0,,,,,102160,,,,,,
20209,Somerset County,Full Reporter,Urban,MB,DO,0,,,21287,,,,,64415,,,,,,
20217,"Hampton Jitney, Inc.",Full Reporter,Urban,CB,DO,0,,,428924,,,,,,,,,,,
20223,Cape May Lewes Ferry,Full Reporter,Urban,FB,DO,0,,,870031,,,,,,,,,,,
20226,"SeaStreak, LLC",Full Reporter,Urban,FB,DO,0,,,1701973,,,,,,,,,,,
20228,"Enterprise Holdings, LLC",Full Reporter,Urban,VP,PT,,,,,,,,,257,,,,,,
22930,New York City Economic Development Corporation,Full Reporter,Urban,FB,PT,0,,,3856180,,,,,,,,,,,
22930,New York City Economic Development Corporation,Full Reporter,Urban,MB,PT,0,,,18749,,,,,,,,,,,
