NTDID,Agency Name,Reporter Type,Reporting Module,City,State,UZA,UZA Name,Mode,TOS,Form,Data Point,VRS Name,Q Type,FTA Approved
462,Noorvik Native Community,Reduced Reporter,Tribe,Noorvik,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Unlinked Passenger Trips,00462 - DR/DO UPT W,W,No
0R02-00360,City of Woodburn,Rural Reporter,Rural,Woodburn,OR,,,,,Reduced Reporting (RR-20) - General Public Transit,Total Funds - Funds Expended on Operations,0R02-00360 OE Funding Sources Q,Q,No
0R02-00360,City of Woodburn,Rural Reporter,Rural,Woodburn,OR,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Operating Expenses - Funds Expended on Operations,0R02-00360 DR/DO OE Q,Q,No
0R02-00360,City of Woodburn,Rural Reporter,Rural,Woodburn,OR,,,MB,DO,Reduced Reporting (RR-20) - General Public Transit,Operating Expenses - Funds Expended on Operations,0R02-00360 MB/DO OE Q,Q,No
0R03-00364,Twin Transit,Rural Reporter,Rural,Centralia,WA,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,0R03-00364 - DR/DO OE Q ,Q,No
0R04-00387,City of Bethel,Rural Reporter,Rural,Bethel,AK,,,MB,DO,Reduced Reporting (RR-20) - General Public Transit,Operating Expenses - Funds Expended on Operations,00387 - MB/DO OE Q,Q,No
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,Providence,RI,39.0,"Providence, RI-MA",VP,PT,Service Non-Rail (S-10),Total Actual Vehicle Revenue Hours (VRH) - Annual Total,10001 - VP/PT VRH W,W,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ CR/PT OE â€“ Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Operating Expenses (F-30),Services - Facility Maintenance,10003 â€“ CR/PT Services - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Operating Expenses (F-30),Other Materials and Supplies - Facility Maintenance,10003 â€“ CR/PT Other Materials and Supplies - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Service Rail (S-10),Total Actual Passenger Car Miles - Average Weekday Schedule,10003 â€“ CR/PT Average Weekday Passenger Car Miles â€“ Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Service Rail (S-10),Total Actual Passenger Car Revenue Miles - Average Weekday Schedule,10003 â€“ CR/PT Average Weekday Passenger Car Revenue Miles - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Service Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ CR/PT Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Service Rail (S-10),Vehicles available for annual maximum service,10003 â€“ CR/PT Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ DR/PT OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Operating Expenses (F-30),Services - Facility Maintenance,10003 â€“ DR/PT Services - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Operating Expenses (F-30),Other Materials and Supplies - Facility Maintenance,10003 â€“ DR/PT Other Materials and Supplies - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ DR/PT Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Service Non-Rail (S-10),Vehicles available for annual maximum service,10003 â€“ DR/PT Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Contractual Relationship (B-30),Capital Leasing,10003 â€“ FB/PT Capital Leasing Expenses - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ FB/PT OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,CEO Certification (D-10),Part 5 Passenger Mile Data [All PT Modes],10003 â€“ FB/PT UPT (PM) Collection Method - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,CEO Certification (D-10),Part 6 Unlinked Passenger Trip Data [All PT Modes],10003 â€“ FB/PT UPT Collection Method (PT Modes) - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Operating Expenses (F-30),Services - Facility Maintenance,10003 â€“ FB/PT Services- Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Operating Expenses (F-30),In Report - Vehicle Maintenance,10003 â€“ FB/PT Vehicle Maintenance Purchased Transportation In Report Expenses - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ FB/PT Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Service Non-Rail (S-10),Vehicles available for annual maximum service,10003 â€“ FB/PT Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ HR/DO OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Service Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ HR/DO Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Service Rail (S-10),Vehicles available for annual maximum service,10003 â€“ HR/DO Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Operating Expenses (F-30),Utilities - Vehicle Operations,10003 â€“ LR/DO Vehicle Operations Utilities - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ LR/DO OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Average Weekday Schedule,10003 â€“ LR/DO Average Weekday UPT â€“ Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Average Saturday Schedule,10003 â€“ LR/DO Average Saturday UPT - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Average Sunday Schedule,10003 â€“ LR/DO Average Sunday UPT - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Service Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ LR/DO Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Service Rail (S-10),Vehicles available for annual maximum service,10003 â€“ LR/DO Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ MB/DO OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Operating Expenses (F-30),Other Salaries and Wages - Vehicle Operations,10003 â€“ MB/DO Vehicle Operations Other Salaries and Wages - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ MB/DO Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Service Non-Rail (S-10),Vehicles available for annual maximum service,10003 â€“ MB/DO Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ MB/PT OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Operating Expenses (F-30),In Report - Facility Maintenance,10003 â€“ MB/PT Facility Maintenance Purchased Transportation In Report Expenses - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ MB/PT Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Service Non-Rail (S-10),Vehicles available for annual maximum service,10003 â€“ MB/PT Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Operating Expenses (F-30),Other Salaries and Wages - Vehicle Maintenance,10003 â€“ RB/DO Vehicle Maintenance Other Salaries and Wages - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ RB/DO OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ RB/DO VOMS - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ RB/DO Vehicles Operated in Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Service Non-Rail (S-10),Vehicles available for annual maximum service,10003 â€“ RB/DO Vehicles Available for Maximum Service - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Utilities - Vehicle Operations,10003 â€“ TB/DO Vehicle Operations Utilities - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 â€“ TB/DO OE - Q,Q,Yes
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Other Salaries and Wages - Facility Maintenance,10003 â€“ TB/DO Facility Maintenance Other Salaries and Wages - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Other Salaries and Wages - General Administration,10003 â€“ TB/DO General Administration Other Salaries and Wages - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Other Salaries and Wages - Vehicle Operations,10003 â€“ TB/DO Vehicle Operations Other Salaries and Wages - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Operator's Salaries and Wages - Vehicle Operations,10003 â€“ TB/DO Vehicle Operations Operatorsâ€™ Salaries and Wages - Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),10003 â€“ TB/DO Vehicles Operated in Maximum Service â€“ Q,Q,No
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Service Non-Rail (S-10),Vehicles available for annual maximum service,10003 â€“ TB/DO Vehicles Available for Maximum Service - Q,Q,No
10063,Middletown Transit District,Reduced Reporter,Urban,Middletown,CT,47.0,"Hartford, CT",MB,DO,Federal Funding Allocation Statistics (FFA-10),Total Actual Vehicle Revenue Miles (VRM) -Annual Total ,10063 â€“ MB/DO - Q VRM,Q,Yes
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - CB/DO Waiver Passenger Miles Traveled,W,Yes
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - MB/DO Waiver Passenger Miles Traveled,W,Yes
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",CB,DO,Uses of Capital (F-20),Maintenance Buildings (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Maintenance Buildings Improvement for Existing Service CB/DO - Q,Q,No
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",CB,DO,Uses of Capital (F-20),Revenue Vehicles (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Revenue Vehicles Improvement for Existing Service CB/DO - Q,Q,No
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",CB,DO,Uses of Capital (F-20),Other (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Other Improvement for Existing Service CB/DO - Q,Q,No
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",DR,DO,Uses of Capital (F-20),Other (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Other Improvement for Existing Service DR/DO - Q,Q,No
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",MB,DO,Uses of Capital (F-20),Maintenance Buildings (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Maintenance Buildings Improvement for Existing Service MB/DO - Q,Q,No
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",MB,DO,Uses of Capital (F-20),Revenue Vehicles (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Revenue Vehicles Improvement for Existing Service MB/DO - Q,Q,No
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Auburn,ME,446.0,"Lewiston, ME",MB,DO,Uses of Capital (F-20),Other (Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service),10098 - Other Improvement for Existing Service MB/DO - Q,Q,No
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",,,Transit Asset Management Facilities Inventory (A-15),Condition Asessment,10102 - Condition Assessment W,W,No
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",CB,PT,Operating Expenses (F-30),Total Modal Expenses - Vehicle Operations,10102 - CB/PT Total Operating Expenses Q,Q,Yes
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",CR,PT,Operating Expenses (F-30),Total Modal Expenses - Vehicle Operations,10102 - CR/PT Total Operating Expenses Q,Q,Yes
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,Portsmouth,NH,329.0,"Portsmouth, NH-ME",,,Transit Asset Management Performance Measure Targets (A-90),Narrative Report,10122 - Narrative Report W,W,No
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,Portsmouth,NH,329.0,"Portsmouth, NH-ME",,,Transit Asset Management Performance Measure Targets (A-90),Over-the-road Bus Target,10122 - Over-the-Road Bus Target W,W,No
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,Portsmouth,NH,329.0,"Portsmouth, NH-ME",,,Transit Asset Management Performance Measure Targets (A-90),Double Decker Bus Target,10122 - Double Decker Bus Target W,W,No
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,Portsmouth,NH,329.0,"Portsmouth, NH-ME",,,Transit Asset Management Performance Measure Targets (A-90),Automobiles Target,10122 - Automobiles Target W,W,No
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,Portsmouth,NH,329.0,"Portsmouth, NH-ME",,,Transit Asset Management Performance Measure Targets (A-90),Trucks and other Rubber Tire Vehicles Target,10122 - Trucks and Other Rubber Tire Vehicles Target W,W,No
10149,Windham Region Transit District,Reduced Reporter,Urban,Mansfield Center,CT,47.0,"Hartford, CT",,,CEO Certification (D-10),,Waiver Request: Financial Statement,W,Yes
11238,Bay State Cruise Company,Full Reporter,Urban,,MA,152.0,"Barnstable Town, MA",,,CEO Certification (D-10),,Waiver Request: Financial Statement,W,Yes
11238,Bay State Cruise Company,Full Reporter,Urban,,MA,152.0,"Barnstable Town, MA",FB,DO,Operating Expenses (F-30),Operators' Paid Absences - Vehicle Operations,11238 - Vehicle Operations Operator Other Paid Absences - FB/DO - (Q),Q,No
20002,Capital District Transportation Authority,Full Reporter,Urban,Albany,NY,67.0,"Albany-Schenectady, NY",DR,TX,Service Non-Rail (S-10),Total Actual Vehicle Revenue Miles (VRM) - Annual Total ,20002 - DR/TX VRM W,W,Yes
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20006 - DR/DO Questionable Operating Expenses (no IAS-FD),Q,Yes
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,20006 - Unlinked Passenger Trips (Q) DR/DO,Q,No
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20006 - Passenger Miles Traveled (Q) DR/DO,Q,Yes
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20006 - MB/DO Questionable Operating Expenses (no IAS-FD),Q,Yes
20008,MTA New York City Transit,Full Reporter,Urban,Brooklyn,NY,1.0,"New York-Newark, NY-NJ-CT",DR,PT,Operating Expenses (F-30),In Report - Facility Maintenance,20008 - RY21 DR/PT Waiver Facility Maintenance Purchased Transportation In Report (5101),W,No
20008,MTA New York City Transit,Full Reporter,Urban,Brooklyn,NY,1.0,"New York-Newark, NY-NJ-CT",DR,PT,Operating Expenses (F-30),In Report - General Administration,20008 - RY21 DR/PT Waiver General Administration Purchased Transportation In Report (5101),W,No
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",CR,DO,Service Rail (S-10),Passenger Miles (PM) - Annual Total Schedule,20078 - CR/DO S-10 PMT W,W,Yes
20080,New Jersey Transit Corporation,Full Reporter,Urban,Newark,NJ,1.0,"New York-Newark, NY-NJ-CT",LR,DO,Operating Expenses (F-30),Other Paid Absences - Facility Maintenance,20080 - Facility Maintenance Paid Absences (LR/DO),Q,No
20096,Putnam County ,Full Reporter,Urban,Carmel,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled  (PMT) - Average Weekday Schedule,20096 - PMT Waiver Average Weekday (MB/PT) ,W,No
20096,Putnam County ,Full Reporter,Urban,Carmel,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Saturday Schedule,20096 - PMT Waiver Average Saturday (MB/PT) ,W,No
20096,Putnam County ,Full Reporter,Urban,Carmel,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Sunday Schedule,20096 - PMT Waiver Average Sunday (MB/PT) ,W,No
20096,Putnam County ,Full Reporter,Urban,Carmel,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20096 - PMT Waiver Annual Total (MB/PT) ,W,Yes
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,New York,NJ,1.0,"New York-Newark, NY-NJ-CT",HR,DO,Service Rail (S-10),Passenger Miles (PM) - Average Weekday Schedule,20098 - PMT Average Weekday Schedule,W,No
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,New York,NJ,1.0,"New York-Newark, NY-NJ-CT",HR,DO,Service Rail (S-10),Passenger Miles (PM) - Average Saturday Schedule,20098 - PMT Average Saturday Schedule,W,No
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,New York,NJ,1.0,"New York-Newark, NY-NJ-CT",HR,DO,Service Rail (S-10),Passenger Miles (PM) - Average Sunday Schedule,20098 - PMT Average Sunday Schedule,W,No
