NTDID,Agency Name,Reporter Type,Reporting Module,City,State,UZA,UZA Name,Mode,TOS,Form,Data Point,Item Name,Item Type,Item Type Code
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00019 - MB/DO PMT W,Waiver,W
21,Whatcom Transportation Authority,Full Reporter,Urban,Bellingham,WA,275.0,"Bellingham, WA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00021 - MB/DO PMT Waiver,Waiver,W
47,City of Corvallis,Reduced Reporter,Urban,Corvallis,OR,436.0,"Corvallis, OR",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
58,City of Portland,Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",SR,PT,Service Rail (S-10),Total Actual Passenger Car Revenue Miles - Annual Total Schedule,00058 - VRM W,Waiver,W
58,City of Portland,Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",SR,PT,Service Rail (S-10),Total Actual Passenger Car Revenue Hours - Annual Total Schedule,00058 - VRH W,Waiver,W
58,City of Portland,Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",SR,PT,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,00058 - UPT W,Waiver,W
103,Squaxin Island Tribe,Reduced Reporter,Tribe,Shelton,WA,0.0,Washington Non-UZA,MB,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Miles,00103 - MB/DO VRM W,Waiver,W
103,Squaxin Island Tribe,Reduced Reporter,Tribe,Shelton,WA,0.0,Washington Non-UZA,MB,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,00103 - MB/DO VRH W,Waiver,W
103,Squaxin Island Tribe,Reduced Reporter,Tribe,Shelton,WA,0.0,Washington Non-UZA,MB,DO,Reduced Reporting (RR-20) - Small Systems,Operating Expenses - Funds Expended on Operations,00103 - MB/DO OE W,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DR,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00376 - DR/DO PMT Waiver,Waiver,W
376,"Ride Connection, Inc.",Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",DR,TX,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00376 - DR/TX PMT Waiver,Waiver,W
0R02,Oregon Department of Transportation ,State Reporter,Rural,Salem,OR,,,,,Transit Asset Management Performance Measure Targets (A-90),Other Target,0R02 - OR Target W,Waiver,W
0R03-00364,Twin Transit,Rural Reporter,Rural,,WA,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Fare Revenues Passenger-Paid Fares - Funds Expended on Operations,0R03-00364 - DR/DO Fare Q,Questionable,Q
0R03-00364,Twin Transit,Rural Reporter,Rural,,WA,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,0R03-00364 - DR/DO OE Q,Questionable,Q
0R03-00364,Twin Transit,Rural Reporter,Rural,,WA,,,MB,DO,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,0R03-00364 - MB/DO OE Q,Questionable,Q
0R04-00382,Inter-Island Ferry Authority,Rural Reporter,Rural,Klawock,AK,,,FB,DO,Transit Asset Management Facilities Inventory (A-15),SqFt,0R04-00382 - A-15 Square Footage W,Waiver,W
0R04-00382,Inter-Island Ferry Authority,Rural Reporter,Rural,Klawock,AK,,,FB,DO,Transit Asset Management Facilities Inventory (A-15),Year Built or Reconstructed as New,0R04-00382 - A-15 Year Built W,Waiver,W
0R04-00387,City of Bethel,Rural Reporter,Rural,Bethel,AK,,,MB,DO,Reduced Reporting (RR-20) - Small Systems,Total Funds - Funds Expended on Operations,0R04-00387 - Total Operating Expenses by Source,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",,,Service Vehicle Inventory (A-35),Estimated Cost,10003 A-35 Estimated Cost Waiver,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",,,Operating Expenses Summary (F-40),Capital Leases - Funds Applied,10003 - Capital Leases Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",CR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - CR/PT Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - DR/PT Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - FB/PT Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Contractual Relationship (B-30),Capital Leasing,10003 - FB/PT Capital Leasing Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Federal Funding Allocation Statistics (FFA-10),FG Directional Route Miles (DRM) -Annual Total,10003 - FB/PT Directional Route Miles Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - HR/DO Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Service Rail (S-10),Total Actual Passenger Car Revenue Miles -Average Saturday Schedule,10003 - HR/DO Average Saturday Passenger Car Revenue Miles Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Service Rail (S-10),Total Actual Passenger Car Revenue Miles - Average Sunday Schedule,10003 - HR/DO Average Sunday Passenger Car Revenue Miles Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - LR/DO Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Service Rail (S-10),Passenger Car Deadhead Hours - Annual Total Schedule,10003 - LR/DO Passenger Car Deadhead Hours Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - MB/DO Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Employees (R-10),Vehicle Operations - Full Time Non-Operator Work Hours,10003 - MB/DO Vehicle Operations Full Time Non-Operator Hours Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - MB/PT Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10003 2020 MB/PT UPT Waiver,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10003 2020 MB/PT PMT Waiver,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - RB/DO Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Federal Funding Allocation Statistics (FFA-10),Actual Vehicle Revenue Miles (VRM) >= 7 Years @ Federal Fiscal Year End (FFYE) -UZA/Non UZA X,10003 - RB/DO Fixed Guideway Vehicle Revenue Miles on Guideway over 7 Years Old Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Revenue Vehicle Inventory (A-30),Kilowatt hours of propulsion power (EP),10003 - RB/DO Kilowatt-hours of Propulsion Power Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - TB/DO Total Operating Expenses Q,Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Total Modal Expenses - General Administration,10003 - TB/DO Total General Administration Expenses Q,Questionable,Q
10016,Greater Portland Transit District,Full Reporter,Urban,Portland,ME,177.0,"Portland, ME",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10016 - MB/DO PMT W,Waiver,W
10016,Greater Portland Transit District,Full Reporter,Urban,Portland,ME,177.0,"Portland, ME",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10016 - MB/DO UPT W,Waiver,W
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,Hartford,CT,47.0,"Hartford, CT",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10048 - UPT W,Waiver,W
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,Hartford,CT,72.0,"New Haven, CT",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10055 - MB/DO UPT W,Waiver,W
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,Hartford,CT,48.0,"Bridgeport-Stamford, CT-NY",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10056 - UPT W,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - CB/DO Waiver Passenger Miles Traveled,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - MB/DO Waiver Passenger Miles Traveled,Waiver,W
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",CB,PT,Operating Expenses (F-30),Total Modal Expenses - Vehicle Operations,10102 - CB/PT Operating Expenses Q,Questionable,Q
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",CR,PT,Operating Expenses (F-30),Total Modal Expenses - Vehicle Operations,10102 - CR/PT Operating Expenses Q,Questionable,Q
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,Hyannis,MA,152.0,"Barnstable Town, MA",DR,PT,Contractual Relationship (B-30),Contractual Relationship,10105 - DR/PT Waiver HST B-30s,Waiver,W
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,Hyannis,MA,152.0,"Barnstable Town, MA",DR,TX,Contractual Relationship (B-30),Contractual Relationship,10105 - DR/TX Waiver HST B-30s,Waiver,W
10119,University Of New Hampshire,Reduced Reporter,Urban,Durham,NH,331.0,"Dover-Rochester, NH-ME",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,Portsmouth,NH,329.0,"Portsmouth, NH-ME",CB,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,10122 - CB/DO Vehicle Revenue Hours W,Waiver,W
11238,Bay State Cruise Company,Full Reporter,Urban,,MA,152.0,"Barnstable Town, MA",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
11239,"Hyannis Harbor Tours, Inc. ",Full Reporter,Urban,,MA,152.0,"Barnstable Town, MA",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
1R04-10161,Belknap-Merrimack CAP/Concord Area Transit,Rural Reporter,Rural,Concord,NH,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,1R04-10161: DR/DO OE W,Waiver,W
1R04-10161,Belknap-Merrimack CAP/Concord Area Transit,Rural Reporter,Rural,Concord,NH,,,MB,DO,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,1R04 -10161: MB/DO OE W,Waiver,W
20002,Capital District Transportation Authority,Full Reporter,Urban,Albany,NY,67.0,"Albany-Schenectady, NY",VP,PT,Service Non-Rail (S-10),Total Actual Vehicle Revenue Hours  (VRH) - Annual Total Schedule,20002 - VP/PT VRH W,Waiver,W
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
20008,MTA New York City Transit,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,20008 - MB/DO Waiver Unlinked Passenger Trips,Waiver,W
20008,MTA New York City Transit,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20008 - MB/DO Waiver Passenger Miles Traveled,Waiver,W
20008,MTA New York City Transit,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",RB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,20008 - RB/DO Waiver Unlinked Passenger Trips,Waiver,W
20008,MTA New York City Transit,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",RB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20008 - RB/DO Waiver Passenger Miles Traveled,Waiver,W
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",CR,DO,Service Rail (S-10),Passenger Miles (PM) - Annual Total Schedule,20078 - CR/DO S-10 PMT W,Waiver,W
20100,MTA Long Island Rail Road,Full Reporter,Urban,Jamaica,NY,1.0,"New York-Newark, NY-NJ-CT",CR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,20100 - CR/DO S-10 UPT W,Waiver,W
20100,MTA Long Island Rail Road,Full Reporter,Urban,Jamaica,NY,1.0,"New York-Newark, NY-NJ-CT",CR,DO,Service Rail (S-10),Passenger Miles (PM) - Annual Total Schedule,20100 - CR/DO S-10 PMT W,Waiver,W
20120,City of Glens Falls ,Reduced Reporter,Urban,Queensbury,NY,419.0,"Glens Falls, NY",DR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20120 - DR/DO Questionable Operating Expenses (no IAS-FD),Questionable,Q
20120,City of Glens Falls ,Reduced Reporter,Urban,Queensbury,NY,419.0,"Glens Falls, NY",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20120 - MB/DO Questionable Operating Expenses (no IAS-FD),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Total Actual Vehicle Miles -Annual Total Schedule,20122 -  Total Actual Vehicle Miles CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Revenue Vehicle Inventory (A-30),Gallons of Diesel Fuel (DF),20122 -  Gallons of Diesel Fuel CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Operator Work Hours,20122 - Vehicle Operations Full time Work Hours CB/Do (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Sources of Funds - Funds Expended & Funds Earned (F-10),Passenger-Paid Fares (4111),20122 - Passenger Paid Fares CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled  (PMT) - Average Weekday Schedule,20122 - Passenger Miles Traveled (PMT) Average Weekday Schedule CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Saturday Schedule,20122 - Passenger Miles Traveled (PMT) Average Saturday Schedule CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Sunday Schedule,20122 - Passenger Miles Traveled (PMT) Average Sunday Schedule CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Miscellaneous Expenses - General Administration,20122 - General Administration Miscellaneous Expenses (5090)  CB/DO (Q),Questionable,Q
20122,"Academy Lines, Inc.",Full Reporter,Urban,Hoboken,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Other Salaries and Wages - General Administration,20122 - General Administration Other Salaries and Wages (5013) CB/DO (Q),Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled  (PMT) - Average Weekday Schedule,20126 - Passenger Miles Traveled (PMT) Average Weekday Schedule CB/DO (Q),Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Saturday Schedule,20126 - Passenger Miles Traveled (PMT) Average Saturday Schedule CB/DO (Q),Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Sunday Schedule,20126 - Passenger Miles Traveled (PMT) Average Sunday Schedule CB/DO (Q),Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20126 - Passenger Miles Traveled (PMT) Annual Total CB/DO (Q),Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Operator's Salaries and Wages - Vehicle Operations,20126 - Vehicle Operations Operators' Salaries and Wages CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled  (PMT) - Average Weekday Schedule,20128 - Passenger Miles Traveled Average Weekday Schedule CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Saturday Schedule,20128 - Passenger Miles Traveled Average Saturday Schedule CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Average Sunday Schedule,20128 - Passenger Miles Traveled Average Sunday Schedule CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Vehicles operated in annual maximum service (VOMS),20128 - Vehicle Operated in Maximum Service CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Federal Funding Allocation Statistics (FFA-10),FG Actual Vehicle Revenue Miles (VRM) -Annual Total,20128 - HIB Vehicle Revenue Miles CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Operators' Paid Absences - Vehicle Operations,20128 - Vehicle Operations Operator Paid Absences CB/DO (Q) ,Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Other Paid Absences - Vehicle Operations,20128 - Vehicle Operations Other Paid Absences CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Other Paid Absences - Vehicle Maintenance,20128 - Vehicle Maintenance Other Paid Absences CB/DO (Q),Questionable,Q
20128,Suburban Transit Corporation,Full Reporter,Urban,New Brunswick,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Other Paid Absences - General Administration,20128 - General Administration Other Paid Absences  CB/DO (Q),Questionable,Q
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,Spring Valley,NY,1.0,"New York-Newark, NY-NJ-CT",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,Westwood,NJ,1.0,"New York-Newark, NY-NJ-CT",,,CEO Certification (D-10),,Waiver Request: Financial Statement,Waiver,W
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,Westwood,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Deadhead Hours - Annual Total Schedule,20149 - Deadhead Hours CB/DO - Q,Questionable,Q
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,Westwood,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Total Actual Vehicle Revenue Hours  (VRH) - Annual Total Schedule,20149 - Vehicle Revenue Hours CB/DO - Q,Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Total Actual Vehicle Miles -Annual Total Schedule,20161 - Total Actual Vehicle Miles (Q),Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Other Salaries and Wages - Vehicle Operations,20161 - Vehicle Operations Non-Operator Salaries (Q),Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Operating Expenses (F-30),Operator's Salaries and Wages - Vehicle Operations,20161 - Vehicle Operations Operator Salaries CB/DO - Q,Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Non-Operator Work Hours,20161 - Full Time Vehicle Operations Non-operator Work Hours CB/DO - Q,Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Part Time Non-Operator Work Hours,20161 Part Time Vehicle Operations Non-Operator Work Hours CB/DO - Q,Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Operator Work Hours,20161 - Full Time Vehicle Operations Operator Work Hours CB/DO - Q,Questionable,Q
20161,DeCamp Bus Lines,Full Reporter,Urban,Montclair,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Part Time Non-Operator Work Hours,20161 - Part Time Vehicle Operations Operator Work Hours (Q),Questionable,Q
