NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by,VOMS Under Contract,Months Seller Operated in FY,PT Fare Revenues/Passenger Fees,Passenger Out of Pocket Expenses,Direct Payment/Agency Subsidy,Contract Capital Leasing Expenses,Other Operating Expenses Incurred by the Buyer,Total Modal Expenses,Other Reconciling Item Expenses Incurred by the Buyer
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Medstar Cabulance Inc,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,2,12,666,0,748816,5869,358735,1114086,0
6,City of Yakima,Full Reporter,Urban,CB,PT,Entity that Does Not Report to NTD,A&A Motorcoach,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,2,6,102423,0,326430,16321,42720,487894,0
6,City of Yakima,Full Reporter,Urban,CB,PT,Entity that Does Not Report to NTD,Bellair Airporter Shuttle,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,2,6,102423,0,326430,16321,42720,487894,0
6,City of Yakima,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Medstar,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,22,12,86441,0,1373969,137396,605092,2202898,0
7,Lane Transit District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,931,0,14400,0,1006,16337,0
7,Lane Transit District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Medical Transportation Management,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,Y,"Buyer provides Call center building, and maintenance for building.  Maintenance Facility at building provided, maintenance service provided by contractor.",In This Report,,Buyer,20,12,281653,0,4355103,0,304376,4941132,0
7,Lane Transit District,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Medical Management Transportation,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,Y,RideSource Call center also used by brokerage.,In This Report,,Buyer,34,12,11734077,0,12031515,6015757,666703,30448052,0
7,Lane Transit District,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,17717,0,310933,0,5510,334160,0
7,Lane Transit District,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,River Cities Taxi,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,6248,0,189178,0,4023,199449,0
7,Lane Transit District,Full Reporter,Urban,VP,PT,Entity that Does Not Report to NTD,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Seller,5,12,44820,20410,33300,8147,43278,149955,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Big Star,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Buyer,9,5,97375,0,342773,2130,221060,663338,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Transdev,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Buyer,138,12,7123182,0,25074669,155831,16171053,48524735,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TN,Entity that Does Not Report to NTD,UZURV,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,,,In This Report,,Buyer,10,2,39593,0,158163,866,81069,279691,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Broadway Cab,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,,,In This Report,,Buyer,28,12,843597,0,2535347,18455,1258809,4656208,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,58,City of Portland,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,,,In Another Report,Is a Public Entity,Buyer,12,12,576373,0,14449144,0,0,15025517,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Entity that Does Not Report to NTD,Portland & Western Railroad,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Buyer,4,12,74198,0,2265986,0,8206341,10546525,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,METRO Community Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,5,12,0,0,457802,0,248378,706180,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Harvest Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,0,0,310691,0,149028,459719,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Eagle Senior Center,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,4,3,129,0,76399,0,198702,275230,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,20,12,93710,0,2786015,0,1686538,4566263,0
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Supportive Housing and Innovating Partners,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,0,0,394259,0,198702,592961,0
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,First Transit Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,38,12,680454,0,7905100,0,6617885,15203439,0
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transportion,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,40,12,901246,0,5580404,0,1024086,7505736,0
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,Entity that Does Not Report to NTD,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,94,12,1213254,371240,378000,891976,156793,3011263,0
15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,317,Mt Si Senior Center,The Reporter is the Buyer,Subsidized,,,,,,In Another Report,Is a Private Company,Seller,0,0,0,0,124999,0,0,124999,0
16,City of Longview,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Paratransit Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Buyer,10,12,20448,0,1097112,0,497571,1615131,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"Via Transportation, LLC ",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,12,12,14418,0,2907293,17171,163899,3102781,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,The ARC of the Tri-Cities,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Buyer,25,12,0,0,853560,0,226562,1080122,0
20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,American Service Medicar,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,1,12,1140,0,42817,5040,21704,70701,0
20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,City Cab Taxi Services LLC,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,1,12,4290,0,161075,18960,81648,265973,0
23,City of Seattle,Full Reporter,Urban,MG,PT,Entity that Does Not Report to NTD,Seattle Monorail Services LLC,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,,Seller,8,12,6214624,0,-465129,0,578337,6327832,0
25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,,,In This Report,,Buyer,31,6,439931,0,1427273,36695,811909,2715808,112037
25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MTM Transit LLC,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,28,6,449717,0,1506800,36695,829969,2823181,114529
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,,,In This Report,,Buyer,13,6,59734,0,843343,21505,332508,1257090,7151
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,MTM Transit LLC,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,13,6,61063,0,890344,21505,339905,1312817,7310
25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Entity that Does Not Report to NTD,Enterprise,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,,,In This Report,,Seller,53,12,439286,122396,230486,355355,9925,1157448,0
27,Confederated Tribes of Siletz Indians,Reduced Reporter,Tribe,MB,DO,310,Lincoln County Transportation Service District,The Reporter is the Buyer,Subsidized,,N,N,N,,In Another Report,Is a Public Entity,Seller,0,0,0,0,265885,0,5331,271216,0
27,Confederated Tribes of Siletz Indians,Reduced Reporter,Tribe,MB,DO,296,Tillamook County Transportation District,The Reporter is the Buyer,Subsidized,,N,N,N,,In Another Report,Is a Public Entity,Seller,0,0,0,0,90891,0,5331,96222,0
28,County of Pierce,Full Reporter,Urban,FB,PT,Entity that Does Not Report to NTD,"Pacific Navigation Company, LLC",The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,2,12,3131940,0,3485997,0,7267520,13885457,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Entity that Does Not Report to NTD,First Transit - CT Commuter,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,38,12,1772386,0,6321896,0,4579258,12673540,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,38,12,2641459,0,20957108,300000,0,23898567,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Medstar Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,5,2,17323,0,238513,0,141819,397655,0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"Transdev Services, Inc. ",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,36,12,291858,0,8024107,458518,1461169,10235652,0
34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Paratransit Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,19,12,82597,0,1865405,0,894919,2842921,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,3,Pierce County Transportation Benefit Area Authority,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,Is a Public Entity,Buyer,66,12,4586799,0,51777942,2985288,5558871,64908900,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,1,King County,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,Is a Public Entity,Buyer,77,12,7352284,0,57079186,47123,6550065,71028658,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,29,Snohomish County Public Transportation Benefit Area Corporation,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,,,,In This Report,Is a Public Entity,Buyer,32,12,2641459,0,20957108,300000,3547867,27446434,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Entity that Does Not Report to NTD,Burlington Northern Santa Fe,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,57,12,5005338,0,15315564,0,60796832,81117734,0
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,1,King County,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,Is a Public Entity,Buyer,84,12,32701665,0,113223018,123169,125712555,271760407,0
43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Lake Chelan Hospital,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,,N,,In This Report,,Seller,1,12,0,0,40038,1410,6241,47689,0
46,City of Wilsonville,Full Reporter,Urban,VP,PT,Entity that Does Not Report to NTD,Commute with Enterprise,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Seller,1,7,4550,998,3017,4015,225,12805,0
47,City of Corvallis,Reduced Reporter,Urban,DR,PT,65,Benton County,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In Another Report,Is a Public Entity,Buyer,4,12,0,0,194199,18063,49089,261351,0
47,City of Corvallis,Reduced Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,MTR Western,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,10,12,0,0,2553938,24518,1482340,4060796,0
55,Kootenai County,Reduced Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,4,12,0,0,451074,0,521667,972741,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"MTM Transit, LLC",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,8,12,0,0,847453,0,744399,1591852,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,"MTM Transit, LLC",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,11,12,130010,0,1475753,0,1709738,3315501,0
58,City of Portland,Full Reporter,Urban,SR,PT,8,Tri-County Metropolitan Transportation District of Oregon,The Reporter is the Buyer,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In This Report,Is a Public Entity,Buyer,12,12,576373,0,14449144,0,8614131,23639648,0
58,City of Portland,Full Reporter,Urban,TR,PT,Entity that Does Not Report to NTD,OHSU/Doppelmayr,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Buyer,2,12,633753,0,3382960,0,217375,4234088,0
59,Josephine County,Reduced Reporter,Urban,MB,DO,Entity that Does Not Report to NTD,City of Grants Pass,The Reporter is the Seller,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Seller,4,12,0,0,137500,0,0,137500,0
65,Benton County,Reduced Reporter,Urban,CB,PT,Entity that Does Not Report to NTD,"Benton County Dial-a-Bus, Inc.",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,33293,0,152706,0,121686,307685,0
65,Benton County,Reduced Reporter,Urban,DR,PT,47,City of Corvallis,The Reporter is the Seller,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,Is a Public Entity,Buyer,4,12,0,0,194199,19419,0,213618,0
65,Benton County,Reduced Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,"Benton County Dial-a-Bus, Inc.",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,7,12,0,0,511238,0,486740,997978,0
75,Confederated Tribes of the Grand Ronde Community of Oregon,Reduced Reporter,Tribe,CB,DO,296,Tillamook County Transportation District,The Reporter is the Buyer,Subsidized,,,,,,In Another Report,Is a Public Entity,Seller,0,0,0,0,263941,0,0,263941,0
75,Confederated Tribes of the Grand Ronde Community of Oregon,Reduced Reporter,Tribe,CB,PT,321,Yamhill County,The Reporter is the Buyer,Subsidized,,N,N,N,,In Another Report,Is a Public Entity,Seller,0,0,0,0,72935,0,0,72935,0
223,Jamestown S'Klallam Tribe,Reduced Reporter,Tribe,MB,DO,303,Clallam Transit System,The Reporter is the Buyer,Subsidized,,N,N,Y,"Bus shelters, drop-off areas, restrooms",In Another Report,Is a Public Entity,Seller,0,0,0,0,91321,0,25468,116789,0
231,Confederated Tribes of Warm Springs,Reduced Reporter,Tribe,CB,DO,57,Central Oregon Intergovernmental Council,The Reporter is the Buyer,Subsidized,,Y,N,N,,In Another Report,Is a Public Entity,Seller,0,0,0,0,191620,0,277,191897,0
231,Confederated Tribes of Warm Springs,Reduced Reporter,Tribe,MB,DO,57,Central Oregon Intergovernmental Council,The Reporter is the Buyer,Subsidized,,Y,N,N,,In Another Report,Is a Public Entity,Seller,0,0,0,0,191620,0,277,191897,0
330,City of Canby,Reduced Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit Inc,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,4,12,9194,0,458971,0,173041,641206,0
330,City of Canby,Reduced Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,First Transit Inc,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,5,12,46832,0,1070933,0,889382,2007147,506658
363,Clackamas County ,Reduced Reporter,Urban,CB,PT,Entity that Does Not Report to NTD,MV Public Transportation Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,101912,0,422636,0,261036,785584,0
363,Clackamas County ,Reduced Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,MV Public Transportation Inc.,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,12,5219,0,117100,0,118934,241253,0
363,Clackamas County ,Reduced Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,"MTR Western, LLC",The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,3,12,0,0,488880,0,15470,504350,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Sidra Transportation,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,3,12,0,0,197038,98519,10981,306538,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,A-1 Medical Transport,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,9,12,0,0,564376,282188,31451,878015,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,MFS,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,4,12,0,0,678263,339131,37798,1055192,0
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,Radio Cab,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,3,12,0,0,39143,19572,2181,60896,0
