State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,TAM Sponsor NTD ID,TAM Sponsor Name,Reporting Module,Mode,TOS,Facility Ownership,Less Than 200 Vehicles,Between 200 and 300 Vehicles,Greater than 300 Vehicles,Heavy Maintenance Facilities,Total Maintenance Facilities
,14,Sitka Tribe of Alaska,Reduced Reporter,0R04,Alaska Department of Transportation,Tribe,MB,DO,Leased from a Private Entity,0.0,0.0,0.0,0.0,0.0
,14,Sitka Tribe of Alaska,Reduced Reporter,0R04,Alaska Department of Transportation,Tribe,MB,DO,Leased from Another Public Agency,0.0,0.0,0.0,0.0,0.0
,15,Snoqualmie Indian Tribe,Reduced Reporter,,,Tribe,DR,DO,Leased from a Private Entity,,,,,0.0
,15,Snoqualmie Indian Tribe,Reduced Reporter,,,Tribe,DR,DO,Leased from Another Public Agency,,,,,0.0
,15,Snoqualmie Indian Tribe,Reduced Reporter,,,Tribe,DR,DO,Owned,0.0,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,CB,DO,Leased from a Private Entity,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,CB,DO,Leased from Another Public Agency,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,CB,DO,Owned,0.02,,,,0.02
,16,City of Longview,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,0.45,,,,0.45
,16,City of Longview,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,16,City of Longview,Full Reporter,,,Urban,MB,DO,Owned,0.53,,,,0.53
,17,Stillaguamish Tribe of Indians,Reduced Reporter,,,Tribe,DR,DO,Leased from a Private Entity,0.0,0.0,0.0,0.0,0.0
,17,Stillaguamish Tribe of Indians,Reduced Reporter,,,Tribe,DR,DO,Leased from Another Public Agency,0.0,0.0,0.0,0.0,0.0
,17,Stillaguamish Tribe of Indians,Reduced Reporter,,,Tribe,DR,DO,Owned,1.0,0.0,0.0,0.0,1.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,DO,Owned,0.21,,,,0.21
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,0.05,,,,0.05
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,MB,DO,Owned,0.14,,,,0.14
,18,Ben Franklin Transit,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,18,Ben Franklin Transit,Full Reporter,,,Urban,VP,DO,Owned,0.6,,,,0.6
,18,Ben Franklin Transit,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,CB,DO,Owned,0.02,,,,0.02
,19,Intercity Transit,Full Reporter,,,Urban,CB,DO,Leased from a Private Entity,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,CB,DO,Leased from Another Public Agency,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,DR,DO,Owned,0.16,,,,0.16
,19,Intercity Transit,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,MB,DO,Owned,0.24,,,,0.24
,19,Intercity Transit,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,19,Intercity Transit,Full Reporter,,,Urban,VP,DO,Owned,0.58,,,,0.58
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Owned,0.2,,0.2,,0.4
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,FB,DO,Leased from Another Public Agency,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,FB,DO,Owned,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,FB,DO,Leased from a Private Entity,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Owned,1.6,,0.7,,2.3
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Owned,0.2,,0.1,,0.3
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,DR,DO,Owned,0.2,,,,0.2
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,MB,DO,Owned,0.7,,,,0.7
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,21,Whatcom Transportation Authority,Full Reporter,,,Urban,VP,DO,Owned,0.1,,,,0.1
,22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,DR,DO,Owned,0.6,,,,0.6
,22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,Owned,0.4,,,,0.4
,22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,23,City of Seattle,Full Reporter,,,Urban,MG,PT,Facilities Owned by Public Agency,1.0,,,,1.0
,23,City of Seattle,Full Reporter,,,Urban,MG,PT,Facilities Owned by Service Provider,,,,,0.0
,23,City of Seattle,Full Reporter,,,Urban,MG,PT,Facilities Leased by Public Agency,,,,,0.0
,23,City of Seattle,Full Reporter,,,Urban,MG,PT,Facilities Leased by Service Provider,,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Owned,0.3,,,,0.3
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Owned,0.7,,,,0.7
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Owned,0.0,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,1.0,,,,1.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,DO,Owned,1.0,,,,1.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,PT,Facilities Owned by Service Provider,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,PT,Facilities Leased by Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,PT,Facilities Leased by Service Provider,1.0,,,,1.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,PT,Facilities Owned by Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,VP,PT,Facilities Owned by Service Provider,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,VP,PT,Facilities Leased by Public Agency,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,VP,PT,Facilities Leased by Service Provider,,,,,0.0
,25,Salem Area Mass Transit District,Full Reporter,,,Urban,VP,PT,Facilities Owned by Public Agency,,,,,0.0
,28,County of Pierce,Full Reporter,,,Urban,FB,PT,Facilities Owned by Public Agency,0.0,0.0,0.0,0.0,0.0
,28,County of Pierce,Full Reporter,,,Urban,FB,PT,Facilities Owned by Service Provider,0.0,0.0,0.0,0.0,0.0
,28,County of Pierce,Full Reporter,,,Urban,FB,PT,Facilities Leased by Public Agency,0.0,0.0,0.0,0.0,0.0
,28,County of Pierce,Full Reporter,,,Urban,FB,PT,Facilities Leased by Service Provider,0.0,0.0,0.0,0.0,0.0
