State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID,Service Area Sq Miles,Service Area Pop,Primary UZA UACE Code,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service,State Admin Funds Expended
,11,11,Valley Regional Transit,,VRT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-09-30,2024-01-31,700 E 2Nd St Ste 100,STE 100,,Meridian,ID,83642.0,2672.0,10,http://www.valleyregionaltransit.org/,1736.0,JZAGN29CGAT6,66.0,763140.0,8785.0,"Boise City, ID",,433180.0,3111.24709882977,139.23,4.0,73.0,77,,,Tier II,,,
,12,12,Municipality of Anchorage,Public Transportation,,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,632 W 6Th Ave,STE 810,196650,Anchorage,AK,99501.0,6312.0,10,https://www.muni.org/Departments/transit,1707.0,G6XSV1B8MVB9,77.0,291247.0,2305.0,"Anchorage, AK",,249252.0,2718.44872806617,91.69,47.0,134.0,181,,,Tier II,,,
,14,0T14,Sitka Tribe of Alaska,Transportation,STA,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,204 Siginaka Way,,,Sitka,AK,99835.0,7364.0,10,www.sitkatribe.org,6669.0,,,,2.0,Alaska Non-UZA,"Sitka ANVSA, AK",359299.0,0.0,0.0,3.0,,3,,,Tier II,,,
,15,0T15,Snoqualmie Indian Tribe,,SVT,Snoqualmie Valley Transportation,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,9571 Ethan Wade Way Se,,969,Snoqualmie,WA,98065.0,9577.0,10,http://www.svtbus.org/,6685.0,LD6KX4L8KLW9,,,53.0,Washington Non-UZA,"Snoqualmie Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,2.0,,2,,,Tier II,,,
,16,16,City of Longview,Transit Division,RCT,RiverCities Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,1525 Broadway St,,128,Longview,WA,98632.0,3715.0,10,http://www.rctransit.org/,1747.0,HUPTBCSMTSB1,31.0,61598.0,51283.0,"Longview, WA--OR",,69841.0,1984.59336495381,35.19,11.0,10.0,21,,,Tier II,,,
,17,0T17,Stillaguamish Tribe of Indians,Transportation Department,STTS,Stillaguamish Tribal Transportation Services,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,3322 236Th St Ne,,277,Arlington,WA,98223.0,7233.0,10,http://www.stillaguamish.com/,6801.0,SCBFR3JUM1W3,,,53.0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,5.0,,5,,,Tier II,,,
,18,18,Ben Franklin Transit,,BFT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,1000 Columbia Park Trl,,,Richland,WA,99352.0,4851.0,10,http://www.bft.org/,1742.0,QVNLRS9RPUV4,616.0,307750.0,44479.0,"Kennewick--Richland--Pasco, WA",,255401.0,2276.00084196326,112.21,236.0,37.0,273,,,Tier I (Non-Fixed Route VOMS),,,
,19,19,Intercity Transit,,I.T.,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,526 Pattison St Se,,659,Olympia,WA,98501.0,2076.0,10,http://www.intercitytransit.com/,1745.0,CMC8NKZ8XW63,101.0,200200.0,65242.0,"Olympia--Lacey, WA",,208157.0,1959.95164460593,106.21,230.0,,230,,,Tier I (Non-Fixed Route VOMS),,,
,20,20,Kitsap County Public Transportation Benefit Area Authority,,KT ,Kitsap Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,60 Washington Ave,,,Bremerton,WA,98337.0,1888.0,10,http://www.kitsaptransit.com/,1746.0,XF87DZ25NQT4,396.0,254183.0,9946.0,"Bremerton, WA",,224449.0,1527.80158181335,146.91,220.0,2.0,222,,,Tier I (Fixed Route VOMS),,,
,21,21,Whatcom Transportation Authority,,WTA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,4011 Bakerview Spur,,,Bellingham,WA,98226.0,8066.0,10,http://www.ridewta.com/,5092.0,FFA5NLAKYDU1,776.0,235629.0,6652.0,"Bellingham, WA",,128979.0,2572.7974189622,50.13,99.0,,99,,,Tier II,,,
,22,22,City of Pocatello,Public Transit,PRT,Pocatello Regional Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,911 N 7Th Ave,,4169,Pocatello,ID,83201.0,7700.0,10,http://www.pocatellotransit.com/,1737.0,C1H5KKGYA7F8,5460.0,175045.0,70426.0,"Pocatello, ID",,72211.0,2629.32545571636,27.46,24.0,,24,,,Tier II,,,
,23,23,City of Seattle,,SMS,Seattle Center Monorail,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,370 Thomas St,,,Seattle,WA,98109.0,4622.0,10,http://www.seattlemonorail.com/,1749.0,GTE1QV8H9358,83.0,753655.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,,8.0,8,,,Tier I (Rail),,,
,24,24,Clark County Public Transportation Benefit Area Authority,,,C-TRAN,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,2425 Ne 65Th Ave,,2529,Vancouver,WA,98661.0,6809.0,10,http://www.c-tran.com/,1729.0,GLHCGVXGNPM7,143.0,451875.0,71317.0,"Portland, OR--WA",,2104238.0,4052.0671239424,519.3,161.0,,161,,,Tier II,,,
,25,25,Salem Area Mass Transit District,,SAMTD or SKT,Salem-Keizer Transit or Cherriots,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,555 Court St Ne Ste 5230,,,Salem,OR,97301.0,3980.0,10,http://www.cherriots.org/,1740.0,R7TNFAGJVZA1,68.0,230118.0,78229.0,"Salem, OR",,268331.0,3691.81200356025,72.68,53.0,97.0,150,,,Tier II,,,
,26,0T26,Bristol Bay Native Association,Transportation and Infrastructure Development,BBNA,Bristol Bay Native Association,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,1500 Kanakanak Rd,,310,Dillingham,AK,99576.0,,10,http://www.bbna.com/,7163.0,PVN7PNGJS147,63.0,2539.0,2.0,Alaska Non-UZA,"Dillingham ANVSA, AK",359299.0,0.0,0.0,,,0,,,Tier II,,,
,27,0T27,Confederated Tribes of Siletz Indians,Planning,CTSI,CTSI Planning Department,Reduced Reporter,Tribe,Tribe,,,,2023-06-30,2023-10-31,201 Se Swan Ave,,549,Siletz,OR,97380.0,2077.0,10,http://www.ctsi.nsn.us/,7043.0,WQ4YPGKMFVM4,,,41.0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR",1553447.0,0.0,0.0,,,0,,,Tier II,,,
,28,28,County of Pierce,,,Pierce County Ferry,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,950 Fawcett Ave Ste 100,,,Tacoma,WA,98402.0,5603.0,10,http://www.co.pierce.wa.us/,5013.0,ZLQHKM7CHCF3,233.0,925708.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,,2.0,2,,,Tier II,,,
,29,29,Snohomish County Public Transportation Benefit Area Corporation,,CT,Community Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,2312 W Casino Rd,,,Everett,WA,98204.0,1440.0,10,https://www.communitytransit.org/,2578.0,UMNBEBHJUNL4,255.0,910144.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,418.0,79.0,497,,,Tier I (Fixed Route VOMS),,,
,30,0T30,Chickaloon Native Village,Transportation,CATs,Chickaloon Area Transit System (Transit),Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,9255 N Glenn Highway,,,Palmer,AK,99674.0,,10,http://www.chickaloon-nsn.gov,6666.0,YWH8Q1JLRDN9,,,2.0,Alaska Non-UZA,"Chickaloon ANVSA, AK",359299.0,0.0,0.0,3.0,,3,,,Tier II,,,
,31,0T31,Shoshone-Bannock Tribes ,Department of Transportation/Public Transit,SBTDOT,,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,Pima Dr,,306,Fort Hall,ID,83203.0,,10,https://www.shobandot.com/transit,6976.0,PFM3F9M7MG44,,0.0,16.0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID",836252.0,0.0,0.0,7.0,,7,,,Tier II,,,
,33,0R03-021,Senior Services of Snohomish County,Transportation Assistance Program,TAP,Homage Senior Services,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,2023-12-31,2024-04-30,5026 196Th St Sw,,,Lynnwood,WA,98036.0,6102.0,10,http://www.homage.org/transportation/,1724.0,FV3PNPMJB534,2196.0,827957.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,12.0,,12,,,Tier II,,,
,34,34,Rogue Valley Transportation District,,RVTD,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,3200 Crater Lake Ave,,,Medford,OR,97504.0,9075.0,10,http://www.rvtd.org/,1739.0,FNZXSNMFA535,78.0,180555.0,55981.0,"Medford, OR",,171640.0,2723.57794304557,63.02,31.0,19.0,50,,,Tier II,,,
,35,35,Washington State Ferries,,WSF,,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,2023-06-30,2023-10-31,310 Maple Park Ave Se,,,Olympia,WA,98501.0,2348.0,10,http://www.wsdot.wa.gov/ferries/,1724.0,FCT9KQ8L2574,1945.0,3919300.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,15.0,,15,,,Tier II,,,
,36,0T36,Makah Tribal Council,Makah Transit,,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,201 Resort Dr,,,Neah Bay,WA,98357.0,7601.0,10,http://www.makah.com/,6907.0,DTRYXWQJF723,,,53.0,Washington Non-UZA,"Makah Indian Reservation, WA",1895776.0,0.0,0.0,1.0,,1,,,Tier II,,,
,40,40,Central Puget Sound Regional Transit Authority,,ST,Sound Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,401 S Jackson St,,,Seattle,WA,98104.0,2826.0,10,http://www.soundtransit.org/,5656.0,GPFAQBCY95D3,1089.0,3349000.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,230.0,89.0,319,,,Tier I (Rail),,,
,41,41,Alaska Railroad Corporation,,ARRC,,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,2023-12-31,2024-04-30,327 W Ship Creek Ave,,107500,Anchorage,AK,99501.0,1671.0,10,http://www.alaskarailroad.com,5806.0,NTFBL2RJ7X99,266.0,352701.0,2305.0,"Anchorage, AK",,249252.0,2718.44872806617,91.69,61.0,,61,,,Tier I (Rail),,,
,43,43,Chelan Douglas PTBA ,,,Link Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,2700 Euclid Ave,,,Wenatchee,WA,98801.0,5914.0,10,http://www.linktransit.com/,5606.0,MV3YVKFM9W77,197.0,122915.0,93862.0,"Wenatchee, WA",,78142.0,2396.75200865672,32.6,60.0,1.0,61,,,Tier II,,,
,44,44,Skagit Transit,,SKT,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,600 County Shop Ln,,,Burlington,WA,98233.0,9772.0,10,https://www.skagittransit.org/,5816.0,KL82E3EQNM61,760.0,118568.0,60490.0,"Mount Vernon, WA",,66825.0,2179.30161846398,30.66,73.0,,73,,,Tier II,,,
,45,45,Fairbanks North Star Borough ,Transportation,MACS,Metropolitan Area Commuter System ,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,907 Terminal St,,,Fairbanks,AK,99701.0,2868.0,10,http://www.fnsb.gov/transportation,1734.0,KBLKNWKWRAX5,7338.0,95356.0,28549.0,"Fairbanks, AK",,71396.0,960.882464847998,74.3,18.0,,18,,,Tier II,,,
,46,46,City of Wilsonville,,SMART,South Metro Area Regional Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,29799 Sw Town Center Loop E,,,Wilsonville,OR,97070.0,9454.0,10,http://www.ridesmart.com/,5706.0,J9AUEWEGF9L7,80.0,73800.0,71317.0,"Portland, OR--WA",,2104238.0,4052.0671239424,519.3,17.0,1.0,18,,,Tier II,,,
,47,47,City of Corvallis,Public Works Department,CTS,Corvallis Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,501 Sw Madison Ave,,1083,Corvallis,OR,97333.0,4601.0,10,http://www.corvallisoregon.gov/cts,5664.0,P6JYFJDEZWF8,14.0,65483.0,20422.0,"Corvallis, OR",,66791.0,3826.85825632016,17.45,,10.0,10,,,Tier II,,,
,48,48,City of Lewiston,Transit Division,LTS,Lewiston Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,1134 F St,,617,Lewiston,ID,83501.0,1930.0,10,http://www.ridethevalley.org,5981.0,USMMWLRUYBD5,17.0,54798.0,49312.0,"Lewiston, ID--WA",,54798.0,1962.09109881524,27.93,4.0,,4,,,Tier II,,,
,51,51,Asotin County Public Transportation Benefit Area,,PTBA,,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,1494 Poplar St,,,Clarkston,WA,99403.0,2348.0,10,http://www.asotincoptba.com,6450.0,XEMWMJSAKYW8,20.0,22397.0,49312.0,"Lewiston, ID--WA",,54798.0,1962.09109881524,27.93,13.0,,13,,,Tier II,,,
,53,53,Coeur d'Alene Tribe,Transit Department ,,Citylink Transit,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,850 A St,,236,Plummer,ID,83851.0,7000.0,10,https://www.kcgov.us/490/Citylink-South-Routes,6807.0,VMMMDTT25GV5,388.0,21188.0,18451.0,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID",121831.0,2605.68707696147,46.76,7.0,,7,,,Tier II,,,
,55,55,Kootenai County,Transit Department,KCPT,Citylink North,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,451 N Government Way,,9000,Coeur D Alene,ID,83814.0,2988.0,10,http://www.kcgov.us/486/Transit-Services,6283.0,JDGLH97AM1R1,32.0,90132.0,18451.0,"Coeur d'Alene, ID",,121831.0,2605.68707696147,46.76,,4.0,4,,,Tier II,,,
,57,57,Central Oregon Intergovernmental Council,Cascades East Transit,CET,Cascades East Transit,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,2023-06-30,2023-10-31,334 Ne Hawthorne Ave,,,Bend,OR,97701.0,4727.0,10,https://www.coic.org/transportation/cascade-east-transit/,7112.0,HWSZUENCALS5,78.0,156297.0,6868.0,"Bend, OR",,106988.0,2522.87467135772,42.41,21.0,19.0,40,,,Tier II,,,
,58,58,City of Portland,Bureau of Transportation,PBOT,Portland Streetcar,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,1221 Sw 4Th Ave,,,Portland,OR,97204.0,1900.0,10,https://www.portland.gov/transportation,1728.0,N5NMTXG2UE65,11.0,99211.0,71317.0,"Portland, OR--WA",,2104238.0,4052.0671239424,519.3,,14.0,14,,,Tier I (Rail),,,
,59,59,Josephine County,Transit,JCT,Josephine Community Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,201 River Heights Way,,,Grants Pass,OR,97527.0,5432.0,10,https://www.josephinecounty.gov/departments/transit/index.php,6746.0,GHCKNZMHPP51,80.0,48000.0,34516.0,"Grants Pass, OR",,55724.0,1831.99770164558,30.42,15.0,,15,,,Tier II,,,
,60,60,The Tulalip Tribes of Washington,Tulalip Transit,TTT,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,6406 Marine Dr,,,Tulalip,WA,98271.0,9775.0,10,https://www.tulaliptribes-nsn.gov/Dept/TulalipTransit,6977.0,ELUVLMGA6RD1,19.0,5303.0,53.0,Washington Non-UZA,"Tulalip Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,1.0,,1,,,Tier II,,,
,61,61,City of Albany,Public Works,ATS,"Albany Transit System, Linn-Benton Loop ",Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,333 Broadalbin St Sw,,490,Albany,OR,97321.0,2247.0,10,"albanytransit.com,taketheloop.com",5676.0,ZBCVCUBFETA2,20.0,50724.0,955.0,"Albany, OR",,62074.0,2693.18306615463,23.05,14.0,,14,,,Tier II,,,
0R02,63,63,City of Milton-Freewater,Planning - Public Transit,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,722 S Main St,,6,Milton Freewater,OR,97862.0,1453.0,10,http://www.mfcity.com/,7213.0,SMYLH8JBC7L5,,,,,,,,,,2.0,2,0.0,0.0,Tier II,,,
,64,64,Valley Transit,,VT,,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,1401 W Rose St,,,Walla Walla,WA,99362.0,4702.0,10,http://www.valleytransit.com/,5607.0,E3SFN4BCQ5X8,25.0,48481.0,91405.0,"Walla Walla, WA--OR",,50013.0,2095.85528259187,23.86,19.0,,19,,,Tier II,,,
,65,65,Benton County,Public Works,BAT,Benton Area Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,4500 Sw Research Way,,1083,Corvallis,OR,97333.0,1093.0,10,www.RidetheBAT.com,1723.0,DWAANDYBQH65,679.0,96017.0,20422.0,"Corvallis, OR",,66791.0,3826.85825632016,17.45,,13.0,13,,,Tier II,,,
,75,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,,CTGR,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,9615 Grand Ronde Rd,,,Grand Ronde,OR,97347.0,9712.0,10,http://www.grandronde.org/,6678.0,K4ZDA84UXNN5,,,41.0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR",1553447.0,0.0,0.0,,,0,,,Tier II,,,
,85,0T08,Gulkana Village Council,Transit,SET,Soaring Eagle Transit,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,127 Richardson Hwy,,254,Gakona,AK,99586.0,,10,http://www.soaringeagletransit.com,6667.0,QL7BYD83M133,,,2.0,Alaska Non-UZA,"Tazlina ANVSA, AK; Gakona ANVSA, AK; Copper Center ANVSA, AK; Chitina ANVSA, AK; Chistochina ANVSA, AK; Gulkana ANVSA, AK",359299.0,0.0,0.0,3.0,,3,,,Tier II,,,
,95,0T11,Lummi Nation,Lummi Indian Business Council,LIBC,Lummi Transit,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,2665 Kwina Rd,,,Bellingham,WA,98226.0,9291.0,10,https://www.lummi-nsn.gov/Website.php?PageID=459,6684.0,TP4UB9N6TSA5,,,53.0,Washington Non-UZA,"Lummi Reservation, WA",1895776.0,0.0,0.0,4.0,,4,,,Tier II,,,
,103,0T16,Squaxin Island Tribe,Transit,SIT,Squaxin Island Transit,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,10 Se Squaxin Ln,,,Shelton,WA,98584.0,9200.0,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686.0,Z7LUCA1NAJ85,,,53.0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,4.0,,4,,,Tier II,,,
,111,0T03,Confederated Tribes and Bands of The Yakama Nation,"Economic Development, Pahto Public Passage Tribal Transportation",CTABOTYN,Pahto Public Passage,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,401 Fort Rd,,151,Toppenish,WA,98948.0,,10,http://www.pahtotransit.com,6679.0,Q4EDSUR34U61,,,53.0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,6.0,,6,,,Tier II,,,
,119,0T06,Confederated Tribes of the Umatilla Indian Reservation,Public Transportation,CTUIR,Kayak Public Transit,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,46411 Timine Way,,,Pendleton,OR,97801.0,9467.0,10,https://ctuir.org/tribal-services/planning/kayak-public-transit,6800.0,MX2KEMW2J5Z3,,,41.0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR--WA",1553447.0,0.0,0.0,7.0,,7,,,Tier II,,,
,127,0T07,Cowlitz Indian Tribe,Transit,CITDOT,Cowlitz Tribe Transit Service,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,1055 9Th Ave Ste B,,2547,Longview,WA,98632.0,2661.0,10,https://cowlitz.org/transit,6808.0,PG4FZK2YY5T1,,,53.0,Washington Non-UZA,"Cowlitz Reservation, WA",1895776.0,0.0,0.0,7.0,,7,,,Tier II,,,
,135,0T12,Nez Perce Tribe,Transit ,,Appaloosa Express,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,120 Bever Grade,,365,Lapwai,ID,83540.0,,10,http://www.nezperce.org/,5972.0,N6M5CKJT8G71,,,16.0,Idaho Non-UZA,"Nez Perce Reservation, ID",836252.0,0.0,0.0,4.0,,4,,,Tier II,,,
,143,0T01,Asa'carsarmiut Tribe,Transportation,ATCTS,Asa'carsarmiut Tribal Council Transit Service,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,1 Old Airport Road,,32249,Mountain Village,AK,99632.0,249.0,10,,6805.0,,,,2.0,Alaska Non-UZA,"Mountain Village ANVSA, AK",359299.0,0.0,0.0,1.0,,1,,,Tier II,,,
,199,0T23,Seldovia Village Tribe,,SVT,Seldovia Bay Ferry,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,Po Box L,,,Seldovia,AK,99663.0,250.0,10,http://seldoviabayferry.com,6744.0,E1KRVY671B35,,,2.0,Alaska Non-UZA,"Seldovia ANVSA, AK",359299.0,0.0,0.0,1.0,,1,,,Tier II,,,
