Agency NTD ID,Agency Name,Agency Reporter Type,Agency Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type
377,City of Lebanon,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
389,City of Sandy,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
396,Mid-Columbia Economic Development District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
408,Wheeler County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
409,Morrow County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
410,Sherman County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
411,Lake County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
412,"Klamath Basin Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
413,Gilliam County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
421,Burns Paiute Tribe,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter
459,Umpqua Public Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
464,Lane Council of Governments,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,0R04,Alaska Department of Transportation,State Reporter
85,Gulkana Village Council,Reduced Reporter,Tribe,0R04,Alaska Department of Transportation,State Reporter
320,Center for Community ,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
327,Valley Transit,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
340,"Senior Citizens of Kodiak, Inc.",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
345,Glacier Valley Transit,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
354,"Catholic Community Service, Sitka",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
358,Ketchikan Gateway Borough,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
378,"Central Area Rural Transit System, Inc.",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
382,Inter-Island Ferry Authority,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
387,City of Bethel,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
391,City and Borough of Juneau,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
399,Sunshine Transit ,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter
10040,Southeast Area Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10042,Valley Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10049,Greater New Haven Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10057,Norwalk Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10107,Milford Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10131,Northwestern CT Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter
10140,Estuary Transit District,Reduced Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10149,Windham Region Transit District,Reduced Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter
10156,Northeastern Connecticut Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter
11152,Mashantucket Pequot Tribal Nation,Reduced Reporter,Tribe,1R01,Connecticut Department of Transportation,State Reporter
10173,Franklin Regional Transit Authority,Rural Reporter,Rural,1R02,Massachusetts Department of Transportation ,State Reporter
10184,The Mashpee Wampanoag Tribe,Reduced Reporter,Tribe,1R02,Massachusetts Department of Transportation ,State Reporter
10069,"Regional Transportation Program, Inc.",Reduced Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10099,York County Community Action Corporation,Reduced Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10134,Penquis Community Action Program,Reduced Reporter,Urban,1R03,Maine Department of Transportation,State Reporter
10142,"Aroostook Regional Transportation Systems, Inc.",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10152,City of Bath,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10153,Town of Cranberry Isles,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10155,Kennebec Valley Community Action Program,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10167,Isle au Haut Boat Services,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10169,Waldo Community Action Partners,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10175,"Downeast Transportation, Inc. ",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10177,"West's Transportation, Inc. ",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
11161,"Downeast Community Partners, Inc.",Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
11235,Maine Department of Transportation,Rural Reporter,Rural,1R03,Maine Department of Transportation,State Reporter
10122,"Jalbert Leasing, Inc. ",Reduced Reporter,Urban,1R04,New Hampshire Department of Transportation,State Reporter
10133,"Boston Express Bus, Inc.",Reduced Reporter,Urban,1R04,New Hampshire Department of Transportation,State Reporter
10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
10159,"VNA Home Healthcare, Hospice & Community Service",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
10161,Belknap-Merrimack CAP/Concord Area Transit,Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
10170,"Tri-County CAP, Inc./Carroll County Transit",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
10172,"Tri-County CAP, Inc./North Country Transit",Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
10197,"Concord Coach Lines, Inc",Planning Reporter,Urban,1R04,New Hampshire Department of Transportation,State Reporter
11156,Southwestern Community Services Transportation,Rural Reporter,Rural,1R04,New Hampshire Department of Transportation,State Reporter
11162,Community Action Program of Strafford County,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11163,Behavioral Health & Developmental Services ,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11164,Easter Seals Special Transit Service,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11165,The Lakes Region Mental Health Center,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11166,"Grafton County Senior Citizens Council, Inc. ",Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11168,Granite State Independent Living,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11173,Monadnock Adult Care Center,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11175,Southern NH Services,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11236,NHDOT Assets,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
11243,Rockingham Nutrition Meals on Wheels,Reduced Asset Reporter,Asset,1R04,New Hampshire Department of Transportation,State Reporter
10137,"Advance Transit, Inc. NH",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
10143,Tri-Valley Transit Inc,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
10144,"Southeast Vermont Transit, Inc",Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
10148,Rural Community Transportation,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
10151,Green Mountain Community Network,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
10154,Marble Valley Regional Transit District,Rural Reporter,Rural,1R06,Vermont Agency of Transportation,State Reporter
10174,Vermont Association for the Blind and Visually Impaired,Reduced Reporter,Urban,1R06,Vermont Agency of Transportation,State Reporter
20192,Bergen County,Full Reporter,Urban,2R01,NJ Transit,State Reporter
20193,Cumberland County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20194,East Windsor Township,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
20195,Gloucester County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20196,Middlesex County,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
20197,Meadowlands Transportation Brokerage Corporation,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
20199,County of Atlantic,Full Reporter,Urban,2R01,NJ Transit,State Reporter
20200,South Jersey Transportation Authority,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20201,County of Cumberland,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20202,Essex County,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
20203,Cape May County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,2R01,NJ Transit,State Reporter
20208,County of Burlington,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20209,Somerset County,Full Reporter,Urban,2R01,NJ Transit,State Reporter
20210,Morris County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20211,County of Mercer,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20212,County of Hunterdon,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20928,Warren County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
20933,Monmouth County,Reduced Reporter,Urban,2R01,NJ Transit,State Reporter
20944,Salem County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
20950,Sussex County,Rural Reporter,Rural,2R01,NJ Transit,State Reporter
22931,Bayonne Economic Opportunity Foundation,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22932,Borough of Carteret,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22933,Borough of Cliffside Park,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22936,City of Margate,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22937,City of Passaic,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22938,County of Passaic,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22939,City of Plainfield,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22941,County of Ocean,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22942,County of Union,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22944,"The Greater Mercer Transportation Management Association, Inc.",Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22945,Town of Kearny,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22946,Township of Cranford,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22948,Township of Nutley,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22949,Township of South Brunswick,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22951,Township of Union,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22952,Town of Secaucus,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22953,Township of Bloomfield,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22954,Township of Cherry Hill,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22955,Township of Edison,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22956,Township of Ewing,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22957,Township of Jefferson,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22958,"Township of Mahwah, Inc.",Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22959,Township of Monroe,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22960,Township of North Bergen Inc.,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22962,Township of Pequannock,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22963,Township of Teaneck,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22964,Township of Washington,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22966,Borough of Fort Lee,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22968,City of Paterson,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22969,Hudson County,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22971,Mid-Atlantic States Career and Education Center Inc.,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22974,Township of Brick,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22975,Township of Livingston,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22977,The Voorhees Township,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22978,The Township of East Brunswick,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22979,The City of Perth Amboy,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
22980,The Borough of Keyport,Reduced Asset Reporter,Asset,2R01,NJ Transit,State Reporter
20005,Chemung County,Reduced Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20006,City of Long Beach,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20010,Dutchess County,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20071,Town of Huntington,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20084,County of Rockland ,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20085,Town of Clarkstown ,Reduced Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20096,Putnam County ,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20178,Ulster County ,Full Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20213,City of Mechanicville,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20215,City of Watertown NY,Reduced Reporter,Urban,2R02,New York Department of Transportation,State Reporter
20925,Lewis County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20926,Schoharie County ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20931,Greene County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20932,Essex County ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20934,RTS Orleans,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20935,Chenango County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20937,Sullivan County ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20938,RTS Seneca ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20939,Clinton County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20940,Madison County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20941,City of Corning,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20942,Oswego County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20945,Schuyler County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20946,Steuben County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20947,RTS Genesee,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20951,Allegany County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20953,City of Hornell,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20954,Town of Goshen,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20957,County of Niagara,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20958,Cortland County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20959,Chautauqua County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20960,City of Oneonta,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20962,RTS Livingston ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20964,Fulton County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20967,RTS Ontario,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20968,County of Rensselaer,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20973,Town of Montgomery,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20975,City of Olean,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20980,RTS Wyoming,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20981,City of Gloversville ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20983,RTS Wayne,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20988,City of Port Jervis,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20991,St Lawrence County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20992,Franklin County ,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20998,Otsego County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
20999,Columbia County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
21000,Yates County,Rural Reporter,Rural,2R02,New York Department of Transportation,State Reporter
30040,City of Annapolis,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30041,Board of Commissioners of Allegany County Maryland,Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter
30042,Washington County ,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30048,County of Howard,Reduced Asset Reporter,Asset,3R03,Maryland Department of Transportation,State Reporter
30072,"Frederick County, Maryland",Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30074,Harford County Maryland,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30088,"County Commissioners of Charles County, MD",Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30092,"The County Commissioners of Carroll County, Maryland",Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30096,The Tri-County Council for the Lower Eastern Shore of Maryland,Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30108,Cecil County Government ,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30109,St. Mary's County Government ,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30117,"Garrett County Community Action Committee, Inc",Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter
30129,Anne Arundel County,Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30130,Baltimore County Department of Public Works Transportation,Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter
30131,"Board of County Commissioners of Calvert County, Maryland",Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30155,Mayor and City Council Town of Ocean City,Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter
30161,Dorchester County Council,Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter
30186,"The County Commissioners of Caroline County, Maryland",Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter
30192,Queen Anne's County,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30201,City of Baltimore,Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30205,"Transit Management of Central Maryland, Inc.",Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter
30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,3R04,Pennsylvania Department of Transportation,State Reporter
30011,Altoona Metro Transit,Full Reporter,Urban,3R04,Pennsylvania Department of Transportation,State Reporter
30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,3R04,Pennsylvania Department of Transportation,State Reporter
30015,Luzerne County Transportation Authority,Full Reporter,Urban,3R04,Pennsylvania Department of Transportation,State Reporter
30023,Beaver County Transit Authority,Full Reporter,Urban,3R04,Pennsylvania Department of Transportation,State Reporter
