NTDID,Agency Name,Reporter Type,Reporting Module,City,State,UZA,UZA Name,Mode,TOS,Form,Data Point,Item Name,Item Type,Item Type Code
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",DR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE DR/PT (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",FB,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE FB/PT (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",HR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE HR/DO (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",LR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE LR/DO (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE MB/DO (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10003 2019 MB/PT UPT PMT Waiver,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10003 2019 MB/PT PMT Waiver,Waiver,W
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",MB,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE MB/PT (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",RB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE RB/DO (Q),Questionable,Q
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Boston,MA,10.0,"Boston, MA-NH-RI",TB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,10003 - Total OE TB/DO (Q),Questionable,Q
10014,Worcester Regional Transit Authority,Full Reporter,Urban,Worcester,MA,81.0,"Worcester, MA-CT",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10014 - Passenger Miles Traveled,Waiver,W
10014,Worcester Regional Transit Authority,Full Reporter,Urban,Worcester,MA,81.0,"Worcester, MA-CT",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,10014 - Unlinked Passenger Trips,Waiver,W
10016,Greater Portland Transit District,Full Reporter,Urban,Portland,ME,177.0,"Portland, ME",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10016 - MB/DO PMT W,Waiver,W
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,Fitchburg,MA,269.0,"Leominster-Fitchburg, MA",DR,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10061 - Passenger Miles Traveled DR/PT - Q,Questionable,Q
10063,Middletown Transit District,Reduced Reporter,Urban,Middletown,CT,47.0,"Hartford, CT",DR,DO,Reduced Reporting (RR-20) - Small Systems,Fare Revenues - Funds Expended on Operations,10063 - DR/DO Fare Revenues Q,Questionable,Q
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - CB/DO Waiver Passenger Miles Traveled,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",DR,DO,Service Non-Rail (S-10),Total Actual Vehicle Miles -Annual Total Schedule,10066 - DR/DO Waiver Actual Vehicle Miles,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",DR,DO,Service Non-Rail (S-10),Total Actual Vehicle Revenue Miles (VRM) - Annual Total ,10066 - DR/DO Waiver Vehicle Revenue Miles,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",DR,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - DR/PT Waiver Passenger Miles Traveled,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",DR,PT,Service Non-Rail (S-10),Total Actual Vehicle Miles -Annual Total Schedule,10066 - DR/PT Waiver Actual Vehicle Miles,Waiver,W
10066,Green Mountain Transit Authority,Full Reporter,Urban,Burlington,VT,285.0,"Burlington, VT",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,10066 - MB/DO Waiver Passenger Miles Traveled,Waiver,W
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",CB,PT,Operating Expenses (F-30),In Report - Total Modal Expenses,10102 - CB/PT Total Operating Expenses Q,Questionable,Q
10102,Connecticut Department of Transportation,Full Reporter,Urban,Newington,CT,47.0,"Hartford, CT",CR,PT,Operating Expenses (F-30),In Report - Total Modal Expenses,10102 - CR/PT Total Operating Expenses Q,Questionable,Q
20002,Capital District Transportation Authority,Full Reporter,Urban,Albany,NY,67.0,"Albany-Schenectady, NY",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20002 - PMT Waiver MB/DO,Waiver,W
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20006 - DR/DO Questionable Operating Expenses (no IAS-FD),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20006 - PMT Q (DR/DO),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,20006 - UPT Q (DR/DO),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",DR,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20006 - DR/DO Questionable Operating Expenses (no IAS-FD),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20006 - MB/DO Questionable Operating Expenses (no IAS-FD),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,20006 - PMT Q (MB/DO),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,20006 - UPT Q (MB/DO),Questionable,Q
20006,City of Long Beach,Full Reporter,Urban,Long Beach,NY,1.0,"New York-Newark, NY-NJ-CT",MB,DO,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,20006 - MB/DO Questionable Operating Expenses (no IAS-FD),Questionable,Q
20076,Westchester County,Full Reporter,Urban,White Plains,NY,1.0,"New York-Newark, NY-NJ-CT",,,Transit Asset Management Performance Measure Targets (A-90),Narrative Report,20076 - Narrative Report Waiver,Waiver,W
20076,Westchester County,Full Reporter,Urban,White Plains,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20076 - MB/PT PMT Waiver (APC),Waiver,W
20100,MTA Long Island Rail Road,Full Reporter,Urban,Jamaica,NY,1.0,"New York-Newark, NY-NJ-CT",CR,DO,Transit Asset Management Facilities Inventory (A-15),,20100 - CR/DO A-15 Data Waiver,Waiver,W
20100,MTA Long Island Rail Road,Full Reporter,Urban,Jamaica,NY,1.0,"New York-Newark, NY-NJ-CT",CR,DO,Transit Way Mileage (A-20),,20100 - CR/DO A-20 Data Waiver,Waiver,W
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Maintenance - Part Time Operator Work Hours,20126 - Vehicle Operations Full Time Operator Work Hours (Q),Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,20126 - Passenger Miles Traveled (CB/DO) Q,Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Non-Operator Work Hours,20126 - Vehicle Operations - Full-Time Non-Operator Work Hours (CB/DO) Q,Questionable,Q
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Mahwah,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Non-Operator Count,20126 - Vehicle Operations - Full-Time Non-Operator Count (CB/DO) Q,Questionable,Q
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,Dover,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Non-Operator Work Hours,20163 - Vehicle Operations Full Time Non-Operator Work Hours (CB/DO) Q,Questionable,Q
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,Dover,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Full Time Non-Operator Count,20163 - Vehicle Operations Full Time Non-Operator Counts (CB/DO) Q,Questionable,Q
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,Dover,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Part Time Non-Operator Work Hours,20163 - Vehicle Operations Part Time Non-Operator Work Hours,Questionable,Q
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,Dover,NJ,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Employees (R-10),Vehicle Operations - Part Time Non-Operator Count,20163 - Vehicle Operations Part Time Non-Operator Counts,Questionable,Q
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,Bethlehem,PA,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Deadhead Miles -Annual Total Schedule,20169 - CB/DO Deadhead Miles Q,Questionable,Q
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,Bethlehem,PA,1.0,"New York-Newark, NY-NJ-CT",CB,DO,Service Non-Rail (S-10),Deadhead Hours - Annual Total Schedule,20169 - CB/DO Deadhead Hours Q,Questionable,Q
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,Weehawken,NJ,1.0,"New York-Newark, NY-NJ-CT",FB,DO,Operating Expenses (F-30),Other Salaries and Wages - Facility Maintenance,20190 - Facility Maintenance Other Salaries and Wages (FB/DO) Q,Questionable,Q
20199,County of Atlantic,Full Reporter,Urban,Northfield,NJ,150.0,"Atlantic City, NJ",DR,DO,Operating Expenses (F-30),Total Modal Expenses - Facility Maintenance,20199 DR/DO Facility Maintenance Q,Questionable,Q
20199,County of Atlantic,Full Reporter,Urban,Northfield,NJ,150.0,"Atlantic City, NJ",DR,DO,Operating Expenses (F-30),Other Paid Absences - Vehicle Maintenance,20199 DR/DO VM Other Paid Absences Q,Questionable,Q
20199,County of Atlantic,Full Reporter,Urban,Northfield,NJ,150.0,"Atlantic City, NJ",DR,DO,Transit Asset Management Facilities Inventory (A-15),Condition Asessment,20199 DR/DO Condition Assessment Q,Questionable,Q
20199,County of Atlantic,Full Reporter,Urban,Northfield,NJ,150.0,"Atlantic City, NJ",DR,DO,Transit Asset Management Facilities Inventory (A-15),Facility Type,20199 DR/DO Facility Type Q,Questionable,Q
20199,County of Atlantic,Full Reporter,Urban,Northfield,NJ,150.0,"Atlantic City, NJ",DR,DO,Employees (R-10),Vehicle Maintenance - Full Time Non-Operator Count,20199 DR/DO VM Employee Count Q,Questionable,Q
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Maintenance Performance (R-20),Major mechanical system failures - Number of Failures ,22930 - MB/PT Waiver Major Mechanical System Failures,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Maintenance Performance (R-20),Other mechanical system failures - Number of Failures,22930 - MB/PT Waiver Other Mechanical System Failures,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Total Actual Vehicle Miles -Annual Total Schedule,22930 - MB/PT Waiver Total Actual Vehicle Miles,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Total Actual Vehicle Revenue Miles (VRM) - Annual Total ,22930 - MB/PT Waiver Vehicle Revenue Miles,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Total Actual Vehicle Hours -Annual Total Schedule,22930 - MB/PT Waiver Total Actual Vehicle Hours,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Total Actual Vehicle Revenue Hours (VRH) - Annual Total,22930 - MB/PT Waiver Vehicle Revenue Hours,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,22930 - MB/PT Waiver Passenger Miles Traveled,Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Operating Expenses (F-30),In Report - Vehicle Operations,22930 - MB/PT Waiver VO Purchased Transportation In Report (5101),Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Operating Expenses (F-30),In Report - Vehicle Maintenance,22930 - MB/PT Waiver VM Purchased Transportation In Report (5101),Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Operating Expenses (F-30),In Report - Facility Maintenance,22930 - MB/PT Waiver FM Purchased Transportation In Report (5101),Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Operating Expenses (F-30),In Report - General Administration,22930 - MB/PT Waiver GA Purchased Transportation In Report (5101),Waiver,W
22930,New York City Economic Development Corporation,Full Reporter,Urban,New York,NY,1.0,"New York-Newark, NY-NJ-CT",MB,PT,Revenue Vehicle Inventory (A-30),Gallons of Diesel Fuel (DF),22930 - MB/PT Waiver Gallons of Diesel Fuel,Waiver,W
2R01-20950,Sussex County Transit,Rural Reporter,Rural,Hamburg,NJ,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Annual Vehicle Revenue Miles,2R01-20950 - DR/DO VRM Q,Questionable,Q
2R01-20950,Sussex County Transit,Rural Reporter,Rural,Hamburg,NJ,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Annual Vehicle Revenue Hours,2R01-20950 - DR/DO VRH Q,Questionable,Q
2R01-20950,Sussex County Transit,Rural Reporter,Rural,Hamburg,NJ,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Sponsored Service Unlinked Passenger Trips,2R01-20950 - DR/DO SUPT Q,Questionable,Q
2R02-20926,Schoharie County Public Transportation,Rural Reporter,Rural,Cobleskill,NY,,,CB,PT,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,2R02-20926: CB/PT OE Waiver,Waiver,W
2R02-20926,Schoharie County Public Transportation,Rural Reporter,Rural,Cobleskill,NY,,,MB,PT,Reduced Reporting (RR-20) - General Public Transit,Total Operating Expenses - Funds Expended on Operations,2R02-20926: MB/PT OE Waiver,Waiver,W
2R02-20960,City of Oneonta,Rural Reporter,Rural,Oneonta,NY,,,DR,DO,Reduced Reporting (RR-20) - General Public Transit,Annual Unlinked Passenger Trips,2R02-20960: DR/DO UPT Q,Questionable,Q
30006,Greater Richmond Transit Company,Full Reporter,Urban,Richmond,VA,45.0,"Richmond, VA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,30006 - MB/DO - Passenger Miles Traveled - W,Waiver,W
30006,Greater Richmond Transit Company,Full Reporter,Urban,Richmond,VA,45.0,"Richmond, VA",RB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,30006 - RB/DO - Passenger Miles Traveled - W,Waiver,W
30008,Greater Lynchburg Transit Company,Full Reporter,Urban,Lynchburg,VA,271.0,"Lynchburg, VA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,30008 - MB/DO Sampling Waiver,Waiver,W
30011,Altoona Metro Transit,Full Reporter,Urban,Altoona,PA,359.0,"Altoona, PA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,30011 - MB/DO Waiver Passenger Miles Traveled,Waiver,W
30025,County of Lackawanna Transit System,Full Reporter,Urban,Scranton,PA,99.0,"Scranton, PA",DR,DO,Service Non-Rail (S-10),Deadhead Miles -Annual Total Schedule,30025 - DR/DO Deadhead Miles Q,Questionable,Q
30025,County of Lackawanna Transit System,Full Reporter,Urban,Scranton,PA,99.0,"Scranton, PA",DR,DO,Service Non-Rail (S-10),Deadhead Hours - Annual Total Schedule,30025 - DR/DO Deadhead Hours Q,Questionable,Q
30025,County of Lackawanna Transit System,Full Reporter,Urban,Scranton,PA,99.0,"Scranton, PA",MB,PT,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,30025 - MB/PT PMT Q,Questionable,Q
30034,Maryland Transit Administration,Full Reporter,Urban,Baltimore,MD,19.0,"Baltimore, MD",CB,PT,Service Non-Rail (S-10),Total Actual Vehicle Miles -Annual Total Schedule,30034 CB/PT Actual Vehicle Miles Waiver,Waiver,W
30034,Maryland Transit Administration,Full Reporter,Urban,Baltimore,MD,19.0,"Baltimore, MD",MB,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,30034 MB/DO APC Waiver,Waiver,W
30041,Board of Commissioners of Allegany County Maryland,Reduced Reporter,Urban,Cumberland,MD,484.0,"Cumberland, MD-WV-PA",MB,DO,Reduced Reporting (RR-20) - Small Systems,Annual Unlinked Passenger Trips,30041 MB UPT Q,Questionable,Q
30041,Board of Commissioners of Allegany County Maryland,Reduced Reporter,Urban,Cumberland,MD,484.0,"Cumberland, MD-WV-PA",MB,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Miles,30041 MB VRM Q,Questionable,Q
30048,County of Howard,Full Reporter,Urban,Ellicott City,MD,19.0,"Baltimore, MD",DR,PT,Operating Expenses (F-30),Total Modal Expenses - Total Modal Expenses,30048 DR/PT Operating Expenses Q,Questionable,Q
