State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Vehicles Operated at Maximum Service (VOMS),Vehicles Available at Maximum Service (VAMS),Rail,Fixed Route,Seasonal Segment,Fixed Guideway/High Intensity,Service Type,Commitment Date,Start Service Date,End Service Date
,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,81,268,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,19,Intercity Transit,Full Reporter,Urban,CB,DO,2,3,N,Y,N,N,Active Service,1/1/2012,1/1/2012,
,19,Intercity Transit,Full Reporter,Urban,DR,DO,46,54,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,19,Intercity Transit,Full Reporter,Urban,MB,DO,47,57,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,19,Intercity Transit,Full Reporter,Urban,VP,DO,138,188,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,20,Kitsap Transit,Full Reporter,Urban,DR,DO,72,101,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,20,Kitsap Transit,Full Reporter,Urban,DR,TX,2,2,N,N,N,N,Active Service,1/1/2010,1/1/2010,
,20,Kitsap Transit,Full Reporter,Urban,FB,DO,6,11,N,Y,N,Y,Active Service,7/10/2017,7/10/2017,
,20,Kitsap Transit,Full Reporter,Urban,MB,DO,94,123,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,20,Kitsap Transit,Full Reporter,Urban,VP,DO,39,69,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,40,49,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,46,62,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,8,13,N,N,N,N,Active Service,1/1/2002,1/1/2002,
,22,City of Pocatello,Reduced Reporter,Urban,DR,DO,11,,N,N,N,N,Active Service,10/1/1992,10/1/1992,
,22,City of Pocatello,Reduced Reporter,Urban,MB,DO,9,,N,Y,N,N,Active Service,10/1/1992,10/1/1992,
,23,City of Seattle,Full Reporter,Urban,MG,PT,8,8,Y,Y,N,Y,Active Service,1/1/2011,1/1/2011,
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,36,64,N,N,N,N,Active Service,1/1/1999,1/1/1999,
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,96,116,N,Y,N,Y,Active Service,1/1/1993,1/1/1993,
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,17,20,N,N,N,N,Active Service,1/1/2009,1/1/2009,
,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,40,52,N,N,N,N,Active Service,7/1/1999,7/1/1999,
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,53,64,N,Y,N,N,Active Service,7/1/1992,7/1/1992,
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,8,13,N,Y,N,N,Active Service,7/1/2019,7/1/2019,
,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,15,16,N,N,N,N,Active Service,7/1/2004,7/1/2004,
,28,County of Pierce,Full Reporter,Urban,FB,PT,2,2,N,Y,N,Y,Active Service,1/1/1993,1/1/1993,
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,46,61,N,Y,N,Y,Active Service,1/1/2013,1/1/2013,
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,50,85,N,Y,N,Y,Active Service,1/1/2011,1/1/2011,
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,,,,,,,Reported Separately,,,
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,36,52,N,N,N,N,Active Service,1/1/1997,1/1/1997,
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,111,147,N,Y,N,Y,Active Service,1/1/1993,1/1/1993,
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,262,461,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,3,,N,N,N,N,Active Service,8/28/2013,10/1/2014,
,31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,7,,N,Y,N,N,Active Service,10/1/2010,11/14/2011,
,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,17,30,N,N,N,N,Active Service,7/1/2006,7/1/2006,
,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,28,42,N,Y,N,N,Active Service,7/1/1993,7/1/1993,
,35,Washington State Ferries,Full Reporter,Urban,FB,DO,17,21,N,Y,N,Y,Active Service,7/1/1992,7/1/1992,
,36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,1,,N,Y,N,N,Active Service,8/1/1998,8/1/1999,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,170,255,N,Y,N,Y,Active Service,1/1/2011,1/1/2011,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,36,64,N,Y,N,Y,Active Service,1/1/2011,1/1/2011,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,77,81,Y,Y,N,Y,Active Service,1/1/2000,1/1/2000,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,72,102,Y,Y,N,Y,Active Service,1/1/2003,1/1/2003,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,MB,PT,,,N,Y,N,Y,Capital Only,1/1/2017,1/1/2026,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,RB,PT,,,N,Y,N,Y,Capital Only,1/1/2018,1/1/2026,
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,2,3,Y,Y,N,Y,Active Service,1/1/2012,1/1/2012,
,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,41,96,Y,Y,N,Y,Active Service,1/1/2002,1/1/2002,
,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,DO,17,18,N,N,N,N,Active Service,1/1/2004,1/1/2004,
,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,3,24,N,N,N,N,Active Service,1/1/2004,1/1/2004,
,43,Chelan Douglas PTBA ,Full Reporter,Urban,MB,DO,31,51,N,Y,N,N,Active Service,1/1/2004,1/1/2004,
,44,Skagit Transit,Full Reporter,Urban,CB,DO,6,8,N,Y,N,N,Active Service,1/1/2012,1/1/2012,
,44,Skagit Transit,Full Reporter,Urban,DR,DO,18,26,N,N,N,N,Active Service,1/1/2004,1/1/2004,
,44,Skagit Transit,Full Reporter,Urban,MB,DO,15,23,N,Y,N,N,Active Service,1/1/2004,1/1/2004,
,44,Skagit Transit,Full Reporter,Urban,VP,DO,30,53,N,N,N,N,Active Service,1/1/2004,1/1/2004,
,45,Fairbanks North Star Borough ,Reduced Reporter,Urban,DR,DO,5,,N,N,N,N,Active Service,7/1/2002,7/1/2002,
,45,Fairbanks North Star Borough ,Reduced Reporter,Urban,MB,DO,9,,N,Y,N,N,Active Service,7/1/2002,7/1/2002,
,46,City of Wilsonville,Full Reporter,Urban,DR,DO,6,16,N,N,N,N,Active Service,7/1/2002,7/1/2002,
,46,City of Wilsonville,Full Reporter,Urban,MB,DO,13,21,N,Y,N,N,Active Service,7/1/2002,7/1/2002,
,47,City of Corvallis,Reduced Reporter,Urban,DR,PT,,,,,,,Reported Separately,,,
,47,City of Corvallis,Reduced Reporter,Urban,MB,PT,11,,N,Y,N,N,Active Service,7/1/2004,7/1/2004,
,48,City of Lewiston,Reduced Reporter,Urban,DR,DO,2,,N,N,N,N,Active Service,10/1/2009,10/1/2009,
,48,City of Lewiston,Reduced Reporter,Urban,MB,DO,2,,N,Y,N,N,Active Service,10/1/2009,10/1/2009,
,51,Asotin County,Reduced Reporter,Urban,DR,DO,2,,N,N,N,N,Active Service,1/1/2010,1/1/2010,
,51,Asotin County,Reduced Reporter,Urban,MB,DO,3,,N,Y,N,N,Active Service,1/1/2010,1/1/2010,
,51,Asotin County,Reduced Reporter,Urban,VP,DO,9,,N,N,N,N,Active Service,1/1/2012,1/1/2012,
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO,2,,N,N,N,N,Active Service,10/1/2008,10/1/2008,
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,MB,DO,5,,N,Y,N,N,Active Service,10/1/2008,10/1/2008,
,55,Kootenai County,Reduced Reporter,Urban,DR,PT,4,,N,N,N,N,Active Service,10/1/2011,10/1/2011,
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,14,24,N,Y,N,N,Active Service,7/1/2011,7/1/2011,
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,8,14,N,N,N,N,Active Service,7/1/2011,7/1/2011,
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,7,12,N,N,N,N,Active Service,7/1/2011,7/1/2011,
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,1,2,N,Y,N,N,Active Service,7/1/2015,7/1/2015,
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,13,15,N,Y,N,N,Active Service,7/1/2011,7/1/2011,
,58,City of Portland,Full Reporter,Urban,SR,PT,12,17,Y,Y,N,Y,Active Service,7/31/1995,7/1/2001,
,58,City of Portland,Full Reporter,Urban,TR,PT,0,0,N,Y,N,Y,Active Service,7/1/2011,7/1/2011,
,59,Josephine County,Reduced Reporter,Urban,CB,DO,5,,N,Y,N,N,Active Service,7/1/2011,7/1/2011,
,59,Josephine County,Reduced Reporter,Urban,DR,DO,5,,N,N,N,N,Active Service,7/1/2011,7/1/2011,
,59,Josephine County,Reduced Reporter,Urban,MB,DO,5,,N,Y,N,N,Active Service,7/1/2011,7/3/2017,
,60,The Tulalip Tribes of Washington,Reduced Reporter,Tribe,MB,DO,1,,N,Y,N,N,Active Service,12/30/2009,1/10/2011,
,61,City of Albany,Reduced Reporter,Urban,DR,DO,9,,N,N,N,N,Active Service,7/1/2011,7/1/2011,
,61,City of Albany,Reduced Reporter,Urban,MB,DO,4,,N,Y,N,N,Active Service,7/1/2011,7/1/2011,
,63,City of Milton-Freewater,Reduced Reporter,Urban,DR,TX,1,,N,N,N,N,Active Service,7/1/2011,7/1/2011,
,63,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,1,,N,Y,N,N,Active Service,7/1/2011,7/1/2011,
,64,Valley Transit,Reduced Reporter,Urban,DR,DO,5,,N,N,N,N,Active Service,1/1/2012,1/1/2012,
,64,Valley Transit,Reduced Reporter,Urban,MB,DO,8,,N,Y,N,N,Active Service,1/1/2012,1/1/2012,
,64,Valley Transit,Reduced Reporter,Urban,VP,DO,4,,N,N,N,N,Active Service,1/1/2012,1/1/2012,
,65,Benton County,Reduced Reporter,Urban,CB,PT,2,,N,Y,N,N,Active Service,7/1/2012,7/1/2012,
,65,Benton County,Reduced Reporter,Urban,DR,PT,8,,N,N,N,N,Active Service,7/1/2012,7/1/2012,
,85,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,1/1/2013,1/1/2013,
,85,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,2,,N,Y,N,N,Active Service,1/1/2013,1/1/2013,
,95,Lummi Nation,Reduced Reporter,Tribe,MB,DO,2,,N,Y,N,N,Active Service,12/1/2006,12/15/2006,
,103,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,4,,N,Y,N,N,Active Service,12/1/1999,12/1/1999,
,111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,4,,N,Y,N,N,Active Service,10/1/2012,10/1/2012,
,119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,4,,N,Y,N,N,Active Service,11/1/2015,11/1/2015,
,119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,3,,N,Y,N,N,Active Service,11/1/2015,11/1/2015,
,127,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,6,,N,N,N,N,Active Service,1/1/2014,1/1/2014,
,135,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,10/1/2011,10/1/2013,
,135,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,3,,N,Y,N,N,Active Service,10/1/2011,10/1/2012,
,167,Native Village of Crooked Creek,Reduced Reporter,Tribe,MB,DO,0,,N,Y,N,N,Active Service,5/15/2011,6/15/2011,
,199,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,1,,N,Y,N,N,Active Service,5/1/2018,5/1/2018,
,207,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,3,,N,N,N,N,Active Service,10/1/2013,10/1/2013,
,207,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,4,,N,Y,N,N,Active Service,10/1/2010,10/1/2010,
,207,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,4,,N,N,N,N,Active Service,10/1/2010,10/1/2010,
,239,Ketchikan Indian Community,Reduced Reporter,Tribe,DR,DO,3,,N,N,N,N,Active Service,1/11/2011,1/1/2012,
,247,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,1/1/2012,3/1/2013,
,271,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,0,,N,Y,N,N,Active Service,10/1/2014,10/7/2015,
,279,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,2,,N,N,N,N,Active Service,2/1/2011,2/1/2012,
,373,Treasure Valley Transit,Reduced Reporter,Urban,DR,DO,15,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,373,Treasure Valley Transit,Reduced Reporter,Urban,MB,DO,10,,N,Y,N,N,Active Service,10/1/2012,10/1/2012,
,376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,22,64,N,N,N,N,Active Service,7/1/2012,7/1/2012,
,376,"Ride Connection, Inc.",Full Reporter,Urban,DR,TX,41,41,N,N,N,N,Active Service,7/3/2014,7/3/2014,
,376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,7,13,N,Y,N,N,Active Service,7/1/2012,7/1/2015,
,400,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,1,,N,Y,N,N,Active Service,6/3/2014,12/20/2014,
,401,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,1,,N,Y,N,N,Active Service,1/1/2014,5/15/2014,
,407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,0,,N,N,N,N,Active Service,5/13/2016,1/3/2017,
,407,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,3,,N,Y,N,N,Active Service,5/13/2016,1/3/2017,
,414,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,3,,N,Y,N,N,Active Service,1/17/2017,9/20/2017,
,415,Ada County Highway District,Full Reporter,Urban,VP,DO,82,102,N,N,N,N,Active Service,10/1/2016,10/1/2016,
,416,Boise State University,Reduced Reporter,Urban,MB,DO,9,,N,Y,N,N,Active Service,7/1/2016,7/1/2016,
,419,Kenaitze Indian Tribe,Reduced Reporter,Tribe,DR,DO,4,,N,N,N,N,Active Service,6/26/2017,6/26/2017,
,420,Native Village of Unalakleet,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,10/1/2018,10/1/2018,
,460,Craig Tribal Association,Reduced Reporter,Tribe,MB,DO,2,,N,Y,N,N,Active Service,9/22/2017,6/28/2019,
,462,Noorvik Native Community,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,9/19/2020,10/25/2020,
,463,Petersburg Indian Association,Reduced Reporter,Tribe,DR,DO,1,,N,N,N,N,Active Service,7/1/2019,11/1/2019,
,0R01-00288,City of Moscow,Reduced Asset Reporter,Asset,VP,DO,,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00311,Mountain Rides Transportation Authority,Rural Reporter,Rural,DR,DO,1,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00311,Mountain Rides Transportation Authority,Rural Reporter,Rural,MB,DO,13,,N,Y,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00311,Mountain Rides Transportation Authority,Rural Reporter,Rural,VP,DO,10,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00341,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,DR,DO,4,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00341,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,MB,DO,5,,N,Y,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00342,Valley Vista Care Corporation,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00347,SMART Transit,Rural Reporter,Rural,DR,DO,3,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00347,SMART Transit,Rural Reporter,Rural,MB,DO,2,,N,Y,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00357,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,DR,DO,9,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00385,Franklin County Medical Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2012,10/1/2012,
,0R01-00392,Boise Basin Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2008,10/1/2008,
,0R01-00403,Lemhi Ride,Rural Reporter,Rural,DR,DO,4,,N,N,N,N,Active Service,4/1/2014,4/1/2014,
,0R01-00404,Shoshone County,Rural Reporter,Rural,DR,PT,1,,N,N,N,N,Active Service,4/1/2013,4/1/2013,
,0R01-00404,Shoshone County,Rural Reporter,Rural,MB,PT,1,,N,Y,N,N,Active Service,4/1/2013,4/1/2013,
,0R01-00422,Oneida County Hospital,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2008,10/1/2008,
,0R01-00423,Mackay Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2009,10/1/2009,
,0R01-00424,Golden Year Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,3/1/2008,3/1/2008,
,0R01-00425,Fremont County Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,7/1/2007,7/1/2007,
,0R01-00426,Filer Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,9/1/2008,9/1/2008,
,0R01-00427,"Development Workshop, Inc.",Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,1/1/2014,1/1/2014,
,0R01-00429,University of Idaho,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,1/1/2014,1/1/2014,
,0R01-00430,"Witco, Inc.",Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2008,10/1/2008,
,0R01-00432,"Three Island Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,1/1/2009,1/1/2009,
,0R01-00433,"Tesh, Inc.",Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2008,10/1/2008,
,0R01-00434,St. Mark's Catholic Community,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,11/1/2008,11/1/2008,
,0R01-00435,Payette Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,10/1/2008,10/1/2008,
,0R01-00436,Parma Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,N,Active Service,1/1/2010,1/1/2010,
,0R01-00437,Mountain Home Senior Center,Reduced Asset Reporter,Asset,DR,DO,,,N,N,N,Y,Active Service,10/1/2008,10/1/2008,
