UACE Code,UZA,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled,Total Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,SGR FG Directional Route Miles,SGR FG Vehicle Revenue Miles,SGR HIB Directional Route Miles,SGR HIB Vehicle Revenue Miles
,14,"Seattle, WA",Y,3059393,3028,,1010,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,13115,24351,191376,183647,3081906,191376,183647,3081906,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,82990,138673,1176460,1059698,10184182,1176460,1059698,10184182,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO, Actual Data,,,,407561,4363241,4558354,18329599,69288838,4558354,18329599,69288838,0,0,0,0,0,0,8,23676
,14,"Seattle, WA",Y,3059393,3028,,1010,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO, Actual Data,,,,73511,323089,2583536,9885330,3485434,2583536,9885330,3485434,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO, Actual Vehicle Revenue Miles,,,,5309,144844,24022,0,789115,24022,0,789115,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,1059,3129,22030,0,215571,22030,0,215571,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,5,City of Everett,Full Reporter,Urban,DR,DO, Actual Data,,,,25211,51780,296098,231140,5045195,296098,231140,5045195,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,5,City of Everett,Full Reporter,Urban,MB,DO, Actual Data,,,,84115,761882,991608,2992866,14827456,991608,2992866,14827456,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,1555,3712,55063,123250,196627,55063,123250,196627,0,0,0,0,0,0,0,0
,248,"Yakima, WA",Y,129534,2165,,60,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,2333,5569,82598,184882,294954,82598,184882,294954,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,DR,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,248,"Yakima, WA",Y,129534,2165,,60,6,City of Yakima,Full Reporter,Urban,DR,PT, Actual Data,,,,23065,35974,213575,116436,1496151,213575,116436,1496151,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,248,"Yakima, WA",Y,129534,2165,,60,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Data,,,,59044,472252,707931,1981888,7096689,707931,1981888,7096689,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,VP,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,248,"Yakima, WA",Y,129534,2165,,60,6,City of Yakima,Full Reporter,Urban,VP,DO, Actual Data,,,,702,3355,31663,162002,72901,31663,162002,72901,0,0,0,0,0,0,0,0
,0,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,151,"Eugene, OR",Y,247421,2852,,87,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,32860,66229,465724,403241,2882935,465724,403241,2882935,0,0,0,0,0,0,0,0
,156,"Salem, OR",N,236632,3117,,76,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,0,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,151,"Eugene, OR",Y,247421,2852,,87,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,79226,218423,1965751,2339272,4591537,1965751,2339272,4591537,0,0,0,0,0,0,0,0
,156,"Salem, OR",N,236632,3117,,76,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,0,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,151,"Eugene, OR",Y,247421,2852,,87,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,134599,2184580,1674364,8909636,27603920,1674364,8909636,27603920,0,0,0,0,0,0,0,0
,156,"Salem, OR",N,236632,3117,,76,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,0,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,4713,10434,97276,237122,399072,97276,237122,399072,0,0,0,0,0,0,0,0
,151,"Eugene, OR",Y,247421,2852,,87,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,156,"Salem, OR",N,236632,3117,,76,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,,,0,0,0,,,,,,,,,,,
,0,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,,,0,0,0,,,,,,,,,,,
,151,"Eugene, OR",Y,247421,2852,,87,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,60303,1807241,695726,4834019,13344470,0,0,0,28,695726,4834019,13344470,19,470179,0,0
,156,"Salem, OR",N,236632,3117,,76,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,,,0,0,0,,,,,,,,,,,
,0,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,151,"Eugene, OR",Y,247421,2852,,87,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,,586,1363,33627,85522,27432,33627,85522,27432,0,0,0,0,0,0,0,0
,156,"Salem, OR",N,236632,3117,,76,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,,586,1363,33626,85520,27431,33626,85520,27431,0,0,0,0,0,0,0,0
,0,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,"Portland, OR-WA",Y,1849898,3528,,524,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,177667,244846,2411276,1812134,20995420,2411276,1812134,20995420,0,0,0,0,0,0,0,0
,0,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,"Portland, OR-WA",Y,1849898,3528,,524,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,8939,23470,242804,279152,1485637,242804,279152,1485637,0,0,0,0,0,0,0,0
,0,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,"Portland, OR-WA",Y,1849898,3528,,524,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,583899,14817505,8172915,77157997,162592118,0,0,0,118.9,8172915,77157997,162592118,118.9,8172915,0,0
,0,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,"Portland, OR-WA",Y,1849898,3528,,524,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,1912920,25137970,20633760,98687208,310123997,20008957,95698898,300733251,6.5,624803,2988310,9390746,5.8,575110,0.6,4741
,0,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,24,"Portland, OR-WA",Y,1849898,3528,,524,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,5544,84742,112881,675964,7500286,0,0,0,29.2,112881,675964,7500286,29.2,112881,0,0
,0,Washington Non-UZA,Y,,,,,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,634,741,21903,0,149486,21903,0,149486,0,0,0,0,0,0,0,0
,0,Oregon Non-UZA,Y,,,,,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO, Actual Vehicle Revenue Miles,,,,3528,4450,82944,0,403394,82944,0,403394,0,0,0,0,0,0,0,0
,0,Oregon Non-UZA,Y,,,,,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO, Actual Vehicle Revenue Miles,,,,1362,707,40550,0,276456,40550,0,276456,0,0,0,0,0,0,0,0
,0,Idaho Non-UZA,N,,,,,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,108,"Boise City, ID",Y,349684,2613,,134,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,25009,61606,374620,335662,3271051,374620,335662,3271051,0,0,0,0,0,0,0,0
,216,"Nampa, ID",N,151499,2183,,69,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,13662,33654,204642,183361,1786862,204642,183361,1786862,0,0,0,0,0,0,0,0
,0,Idaho Non-UZA,N,,,,,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,108,"Boise City, ID",Y,349684,2613,,134,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,52662,555512,949450,2573051,8266281,949450,2573051,8266281,0,0,0,0,0,0,0,0
,216,"Nampa, ID",N,151499,2183,,69,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,25938,273610,467640,1267325,4071455,467640,1267325,4071455,0,0,0,0,0,0,0,0
,0,Alaska Non-UZA,N,,,,,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,149,"Anchorage, AK",Y,251243,2956,,85,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT, Actual Data,,,,47788,89838,562256,525439,5282515,562256,525439,5282515,0,0,0,0,0,0,0,0
,0,Alaska Non-UZA,N,,,,,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,149,"Anchorage, AK",Y,251243,2956,,85,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO, Actual Data,,,,183414,1953114,2207629,8780460,29781871,2207629,8780460,29781871,0,0,0,0,0,0,0,0
,0,Alaska Non-UZA,N,,,,,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,149,"Anchorage, AK",Y,251243,2956,,85,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT, Actual Data,,,,26746,150954,1302578,6278401,1092201,1302578,6278401,1092201,0,0,0,0,0,0,0,0
,0,Alaska Non-UZA,Y,,,,,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,7418,31129,102219,0,762857,102219,0,762857,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO, Actual Data,,,,0,0,0,0,22318,0,0,22318,0,0,0,0,0,0,0,0
,431,"Longview, WA-OR",Y,63952,1946,,33,16,RiverCities Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,14506,26071,112913,79231,1320469,112913,79231,1320469,0,0,0,0,0,0,0,0
,431,"Longview, WA-OR",Y,63952,1946,,33,16,RiverCities Transit,Full Reporter,Urban,MB,DO, Actual Data,,,,23796,169320,298689,724132,3288329,298689,724132,3288329,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,Y,,,,,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO, Actual Vehicle Revenue Miles,,,,886,4809,24947,0,246479,24947,0,246479,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,171,"Kennewick-Pasco, WA",Y,210975,2059,,102,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,83279,173407,1370312,1268501,11608104,1370312,1268501,11608104,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,171,"Kennewick-Pasco, WA",Y,210975,2059,,102,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,24697,54767,554064,357249,1676417,554064,357249,1676417,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,171,"Kennewick-Pasco, WA",Y,210975,2059,,102,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,200426,1415305,3205722,5958434,21896242,3205722,5958434,21896242,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,171,"Kennewick-Pasco, WA",Y,210975,2059,,102,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,24512,153560,1129064,5359301,1504428,1129064,5359301,1504428,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,4258,33157,98391,697111,709211,98391,697111,709211,0,0,0,0,0,0,0,0
,195,"Olympia-Lacey, WA",Y,176617,1673,,106,19,Intercity Transit,Full Reporter,Urban,CB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,195,"Olympia-Lacey, WA",Y,176617,1673,,106,19,Intercity Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,78734,115286,857985,723671,14371857,857985,723671,14371857,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,195,"Olympia-Lacey, WA",Y,176617,1673,,106,19,Intercity Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,180687,2287878,2342918,9174547,29694801,2342918,9174547,29694801,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,19,Intercity Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,19,Intercity Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,18936,90583,726834,3127543,1173101,726834,3127543,1173101,0,0,0,0,0,0,0,0
,195,"Olympia-Lacey, WA",Y,176617,1673,,106,19,Intercity Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,18464,88321,708682,3049436,1143804,708682,3049436,1143804,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,20,Kitsap Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,20,Kitsap Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,180,"Bremerton, WA",Y,198979,1458,,136,20,Kitsap Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,62441,151029,955397,1050416,12980709,955397,1050416,12980709,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,20,Kitsap Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,20,Kitsap Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,180,"Bremerton, WA",Y,198979,1458,,136,20,Kitsap Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,814,1991,19185,20142,147574,19185,20142,147574,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,20,Kitsap Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,20,Kitsap Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,7248,286205,124124,2730255,7004949,0,0,0,37.6,124124,2730255,7004949,0,64301,0,0
,180,"Bremerton, WA",Y,198979,1458,,136,20,Kitsap Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,7000,276384,119865,2636574,6764591,0,0,0,8.5,119865,2636574,6764591,5.7,113886,0,0
,0,Washington Non-UZA,N,,,,,20,Kitsap Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",N,3059393,3028,,1010,20,Kitsap Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
