NTD ID,Agency Name,Reporter Type,Reporting Module,Expense Type,Interest Expenses,Leases and Rentals,Purchase Lease Agreement,Related Parties Lease Agreement,Voluntary Non-Exchange Transactions,Extraordinary and Special Items,Depreciation,Amortization of Intangibles,Other Reconciling Items,Total Reconciling Items,ADA Related Reconciling Items
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,Funds Applied,121473,98761,,,,,,,,220234,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,6836288,99377,60297,6995962,
10016,Greater Portland Transit District,Full Reporter,Urban,Funds Applied,48994,54167,,,,,,,450751,553912,
10016,Greater Portland Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,1920971,,,1920971,
10017,Greater Hartford Transit District,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10017,Greater Hartford Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10040,Southeast Area Transit District,Full Reporter,Urban,Funds Applied,13294,,,,,,,,,13294,
10040,Southeast Area Transit District,Full Reporter,Urban,Funds Not Applied,,,,360112,,,1252943,,,1613055,
10042,Valley Transit District,Full Reporter,Urban,Funds Applied,21,5105,,,,,,,,5126,
10042,Valley Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,344756,,,344756,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,Funds Applied,,57146,,,,,,,,57146,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10049,Greater New Haven Transit District,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10049,Greater New Haven Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,Funds Applied,779,,,,,198497,0,,,199276,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,4660190,,331687,4991877,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,Funds Applied,26543,,,,,,,,,26543,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,Funds Applied,,19650,,,,,,,,19650,
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,Funds Applied,0,36648,,,,,,,,36648,
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10057,Norwalk Transit District,Full Reporter,Urban,Funds Applied,73046,62424,,,,,,,,135470,
10057,Norwalk Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,2694110,,,2694110,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,Funds Applied,167109,290366,0,,,,,,26093,483568,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3460672,,,3460672,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,Funds Applied,81930,18060,,,,,,,,99990,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3518427,,,3518427,
10066,Green Mountain Transit Authority,Full Reporter,Urban,Funds Applied,,34614,,,,,,,257375,291989,
10066,Green Mountain Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3622127,,,3622127,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,Funds Applied,,27000,,,,,,,,27000,
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,Funds Not Applied,,,,,,,859471,,,859471,
10087,City of Nashua,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10087,City of Nashua,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10088,Casco Bay Island Transit District,Full Reporter,Urban,Funds Applied,,37277,,,,,,,,37277,
10088,Casco Bay Island Transit District,Full Reporter,Urban,Funds Not Applied,,,,0,,,877350,,,877350,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Funds Applied,47576,40265,0,,,0,,,,87841,
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10102,Connecticut Department of Transportation,Full Reporter,Urban,Funds Applied,,1256465,0,,,,,,,1256465,
10102,Connecticut Department of Transportation,Full Reporter,Urban,Funds Not Applied,,,,,,,673408,,,673408,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,Funds Applied,59995,1063838,,,,,,,,1123833,
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,4290710,,,4290710,
10107,Milford Transit District,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10107,Milford Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,Funds Applied,,147179,0,,,,,,,147179,
10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,420722,,,420722,
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,Funds Applied,74285,,,,,,,,,74285,26876
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,1786615,,,1786615,646397
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,Funds Applied,69692,30022,,,,,,,,99714,
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,Funds Not Applied,,0,,,,,,,,0,
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,Funds Applied,,1228,,,,,40216,,,41444,
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,Funds Applied,4575521,844056,0,0,0,0,,0,0,5419577,0
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,14193248,0,0,14193248,0
11147,Rhode Island Department of Transportation,Full Reporter,Urban,Funds Applied,,116277,,,,,,,,116277,
11147,Rhode Island Department of Transportation,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
11238,Bay State Cruise Company,Full Reporter,Urban,Funds Applied,54657,48248,490378,,,,,,,593283,
11238,Bay State Cruise Company,Full Reporter,Urban,Funds Not Applied,,,,,,,297851,,,297851,
11239,"Hyannis Harbor Tours, Inc. ",Full Reporter,Urban,Funds Applied,314686,,,,,,0,0,,314686,
11239,"Hyannis Harbor Tours, Inc. ",Full Reporter,Urban,Funds Not Applied,,,,,,,2034460,8945,,2043405,
20002,Capital District Transportation Authority,Full Reporter,Urban,Funds Applied,146551,774941,0,,,,,,,921492,
20002,Capital District Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,14226346,,4404077,18630423,
20003,Broome County,Full Reporter,Urban,Funds Applied,179852,119800,,,,,,,1881862,2181514,
20003,Broome County,Full Reporter,Urban,Funds Not Applied,,,,,,,3025292,,232160,3257452,
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,Funds Applied,673823,1322097,,,,,,,,1995920,8361
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,0,,,,5678530,,25183342,30861872,173959
20006,City of Long Beach,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20006,City of Long Beach,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20008,MTA New York City Transit,Full Reporter,Urban,Funds Applied,19056262,26473893,,,,,,,-139410027,-93879872,
20008,MTA New York City Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,2098699829,,,2098699829,
20010,Dutchess County,Full Reporter,Urban,Funds Applied,,83544,,,,,,,,83544,
20010,Dutchess County,Full Reporter,Urban,Funds Not Applied,,,,,,,2606054,,,2606054,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,Funds Applied,,162327,,,,,,,,162327,
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,11897741,,29139527,41037268,
20071,Town of Huntington,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20071,Town of Huntington,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20072,Suffolk County ,Full Reporter,Urban,Funds Applied,293804,2269428,,,,,,,,2563232,
20072,Suffolk County ,Full Reporter,Urban,Funds Not Applied,,,,,,,8126158,,,8126158,
20075,Port Authority Transit Corporation,Full Reporter,Urban,Funds Applied,,10607,,,,,,,-1224556,-1213949,
20075,Port Authority Transit Corporation,Full Reporter,Urban,Funds Not Applied,,,,6122000,,,,,,6122000,
20076,Westchester County,Full Reporter,Urban,Funds Applied,,1494204,,,,,,,,1494204,
20076,Westchester County,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,Funds Applied,329606,25237381,,,,,,,52183942,77750929,
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,Funds Not Applied,,,,,,,316331155,,126923240,443254395,
20080,New Jersey Transit Corporation,Full Reporter,Urban,Funds Applied,27021897,9620148,,,,,,,-27747494,8894551,
20080,New Jersey Transit Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,30843686,,223859537,254703223,4352720
20082,New York City Department of Transportation,Full Reporter,Urban,Funds Applied,,180610,0,,,2625700,,,,2806310,
20082,New York City Department of Transportation,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20084,County of Rockland ,Full Reporter,Urban,Funds Applied,,97173,,,,,,,,97173,
20084,County of Rockland ,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20096,Putnam County ,Full Reporter,Urban,Funds Applied,0,0,0,0,0,366974,0,0,0,366974,0
20096,Putnam County ,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,,0,0,0,0,0
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,Funds Not Applied,242147000,,,,,,227911000,,,470058000,
20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,Funds Applied,22233,,,,,,,,5591079,5613312,
20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,11471932,,,11471932,
20100,MTA Long Island Rail Road,Full Reporter,Urban,Funds Applied,702680,10084059,,,,,,,,10786739,
20100,MTA Long Island Rail Road,Full Reporter,Urban,Funds Not Applied,,,,,,,458539671,48664,117185642,575773977,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,Funds Applied,2694,185566,,,,,,,,188260,
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,Funds Not Applied,,,,,,,15605758,,7764349,23370107,
20122,"Academy Lines, Inc.",Full Reporter,Urban,Funds Applied,,,3043811,,,,,,,3043811,
20122,"Academy Lines, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,198654,,,198654,
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Funds Applied,,1121206,,132494,,,,,,1253700,
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,3106086,,622700,3728786,
20128,Suburban Transit Corporation,Full Reporter,Urban,Funds Applied,,1736326,,,,,,,,1736326,
20128,Suburban Transit Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,213902,4617,123002,341521,
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,Funds Applied,27420,,222617,,,,,,,250037,
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,451220,,,451220,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,Funds Applied,32235,39993,,,,,,,,72228,
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,Funds Applied,,158075,,,,,,,,158075,
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,36551,,,36551,
20161,DeCamp Bus Lines,Full Reporter,Urban,Funds Applied,134576,35094,,,,,,,,169670,
20161,DeCamp Bus Lines,Full Reporter,Urban,Funds Not Applied,,,,,,,551307,,,551307,
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,Funds Applied,43011,392315,,,,,,,,435326,
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,49335,,,49335,
20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,Funds Applied,31094,118598,,,,,,,,149692,
20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,16098,,,16098,
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,Funds Applied,32927,346000,0,0,0,0,,0,0,378927,0
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,2406884,0,0,2406884,0
20175,Private Transportation Corporation,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20175,Private Transportation Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,Funds Applied,28990,1109510,0,157815,0,0,,0,0,1296315,0
20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,1344183,0,0,1344183,0
20178,Ulster County ,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20178,Ulster County ,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20188,MTA Bus Company,Full Reporter,Urban,Funds Applied,,1356982,,1132552,,,,,170991721,173481255,
20188,MTA Bus Company,Full Reporter,Urban,Funds Not Applied,,,,,,,47062423,,-101771888,-54709465,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,Funds Applied,1226835,13254,362094,1033928,,14316384,,,709437,17661932,
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,3353217,1764567,,5117784,
20192,Bergen County,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20192,Bergen County,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20199,County of Atlantic,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20199,County of Atlantic,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20206,County of Nassau,Full Reporter,Urban,Funds Applied,,361969,,,,,,,,361969,
20206,County of Nassau,Full Reporter,Urban,Funds Not Applied,,0,,,,,,,,0,
20209,Somerset County,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
20209,Somerset County,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
20217,"Hampton Jitney, Inc.",Full Reporter,Urban,Funds Applied,439204,1394214,,,,,,,,1833418,
20217,"Hampton Jitney, Inc.",Full Reporter,Urban,Funds Not Applied,0,,,,,,2452037,,,2452037,
20223,Cape May Lewes Ferry,Full Reporter,Urban,Funds Applied,4640920,,,,,120293,,,,4761213,
20223,Cape May Lewes Ferry,Full Reporter,Urban,Funds Not Applied,,,,,,,10385268,,,10385268,
20226,"SeaStreak, LLC",Full Reporter,Urban,Funds Applied,651335,487135,,,,,,,,1138470,
20226,"SeaStreak, LLC",Full Reporter,Urban,Funds Not Applied,,,,,,,2897224,27326,,2924550,
22930,New York City Economic Development Corporation,Full Reporter,Urban,Funds Applied,,2030774,,,,,,,-4762212,-2731438,
22930,New York City Economic Development Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,172882,,,172882,
30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,Funds Applied,,,,,,,0,,34326,34326,
30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,2233369,,,2233369,
30002,The Tri-State Transit Authority,Full Reporter,Urban,Funds Applied,,,,,,,,,348763,348763,
30002,The Tri-State Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
30006,Greater Richmond Transit Company,Full Reporter,Urban,Funds Applied,,0,302454,,,,,,,302454,
30006,Greater Richmond Transit Company,Full Reporter,Urban,Funds Not Applied,,,,,,,9910194,,7920966,17831160,
30007,Greater Roanoke Transit Company,Full Reporter,Urban,Funds Applied,,104998,,,,,,,,104998,
30007,Greater Roanoke Transit Company,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
30008,Greater Lynchburg Transit Company,Full Reporter,Urban,Funds Applied,,,,,,,,,-249047,-249047,
30008,Greater Lynchburg Transit Company,Full Reporter,Urban,Funds Not Applied,,,,,,,2694641,,,2694641,
30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,Funds Applied,20288,89570,467253,,,,,,,577111,
30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,Funds Not Applied,,161292,,,,,5532873,,,5694165,
30011,Altoona Metro Transit,Full Reporter,Urban,Funds Applied,,27626,104681,,,,0,,,132307,2788
30011,Altoona Metro Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,1492129,,-718413,773716,
30012,Cambria County Transit Authority,Full Reporter,Urban,Funds Applied,,0,100097,,,,,,,100097,
30012,Cambria County Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3166275,,136949,3303224,
30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,Funds Applied,,83991,,,,510616,,,,594607,
30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3776912,,265667,4042579,
30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,Funds Applied,75,37170,,,,,,,,37245,
30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,4037143,,,4037143,
30015,Luzerne County Transportation Authority,Full Reporter,Urban,Funds Applied,,,,,,,,,342650,342650,
30015,Luzerne County Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,2107330,,232965,2340295,
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,Funds Applied,13578080,52868390,,,,,,,3856590,70303060,730891
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,23078742,,-36738078,-13659336,
30022,Port Authority of Allegheny County,Full Reporter,Urban,Funds Applied,,6322063,,,,,,,,6322063,
30022,Port Authority of Allegheny County,Full Reporter,Urban,Funds Not Applied,,,,,,,100151772,,-32281957,67869815,
30023,Beaver County Transit Authority,Full Reporter,Urban,Funds Applied,,,86938,,,,0,,,86938,
30023,Beaver County Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3026474,,,3026474,
30025,County of Lackawanna Transit System,Full Reporter,Urban,Funds Applied,,398444,,,,,,,,398444,
