wltype,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol, Methonal ,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,,,,13360985,,,,,,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,1627838,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,,,,963095,,,,,,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,178406868,,,,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,46803331,,,,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,,,1759264,4887759,,,,,,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,,,,37630,,,,,29900,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,,,,354179,149495,11565841,,,,,,,,,
Full Reporter,10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,2928240,,,,,,,,,
Full Reporter,10004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,,,,434,,,,,81008,,,,,,
Full Reporter,10004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,,,,272194,,,,,,,,,,,
Full Reporter,10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,22729,,,,,,
Full Reporter,10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,39193,,,,,,
Full Reporter,10005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,260876,,,,,11852,,,,,,
Full Reporter,10006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,92442,,,,,,
Full Reporter,10006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,333078,,,,,,,,,,,
Full Reporter,10007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,34725,,,,,,
Full Reporter,10007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,69587,,,,,68637,,,,,,
Full Reporter,10008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,290873,,,,,,
Full Reporter,10008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,,,,1080075,154874,,,,16811,,,,,,
Full Reporter,10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,,,,23690,,,,,,,,,,,
Full Reporter,10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,96795,,,,,,
Full Reporter,10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,332134,,,,,,,,,,,
Full Reporter,10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,28652,,,,,,
Full Reporter,10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,65354,,,,,,
Full Reporter,10014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,,,,323330,163200,,,,19990,,,,,,
Full Reporter,10016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,,,87742,182552,,,,,,,,,,,
Full Reporter,10017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,,,,75279,,,,,510929,,,,,,
Full Reporter,10040,Southeast Area Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,9584,,,,,,
Full Reporter,10040,Southeast Area Transit District,Full Reporter,Urban,MB,DO,,,,192740,,,,,9618,,,,,,
Full Reporter,10042,Valley Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,36976,,,,,,
Full Reporter,10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,,,,207023,,,,,,,,,,,
Full Reporter,10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,,,,54642,,,,,,,,,,,
Full Reporter,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,,,,2100946,,,,,,,,,,,
Full Reporter,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,,,,264768,,,,,,,,,,,
Full Reporter,10049,Greater New Haven Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,253845,,,,,,
Full Reporter,10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,,,,45560,,,,,1275,,,,,,
Full Reporter,10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,,,,430691,,,,,,,,,,,
Full Reporter,10051,Housatonic Area Regional Transit ,Full Reporter,Urban,DR,DO,,,,2652,,,,,50895,,,,,,
Full Reporter,10051,Housatonic Area Regional Transit ,Full Reporter,Urban,MB,DO,,,,152368,,,,,50492,,,,,,
Full Reporter,10053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,20407,,,,,,
Full Reporter,10053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,,,,36604,,,,,10041,,,,,,
Full Reporter,10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,,,,1021682,,,,,,,,,,,
Full Reporter,10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,,,,377622,,,,,,,,,,,
Full Reporter,10057,Norwalk Transit District,Full Reporter,Urban,DR,DO,,,,12620,,,,,36572,,,,,,
Full Reporter,10057,Norwalk Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,23808,,,,,,
Full Reporter,10057,Norwalk Transit District,Full Reporter,Urban,MB,DO,,,,206088,,,,,38733,,,,,,
Full Reporter,10061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,837,,,,,198519,,,,,,
Full Reporter,10061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,103565,,,,,47888,,,,,,
Full Reporter,10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,172710,,,,,,
Full Reporter,10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,,,,149348,,,,,42172,,,,,,
Full Reporter,10066,Green Mountain Transit Authority,Full Reporter,Urban,CB,DO,,,,92300,,,,,22186,,,,,,
Full Reporter,10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,DO,,,,3590,,,,,45270,,,,,,
Full Reporter,10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,56640,,,,,,
Full Reporter,10066,Green Mountain Transit Authority,Full Reporter,Urban,MB,DO,,,,298636,20169,,,,39249,,,,,,
Full Reporter,10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,,,,,,,,,20194,,,,,,
Full Reporter,10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,70211,,,60208,,,,,10021,,,,,,
Full Reporter,10087,City of Nashua,Full Reporter,Urban,DR,PT,3955,,,,,,,,23248,,,,,,
Full Reporter,10087,City of Nashua,Full Reporter,Urban,MB,PT,13521,,71820,,,,,,472,,,,,,
Full Reporter,10088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,29318,,,211587,,,,,,,,,,,
Full Reporter,10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,CB,DO,,,,4852,,,,,16838,,,,,,
Full Reporter,10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,,24595,,,,,,
Full Reporter,10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,,,,11613,,,,,8919,,,,,,
Full Reporter,10102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,,,,102338,,,,,,,,,,,
Full Reporter,10102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,,,,1678569,,,,,,,,,,,
Full Reporter,10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,217336,,,,,,
Full Reporter,10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,90193,,,88957,,,,,5269,,,,,,
Full Reporter,10107,Milford Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,28436,,,,,,
Full Reporter,10107,Milford Transit District,Full Reporter,Urban,MB,DO,56319,,,,,,,,,,,,,,
Full Reporter,10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,,,,628302,,,,,,,,,,,
Full Reporter,10118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,84122,,,,,,
Full Reporter,10118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,,,106002,,,,,,54564,,,,,,
Full Reporter,10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,PT,,,,,,,,,102393,,,,,,
Full Reporter,10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,PT,,,,293718,,,,,,,,,,,
Full Reporter,10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,MB,PT,,,,208754,,,,,,,,,,,
Full Reporter,10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,,,,2847103,,,,,,,,,,,
Full Reporter,10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,,,619,54572,,,,,,,,,,,
Full Reporter,11147,Rhode Island Department of Transportation,Full Reporter,Urban,FB,PT,,,,121806,,,,,,,,,,,
Full Reporter,11238,Bay State Cruise Company,Full Reporter,Urban,FB,DO,,,,155873,,,,,,,,,,,
Full Reporter,11239,"Hyannis Harbor Tours, Inc. ",Full Reporter,Urban,FB,DO,,,,1412997,,,,,,,,,,,
Full Reporter,20002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,,,,90701,,,,,,,,,,,
Full Reporter,20002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,189546,,,,,,
Full Reporter,20002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,,,,1951603,42126,,,,12712,,,,,,
Full Reporter,20002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,,21352,,,,,,
Full Reporter,20003,Broome County,Full Reporter,Urban,DR,DO,,,,206,,,,,21975,,,,,,
Full Reporter,20003,Broome County,Full Reporter,Urban,DR,PT,,,,56,,,,,31615,,,,,,
Full Reporter,20003,Broome County,Full Reporter,Urban,MB,DO,,,,245968,,,,,,,,,,,
Full Reporter,20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,,,40296,22821,,,,,241185,,,,,,
Full Reporter,20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,7920559,,,,,,,,,
Full Reporter,20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,,,979382,1327161,,,,,,,,,,,
Full Reporter,20006,City of Long Beach,Full Reporter,Urban,DR,DO,,,,,,,,,3207,,,,,,
Full Reporter,20006,City of Long Beach,Full Reporter,Urban,MB,DO,,,,54012,,,,,,,,,,,
Full Reporter,20008,MTA New York City Transit,Full Reporter,Urban,CB,DO,,,,3290382,,,,,,,,,,,
Full Reporter,20008,MTA New York City Transit,Full Reporter,Urban,DR,PT,,,,146008,,,,,3522121,,,,,,
Full Reporter,20008,MTA New York City Transit,Full Reporter,Urban,HR,DO,,,,,,1596235000,,,,,,,,,
Full Reporter,20008,MTA New York City Transit,Full Reporter,Urban,MB,DO,,,3857115,23223866,449235,,,,,,,,,,
Full Reporter,20008,MTA New York City Transit,Full Reporter,Urban,RB,DO,,,,1074143,,,,,,,,,,,
Full Reporter,20010,Dutchess County,Full Reporter,Urban,DR,DO,,,,29445,,,,,,,,,,,
Full Reporter,20010,Dutchess County,Full Reporter,Urban,MB,DO,,,,195045,,,,,,,,,,,
Full Reporter,20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,113379,,,,,,
Full Reporter,20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,89102,,,,,,
Full Reporter,20018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,,,893482,337602,,,,,,,,,,,
Full Reporter,20071,Town of Huntington,Full Reporter,Urban,DR,DO,,,,,,,,,21056,,,,,,
Full Reporter,20071,Town of Huntington,Full Reporter,Urban,MB,DO,,,,27639,,,,,29046,,,,,,
Full Reporter,20072,Suffolk County ,Full Reporter,Urban,DR,PT,,,,,,,,,882214,,,,,,
Full Reporter,20072,Suffolk County ,Full Reporter,Urban,MB,PT,,,,1191346,,,,,223298,,,,,,
Full Reporter,20075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,,,,,,32179173,,,,,,,,,
Full Reporter,20076,Westchester County,Full Reporter,Urban,DR,PT,,,,,,,,,169150,,,,,,
Full Reporter,20076,Westchester County,Full Reporter,Urban,MB,PT,,,,2242545,,,,,,,,,,,
Full Reporter,20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,,,,5697351,,367362724,,,,,,,,,
Full Reporter,20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,,,,45912,,,,,,,,,,,
Full Reporter,20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,,,,35214,,,,,,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,,,,13166567,,359673989,,,,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,2019291,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,,,,,,6694675,,,,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,,,,,,27163871,,,,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,,,1390680,18447851,,,,,,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,,,,1915268,,,,,,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,,,,,,,,,139008,,,,,,
Full Reporter,20080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,,,,697665,,,,,,,,,,,
Full Reporter,20082,New York City Department of Transportation,Full Reporter,Urban,CB,PT,,,,148659,,,,,,,,,,,
Full Reporter,20082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,,,,4535218,,,,,,,,,,,
Full Reporter,20084,County of Rockland ,Full Reporter,Urban,DR,DO,,,,,,,,,41617,,,,,,
Full Reporter,20084,County of Rockland ,Full Reporter,Urban,MB,PT,,,,436962,,,,,,,,,,,
Full Reporter,20096,Putnam County ,Full Reporter,Urban,DR,PT,,,,,,,,,9500,,,,,,
Full Reporter,20096,Putnam County ,Full Reporter,Urban,MB,PT,,,,,,,,,45951,,,,,,
Full Reporter,20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,FB,PT,,,,282500,,,,,,,,,,,
Full Reporter,20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,,,,,,93567629,,,,,,,,,
Full Reporter,20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,HR,DO,,,,,,27982542,,,,,,,,,
Full Reporter,20100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,,,,7034074,,471350200,,,,,,,,,
Full Reporter,20113,Regional Transit Service - Monroe County,Full Reporter,Urban,DR,DO,,,,,,,,,291004,,,,,,
Full Reporter,20113,Regional Transit Service - Monroe County,Full Reporter,Urban,MB,DO,,,,1349441,,,,,,,,,,,
Full Reporter,20113,Regional Transit Service - Monroe County,Full Reporter,Urban,VP,PT,,,,,,,,,2927,,,,,,
Full Reporter,20122,"Academy Lines, Inc.",Full Reporter,Urban,CB,DO,,,,564450,,,,,,,,,,,
