State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Capital Type,Guideway,Passenger Stations,Administrative Buildings,Maintenance Buildings,Revenue Vehicles,Service Vehicles,Fare Revenue Collection Equipment,Communication Information Systems,Other,Total Capital Funds
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Uses of Capital - Existing Section,3343678,,,,104089,,,,,3447767
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,161813,,,,,161813
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,,,,44371,,44371
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,2597599,410907,2461514,,228033,31805,2433637,3298124,11461619
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,11885271,,,986750,,,,,,12872021
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,203490,,,,,203490
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,,,,44283,,44283
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,8126,,,,,8126
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,248874,1143918,202296,6333511,22255,476595,,2122538,34486,10584473
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,6682165,4015801,112617,,,,,490500,,11301083
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,77048,,77048
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Reduced Reporting,,,,,,,,,,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Reduced Reporting,,,,,,,,,,0
,5,City of Everett,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,1819510,,,,,1819510
,5,City of Everett,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,5,City of Everett,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,,916947,,118572,85227,70551,,375377,1566674
,5,City of Everett,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,1455,,,,,,9934,,11389
,6,City of Yakima,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,6,City of Yakima,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,7,Lane Transit District,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,282478,,,,,282478
,7,Lane Transit District,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,7,Lane Transit District,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,0
,7,Lane Transit District,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion Section,,,,,,,,,,0
,7,Lane Transit District,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,1618379,328954,,6298329,,,278613,,8524275
,7,Lane Transit District,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,7,Lane Transit District,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,,,,257519,,,,,257519
,7,Lane Transit District,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,,,,,0,,,,,0
,7,Lane Transit District,Full Reporter,Urban,RB,DO,Uses of Capital - Existing Section,525600,,,,,,,,,525600
,7,Lane Transit District,Full Reporter,Urban,RB,DO,Uses of Capital - Expansion Section,3297,,,,,,,,,3297
,7,Lane Transit District,Full Reporter,Urban,VP,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,7,Lane Transit District,Full Reporter,Urban,VP,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,0,,4026732,,,291050,,4317782
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Uses of Capital - Existing Section,8709202,9493389,,51471,15616226,,,7682952,400949,41954189
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Uses of Capital - Expansion Section,8832283,242056,,2644434,255150,,,954199,18503,12946625
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,602091,4143139,38242906,39303250,1579321,3323374,3682600,1131297,92007978
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,55121540,,5545686,,,,,,60667226
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Reduced Reporting,,,,,,,,,,0
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Reduced Reporting,,,,,,,,,,12060
,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Reduced Reporting,,,,,,,,,,0
,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Reduced Reporting,,,,,,,,,,0
,11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,580474,,,,,580474
,11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,11,Valley Regional Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,21765,,398564,0,,,23750,,444079
,11,Valley Regional Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,1701102,,,111356,,1812458
,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,,207029,514817,,,16668,59707,654799,1453020
,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Reduced Reporting,,,,,,,,,,480626
,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Reduced Reporting,,,,,,,,,,28429
,16,RiverCities Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,330070,,,,,330070
,16,RiverCities Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,16,RiverCities Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,1812751,,,1043345,,,,,2856096
,16,RiverCities Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Reduced Reporting,,,,,,,,,,138777
,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Reduced Reporting,,,,,,,,,,0
,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,2836252,,,,,2836252
,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,399907,,,,,399907
,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,881855,137535,345282,6742,472363,,36843,,1880620
,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,19,Intercity Transit,Full Reporter,Urban,CB,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,19,Intercity Transit,Full Reporter,Urban,CB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,19,Intercity Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,832932,,,,,832932
,19,Intercity Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,833635,,,,,833635
,19,Intercity Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,,9149782,81835,9483640,113400,,190540,,19019197
,19,Intercity Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,1758628,,,0,,,,,1758628
,19,Intercity Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,389698,,,,,389698
,19,Intercity Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,766962,219556,,,,986518
,20,Kitsap Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,,,,,210551,49169,,,5168,264888
,20,Kitsap Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion Section,,,,1371618,8205954,,,,,9577572
,20,Kitsap Transit,Full Reporter,Urban,FB,PT,Uses of Capital - Existing Section,,,,2776013,363737,,,,,3139750
,20,Kitsap Transit,Full Reporter,Urban,FB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,3942741,138732,77157,2800290,11074,397998,404030,,7772022
,20,Kitsap Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,20,Kitsap Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,646670,,,744558,,1391228
,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,512237,,,185116,,697353
,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,0
,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion Section,,,,,,,,,,0
,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,,52208,97114,1690808,135770,19000,120460,,2115360
,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,87091,6022,,,,,93113
,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,109746,,,,,109746
,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,22,City of Pocatello,Reduced Reporter,Urban,DR,DO,Reduced Reporting,,,,,,,,,,14026
,22,City of Pocatello,Reduced Reporter,Urban,MB,DO,Reduced Reporting,,,,,,,,,,70470
,23,City of Seattle,Full Reporter,Urban,MG,PT,Uses of Capital - Existing Section,5087,1374778,,,207749,,,,,1587614
,23,City of Seattle,Full Reporter,Urban,MG,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,548931,,,,,548931
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,17430,62698,2444860,,89814,200923,859891,48726,3724342
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,2694712,2694712
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,,110413,338979,5019745,,,,0,5469137
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,,,,362371,,,,,362371
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,28,County of Pierce,Full Reporter,Urban,FB,PT,Uses of Capital - Existing Section,,384170,,,,,,,,384170
,28,County of Pierce,Full Reporter,Urban,FB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,Uses of Capital - Existing Section,,,,,876799,,,,,876799
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,106535,,,,,106535
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,,5808434,905600,11836152,261365,1117645,2657883,170769,22757848
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,2687516,0,0,1690879,,,,3348004,7726399
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,208250,,,41390,,249640
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Reduced Reporting,,,,,,,,,,0
,31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Reduced Reporting,,,,,,,,,,0
,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,0,,775111,,,,,775111
,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,458688,,,,,458688
,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,1009022,266030,81613,4514944,254361,,,,6125970
,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,2268269,152471,,,,2420740
,35,Washington State Ferries,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,,122239908,,522286,33683447,,251184,1932240,,158629065
,35,Washington State Ferries,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Reduced Reporting,,,,,,,,,,0
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,Uses of Capital - Existing Section,40456,27481,,39504,42394765,,,922655,,43424861
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,Uses of Capital - Expansion Section,47786,8998,,,6970635,,,,,7027419
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,205146,,205146
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Uses of Capital - Existing Section,2041902,23305480,,,,100229,,84380,,25531991
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Uses of Capital - Expansion Section,119507,301693,,2898442,4588702,0,40157,0,,7948501
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,Uses of Capital - Existing Section,482529,4104093,106986,8022019,996455,,,9915711,,23627793
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,Uses of Capital - Expansion Section,1431021902,262500854,10825477,54708977,92729044,1470246,2809896,69965671,,1926032067
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,11596682,5304061,,11828861,,,,0,,28729604
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,RB,PT,Uses of Capital - Expansion Section,21906256,,,,,,,,,21906256
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,Uses of Capital - Existing Section,,,,,47434,,,146173,,193607
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,Uses of Capital - Expansion Section,46386371,3241852,,,1651319,,51072,117105,,51447719
,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,Uses of Capital - Existing Section,21539222,3075677,292808,1982719,3008874,9721627,,8794541,,48415468
,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,Uses of Capital - Expansion Section,44563,,,,,,,,,44563
,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,424462,,,,,424462
,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,43,Chelan Douglas PTBA ,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,12924,14894,148266,2159667,,,,6264,2342015
,43,Chelan Douglas PTBA ,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,0,,,,,0
,44,Skagit Transit,Full Reporter,Urban,CB,DO,Uses of Capital - Existing Section,,0,,0,2779965,0,0,,0,2779965
,44,Skagit Transit,Full Reporter,Urban,CB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,44,Skagit Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,0,1268317,0,73346,55556,18449,1415668
,44,Skagit Transit,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,44,Skagit Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,92328,,56053,2079799,108387,119909,93135,34943,2584554
,44,Skagit Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,44,Skagit Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,,,,,,0,,,,0
,44,Skagit Transit,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,45,Fairbanks North Star Borough ,Reduced Reporter,Urban,DR,DO,Reduced Reporting,,,,,,,,,,10364
,45,Fairbanks North Star Borough ,Reduced Reporter,Urban,MB,DO,Reduced Reporting,,,,,,,,,,42603
,46,City of Wilsonville,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,0,,,,,,,0
,46,City of Wilsonville,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,46,City of Wilsonville,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,,0,120671,,12572,24492,,27104,,184839
,46,City of Wilsonville,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,47,City of Corvallis,Reduced Reporter,Urban,MB,PT,Reduced Reporting,,,,,,,,,,447338
,48,City of Lewiston,Reduced Reporter,Urban,DR,DO,Reduced Reporting,,,,,,,,,,0
,48,City of Lewiston,Reduced Reporter,Urban,MB,DO,Reduced Reporting,,,,,,,,,,14790
,51,Asotin County,Reduced Reporter,Urban,DR,DO,Reduced Reporting,,,,,,,,,,238347
,51,Asotin County,Reduced Reporter,Urban,MB,DO,Reduced Reporting,,,,,,,,,,0
,51,Asotin County,Reduced Reporter,Urban,VP,DO,Reduced Reporting,,,,,,,,,,103269
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO,Reduced Reporting,,,,,,,,,,0
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,MB,DO,Reduced Reporting,,,,,,,,,,517671
,55,Kootenai County,Reduced Reporter,Urban,DR,PT,Reduced Reporting,,,,,,,,,,648374
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,Uses of Capital - Existing Section,,,,,337755,,,58800,,396555
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,Uses of Capital - Expansion Section,,27974,,,,42559,,25872,,96405
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,,,,,,,,88200,,88200
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
