NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Major Failures,Other Failures,Total Failures
21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,20,0,20
21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,110,2,112
21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,1,0,1
23,City of Seattle,Full Reporter,Urban,MG,PT,11,1,12
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,38,10,48
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,316,113,429
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,25,0,25
25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,25,12,37
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,102,96,198
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,20,8,28
25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,0,0,0
28,County of Pierce,Full Reporter,Urban,FB,PT,13,0,13
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,24,40,64
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,96,52,148
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,36,50,86
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,338,630,968
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,3,1,4
34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,5,11,16
34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,46,84,130
35,Washington State Ferries,Full Reporter,Urban,FB,DO,24,3,27
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,926,542,1468
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,298,190,488
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,6,0,6
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,93,336,429
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,7,10,17
41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,0,1,1
43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,DO,2,12,14
43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,0,2,2
43,Chelan Douglas PTBA ,Full Reporter,Urban,MB,DO,46,112,158
44,Skagit Transit,Full Reporter,Urban,CB,DO,2,0,2
44,Skagit Transit,Full Reporter,Urban,DR,DO,1,0,1
44,Skagit Transit,Full Reporter,Urban,MB,DO,6,6,12
44,Skagit Transit,Full Reporter,Urban,VP,DO,0,0,0
46,City of Wilsonville,Full Reporter,Urban,DR,DO,1,5,6
46,City of Wilsonville,Full Reporter,Urban,MB,DO,10,16,26
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,4,3,7
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,1,8,9
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,3,8,11
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,0,0,0
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,10,27,37
58,City of Portland,Full Reporter,Urban,SR,PT,134,122,256
58,City of Portland,Full Reporter,Urban,TR,PT,0,2,2
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,16,28,44
376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,15,19,34
415,Ada County Highway District,Full Reporter,Urban,VP,DO,9,0,9
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,66,47,113
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,422,1447,1869
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,VP,PT,0,0,0
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,277,35,312
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,218,1354,1572
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,10,0,10
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,464,36,500
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,602,39,641
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,535,209,744
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,25,19,44
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,58,12,70
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,16,31,47
10004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,12,41,53
10004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,67,165,232
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,DO,1,3,4
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,2,4,6
10005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,24,0,24
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,2,10,12
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,7,336,343
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,0,2,2
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,2,2,4
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,22,34,56
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,1506,656,2162
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,2,1,3
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,9,2,11
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,36,2,38
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,7,22,29
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,1,15,16
10014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,235,1092,1327
10016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,46,328,374
10017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,28,2323,2351
10040,Southeast Area Transit District,Full Reporter,Urban,DR,PT,0,0,0
10040,Southeast Area Transit District,Full Reporter,Urban,MB,DO,210,479,689
10042,Valley Transit District,Full Reporter,Urban,DR,DO,2,4,6
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,51,21,72
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,18,1,19
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,141,3978,4119
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,16,228,244
10049,Greater New Haven Transit District,Full Reporter,Urban,DR,DO,114,721,835
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,54,5,59
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,211,134,345
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,DR,DO,8,9,17
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,MB,DO,8,24,32
10053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,1,1,2
10053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,4,10,14
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,60,1617,1677
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,45,775,820
10057,Norwalk Transit District,Full Reporter,Urban,DR,DO,0,12,12
10057,Norwalk Transit District,Full Reporter,Urban,DR,PT,5,19,24
10057,Norwalk Transit District,Full Reporter,Urban,MB,DO,41,189,230
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,12,18,30
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,22,24,46
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,51,34,85
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,67,93,160
10066,Green Mountain Transit Authority,Full Reporter,Urban,CB,DO,11,5,16
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,DO,2,1,3
10066,Green Mountain Transit Authority,Full Reporter,Urban,DR,PT,8,2,10
10066,Green Mountain Transit Authority,Full Reporter,Urban,MB,DO,71,96,167
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,DR,DO,3,0,3
10086,Cooperative Alliance for Seacoast Transportation,Full Reporter,Urban,MB,DO,37,1,38
10087,City of Nashua,Full Reporter,Urban,DR,PT,7,6,13
10087,City of Nashua,Full Reporter,Urban,MB,PT,17,6,23
10088,Casco Bay Island Transit District,Full Reporter,Urban,FB,DO,6,0,6
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,CB,DO,1,4,5
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,DR,DO,4,8,12
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,MB,DO,6,12,18
10102,Connecticut Department of Transportation,Full Reporter,Urban,CB,PT,58,5,63
10102,Connecticut Department of Transportation,Full Reporter,Urban,CR,PT,16,125,141
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,DR,PT,31,3,34
10105,Cape Cod Regional Transit Authority,Full Reporter,Urban,MB,PT,72,7,79
10107,Milford Transit District,Full Reporter,Urban,DR,DO,3,10,13
10107,Milford Transit District,Full Reporter,Urban,MB,DO,10,23,33
10115,Northern New England Passenger Rail Authority,Full Reporter,Urban,CR,PT,4,1,5
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,DR,PT,12,8,20
10118,MetroWest Regional Transit Authority,Full Reporter,Urban,MB,PT,9,9,18
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,DR,PT,1,1,2
10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Full Reporter,Urban,MB,PT,26,1,27
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,MB,PT,73,14,87
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,FB,DO,22,0,22
10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Full Reporter,Urban,MB,DO,11,0,11
11147,Rhode Island Department of Transportation,Full Reporter,Urban,FB,PT,0,0,0
11238,Bay State Cruise Company,Full Reporter,Urban,FB,DO,0,1,1
11239,"Hyannis Harbor Tours, Inc. ",Full Reporter,Urban,FB,DO,0,11,11
20002,Capital District Transportation Authority,Full Reporter,Urban,CB,PT,3,5,8
20002,Capital District Transportation Authority,Full Reporter,Urban,DR,DO,58,68,126
20002,Capital District Transportation Authority,Full Reporter,Urban,MB,DO,614,1064,1678
20002,Capital District Transportation Authority,Full Reporter,Urban,VP,PT,0,0,0
20003,Broome County,Full Reporter,Urban,DR,DO,1,1,2
20003,Broome County,Full Reporter,Urban,DR,PT,0,2,2
20003,Broome County,Full Reporter,Urban,MB,DO,181,352,533
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,DR,DO,29,23,52
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,LR,DO,61,12,73
20004,Niagara Frontier Transportation Authority,Full Reporter,Urban,MB,DO,1,1,2
20006,City of Long Beach,Full Reporter,Urban,DR,DO,0,2,2
20006,City of Long Beach,Full Reporter,Urban,MB,DO,2,4,6
20008,MTA New York City Transit,Full Reporter,Urban,CB,DO,225,59,284
20008,MTA New York City Transit,Full Reporter,Urban,DR,PT,471,658,1129
20008,MTA New York City Transit,Full Reporter,Urban,HR,DO,2227,11116,13343
20008,MTA New York City Transit,Full Reporter,Urban,MB,DO,6207,1783,7990
20008,MTA New York City Transit,Full Reporter,Urban,RB,DO,246,84,330
20010,Dutchess County,Full Reporter,Urban,DR,DO,13,6,19
20010,Dutchess County,Full Reporter,Urban,MB,DO,37,5,42
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,DO,26,68,94
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,DR,PT,6,13,19
20018,Central New York Regional Transportation Authority,Full Reporter,Urban,MB,DO,407,1188,1595
20071,Town of Huntington,Full Reporter,Urban,DR,DO,1,6,7
20071,Town of Huntington,Full Reporter,Urban,MB,DO,40,28,68
20072,Suffolk County ,Full Reporter,Urban,DR,PT,14,8,22
20072,Suffolk County ,Full Reporter,Urban,MB,PT,468,137,605
20075,Port Authority Transit Corporation,Full Reporter,Urban,HR,DO,150,60,210
20076,Westchester County,Full Reporter,Urban,DR,PT,20,193,213
20076,Westchester County,Full Reporter,Urban,MB,PT,1069,533,1602
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,CR,DO,50,0,50
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,FB,PT,0,0,0
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Full Reporter,Urban,MB,PT,57,1,58
20080,New Jersey Transit Corporation,Full Reporter,Urban,CR,DO,214,60,274
20080,New Jersey Transit Corporation,Full Reporter,Urban,DR,PT,281,292,573
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,DO,98,57,155
20080,New Jersey Transit Corporation,Full Reporter,Urban,LR,PT,36,9,45
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,DO,4436,3062,7498
20080,New Jersey Transit Corporation,Full Reporter,Urban,MB,PT,108,285,393
20080,New Jersey Transit Corporation,Full Reporter,Urban,VP,PT,9,6,15
20080,New Jersey Transit Corporation,Full Reporter,Urban,YR,PT,89,15,104
20082,New York City Department of Transportation,Full Reporter,Urban,CB,PT,6,24,30
20082,New York City Department of Transportation,Full Reporter,Urban,FB,DO,3,2,5
20084,County of Rockland ,Full Reporter,Urban,DR,DO,6,1,7
20084,County of Rockland ,Full Reporter,Urban,MB,PT,72,25,97
20096,Putnam County ,Full Reporter,Urban,DR,PT,0,3,3
20096,Putnam County ,Full Reporter,Urban,MB,PT,4,10,14
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,FB,PT,0,0,0
20098,Port Authority Trans-Hudson Corporation,Full Reporter,Urban,HR,DO,86,20,106
20099,Staten Island Rapid Transit Operating Authority,Full Reporter,Urban,HR,DO,37,0,37
20100,MTA Long Island Rail Road,Full Reporter,Urban,CR,DO,117,2,119
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,DR,DO,108,29,137
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,MB,DO,203,52,255
20113,Regional Transit Service - Monroe County,Full Reporter,Urban,VP,PT,0,0,0
20122,"Academy Lines, Inc.",Full Reporter,Urban,CB,DO,9,89,98
20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,CB,DO,102,6,108
20128,Suburban Transit Corporation,Full Reporter,Urban,CB,DO,2,56,58
20135,Monsey New Square Trails Corporation,Full Reporter,Urban,CB,DO,14,29,43
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,DR,PT,0,0,0
20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,MB,DO,123,257,380
20149,"Rockland Coaches, Inc.",Full Reporter,Urban,CB,DO,1,30,31
20161,DeCamp Bus Lines,Full Reporter,Urban,CB,DO,21,8,29
20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,CB,DO,8,29,37
20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,MB,DO,16,64,80
20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,CB,DO,63,54,117
20175,Private Transportation Corporation,Full Reporter,Urban,MB,PT,4,8,12
20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,CB,DO,8,31,39
20178,Ulster County ,Full Reporter,Urban,DR,DO,39,5,44
20178,Ulster County ,Full Reporter,Urban,MB,DO,119,2,121
20188,MTA Bus Company,Full Reporter,Urban,MB,DO,3197,1528,4725
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,FB,DO,0,0,0
20190,Port Imperial Ferry Corporation,Full Reporter,Urban,MB,DO,0,0,0
20192,Bergen County,Full Reporter,Urban,DR,DO,0,72,72
20192,Bergen County,Full Reporter,Urban,MB,DO,0,5,5
20199,County of Atlantic,Full Reporter,Urban,DR,DO,101,47,148
20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,DR,DO,7,0,7
20206,County of Nassau,Full Reporter,Urban,DR,PT,46,10,56
20206,County of Nassau,Full Reporter,Urban,MB,PT,3109,1050,4159
20209,Somerset County,Full Reporter,Urban,DR,DO,22,43,65
20209,Somerset County,Full Reporter,Urban,MB,DO,24,35,59
20217,"Hampton Jitney, Inc.",Full Reporter,Urban,CB,DO,14,29,43
20226,"SeaStreak, LLC",Full Reporter,Urban,FB,DO,2,0,2
22930,New York City Economic Development Corporation,Full Reporter,Urban,FB,PT,1,134,135
22930,New York City Economic Development Corporation,Full Reporter,Urban,MB,PT,0,8,8
30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,DR,DO,3,6,9
30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,MB,DO,180,672,852
30002,The Tri-State Transit Authority,Full Reporter,Urban,DR,DO,2,51,53
30002,The Tri-State Transit Authority,Full Reporter,Urban,MB,DO,16,396,412
30006,Greater Richmond Transit Company,Full Reporter,Urban,DR,PT,84,16,100
30006,Greater Richmond Transit Company,Full Reporter,Urban,MB,DO,313,784,1097
30006,Greater Richmond Transit Company,Full Reporter,Urban,MB,PT,0,0,0
30006,Greater Richmond Transit Company,Full Reporter,Urban,RB,DO,33,134,167
30006,Greater Richmond Transit Company,Full Reporter,Urban,VP,PT,0,10,10
30007,Greater Roanoke Transit Company,Full Reporter,Urban,DR,PT,8,61,69
30007,Greater Roanoke Transit Company,Full Reporter,Urban,MB,DO,32,120,152
30008,Greater Lynchburg Transit Company,Full Reporter,Urban,DR,DO,1,3,4
30008,Greater Lynchburg Transit Company,Full Reporter,Urban,MB,DO,146,313,459
30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,DR,PT,14,72,86
30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,MB,DO,46,245,291
30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,MB,PT,0,2,2
30011,Altoona Metro Transit,Full Reporter,Urban,DR,DO,1,1,2
30011,Altoona Metro Transit,Full Reporter,Urban,DR,PT,6,0,6
30011,Altoona Metro Transit,Full Reporter,Urban,MB,DO,14,23,37
30012,Cambria County Transit Authority,Full Reporter,Urban,DR,DO,17,1,18
30012,Cambria County Transit Authority,Full Reporter,Urban,IP,DO,2,0,2
30012,Cambria County Transit Authority,Full Reporter,Urban,MB,DO,240,176,416
30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,DR,DO,34,28,62
30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,MB,DO,278,259,537
30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,DR,DO,4,6,10
30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,DR,PT,34,20,54
30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,MB,DO,234,165,399
30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,MB,PT,1,1,2
30015,Luzerne County Transportation Authority,Full Reporter,Urban,DR,DO,8,4,12
30015,Luzerne County Transportation Authority,Full Reporter,Urban,MB,DO,116,227,343
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,CR,DO,57,29,86
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,DR,PT,315,158,473
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,HR,DO,16,2408,2424
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,MB,DO,4414,1854,6268
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,MB,PT,6,0,6
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,SR,DO,5,250,255
30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,TB,DO,157,38,195
30022,Port Authority of Allegheny County,Full Reporter,Urban,DR,PT,165,131,296
30022,Port Authority of Allegheny County,Full Reporter,Urban,IP,DO,2,0,2
30022,Port Authority of Allegheny County,Full Reporter,Urban,LR,DO,230,44,274
30022,Port Authority of Allegheny County,Full Reporter,Urban,MB,DO,1753,305,2058
30023,Beaver County Transit Authority,Full Reporter,Urban,DR,DO,2,5,7
30023,Beaver County Transit Authority,Full Reporter,Urban,MB,DO,7,9,16
30025,County of Lackawanna Transit System,Full Reporter,Urban,DR,DO,3,9,12
30025,County of Lackawanna Transit System,Full Reporter,Urban,DR,PT,0,3,3
30025,County of Lackawanna Transit System,Full Reporter,Urban,MB,DO,4,2,6
30025,County of Lackawanna Transit System,Full Reporter,Urban,MB,PT,3,1,4
30026,City of Williamsport,Full Reporter,Urban,DR,PT,0,0,0
30026,City of Williamsport,Full Reporter,Urban,MB,DO,6,1,7
30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,CB,DO,8,8,16
30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,DR,DO,29,17,46
30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,DR,PT,3,6,9
30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,MB,DO,61,380,441
30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,DR,PT,190,706,896
30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,HR,DO,260,11,271
30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,MB,DO,3421,1481,4902
30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,MB,PT,223,108,331
30034,Maryland Transit Administration,Full Reporter,Urban,CB,PT,334,518,852
30034,Maryland Transit Administration,Full Reporter,Urban,CR,PT,73,0,73
30034,Maryland Transit Administration,Full Reporter,Urban,DR,DO,6,9,15
30034,Maryland Transit Administration,Full Reporter,Urban,DR,PT,445,362,807
30034,Maryland Transit Administration,Full Reporter,Urban,HR,DO,241,365,606
30034,Maryland Transit Administration,Full Reporter,Urban,LR,DO,297,280,577
30034,Maryland Transit Administration,Full Reporter,Urban,MB,DO,3362,3507,6869
30035,Ohio Valley Regional Transportation Authority,Full Reporter,Urban,DR,DO,0,1,1
30035,Ohio Valley Regional Transportation Authority,Full Reporter,Urban,MB,DO,1,71,72
30044,Westmoreland County ,Full Reporter,Urban,DR,DO,8,84,92
30044,Westmoreland County ,Full Reporter,Urban,MB,DO,9,87,96
30044,Westmoreland County ,Full Reporter,Urban,MB,PT,12,110,122
30045,"JAUNT, Inc.",Full Reporter,Urban,CB,DO,2,0,2
30045,"JAUNT, Inc.",Full Reporter,Urban,DR,DO,11,0,11
30048,County of Howard,Full Reporter,Urban,DR,PT,9,4,13
30048,County of Howard,Full Reporter,Urban,MB,PT,101,195,296
30051,"Montgomery County, Maryland",Full Reporter,Urban,DR,DO,0,0,0
30051,"Montgomery County, Maryland",Full Reporter,Urban,MB,DO,162,1141,1303
30054,Centre Area Transportation Authority,Full Reporter,Urban,DR,PT,1,1,2
30054,Centre Area Transportation Authority,Full Reporter,Urban,MB,DO,116,112,228
30054,Centre Area Transportation Authority,Full Reporter,Urban,VP,DO,3,0,3
30057,Pennsylvania Department of Transportation,Full Reporter,Urban,CR,PT,4,0,4
30058,City of Fairfax,Full Reporter,Urban,MB,DO,86,61,147
30061,Mid Mon Valley Transit Authority,Full Reporter,Urban,MB,PT,55,34,89
30068,"Fairfax County, VA",Full Reporter,Urban,MB,PT,1947,223,2170
30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,CB,PT,160,32,192
30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,DR,PT,0,0,0
30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,MB,PT,131,24,155
30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,VP,PT,22,14,36
30071,City of Alexandria ,Full Reporter,Urban,MB,DO,134,20,154
