State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Sponsor NTD ID,Sponsor Name,Primary Mode Served,Secondary Modes Served,Facility ID,Facility Type,Facility Name,Street Address,City,State,ZIP Code,Latitude,Longitude,Non-Agency Mode Served,Private Modes Served,Administrative/Maintenance Facility Flag,Passenger/Parking Facility Flag,Square Feet,Number of Parking Spaces,Section of a Larger Facility,Year Built or Reconstructed as New,Percent Agency Capital Responsibility,Cross Agency Facility Flag,Condition Assessment Date,Condition Assessment,Separate Asset Flag,Notes
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2924,Vehicle Fueling Facility,Bellevue Base/Fuel Building,1790 124 Av Ne,Bellevue,WA,98005,47.62596,-122.1727,,,1,0,3600,,1,1983,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2925,General Purpose Maintenance Facility/Depot,"Bellevue Base Maintenance Building 23,450 sf",1790 124 Av Ne,Bellevue,WA,98005,47.62596,-122.1727,,,1,0,23450,,1,1983,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2927,Vehicle Washing Facility,Bellevue Base/Wash Building,1790 124 Av Ne,Bellevue,WA,98005,47.62596,-122.1727,,,1,0,3600,,1,1983,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2928,Vehicle Washing Facility,Central Base Wash Building,1500 6 Av S,Seattle,WA,98134,,,,,1,0,3600,,1,1990,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2930,Vehicle Fueling Facility,Central Base/Fuel Building,1500 6 Av S,Seattle,WA,98134,,,,,1,0,3750,,1,1990,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2931,General Purpose Maintenance Facility/Depot,Central Base/Vehicle Maintenance Building,1500 6 Av S,Seattle,WA,98134,47.5888,-122.3241,,,1,0,42550,,1,1990,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2932,Vehicle Fueling Facility,"East Base Fuel & Wash Building 10,000 sf",1975 124Th Ave Ne,Bellevue,WA,98005,47.62757,-122.1789,,,1,0,10000,,1,1978,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2934,General Purpose Maintenance Facility/Depot,"East Base Maintenance Building 68,300 sf",1975 124 Av Ne,Bellevue,WA,98005,47.62757,-122.1789,,,1,0,68300,,1,1978,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2935,"Other, Administrative & Maintenance (describe in Notes)","East Base Operations Building 15,650 sf",1975 124 Av Ne,Bellevue,WA,98005,47.62757,-122.1789,,,1,0,15650,,1,1978,100,N,12/31/2016,4,N,Operations Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2937,General Purpose Maintenance Facility/Depot,"North Base Bus Garage 144,000 sf ",2160 N 163Rd St,Shoreline,WA,98133,47.7478,-122.3321,,,1,0,144000,,1,1990,100,N,12/31/2016,4,N,Bus Depot Garage
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2938,Vehicle Fueling Facility,"North Base Fuel & Wash Building 15,450 sf",2160 N 163Rd St,Shoreline,WA,98133,47.7478,-122.3321,,,1,0,15450,,1,1990,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2940,General Purpose Maintenance Facility/Depot,North Base/Maintenance Building,2160 N 163Rd St,Shoreline,WA,98133,47.7478,-122.3321,,,1,0,65400,,1,1990,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2941,"Other, Administrative & Maintenance (describe in Notes)","North Base Operations Building with corridor 16,350 sf",2160 N 163Rd St,Shoreline,WA,98133,47.7478,-122.3321,,,1,0,16350,,1,1990,100,N,12/31/2016,4,N,Operations Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2942,Vehicle Fueling Facility,Ryerson Base/Fuel Building,1220 4Th Ave S,Seattle,WA,98134,47.59078,-122.3282,,,1,0,4900,,1,1986,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2944,General Purpose Maintenance Facility/Depot,"Ryerson Base Maintenance Building 22,600 sf",1220 4Th Ave S,Seattle,WA,98134,47.59078,-122.3282,,,1,0,22600,,1,1986,100,N,12/31/2016,3,N,Operations Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2945,"Other, Administrative & Maintenance (describe in Notes)","Ryerson Base Operations Building 33,000 sf",1220 4Th Ave S,Seattle,WA,98134,47.59078,-122.3282,,,1,0,33000,,1,1986,100,N,12/31/2016,3,N,Operations Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2946,General Purpose Maintenance Facility/Depot,"Ryerson Base Wash Building 4,800 sf",1220 4Th Ave S,Seattle,WA,98134,47.59078,-122.3282,,,1,0,3400,,1,1986,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2949,Vehicle Fueling Facility,"South Base Fuel & Wash Building 10,150 sf",12100 E Marginal Wy S,Seattle,WA,98168,47.4945,-122.2845,,,1,0,10150,,1,1979,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2951,General Purpose Maintenance Facility/Depot,South Base/Vehicle Maintenance Building,12100 E Marginal Wy S,Seattle,WA,98168,47.4945,-122.2845,,,1,0,57000,,1,1979,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2952,General Purpose Maintenance Facility/Depot,"South Base Operations Building 15,750 sf",12100 E Marginal Wy S,Seattle,WA,98168,47.4945,-122.2845,,,1,0,15750,,1,1979,100,N,12/31/2016,4,N,Operations Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2955,General Purpose Maintenance Facility/Depot,"Non-Revenue Vehicle Maintenance 16,110 sf",640 S Massachusetts St,Seattle,WA,98134,47.59017,-122.3243,,,1,0,16110,,1,1990,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2956,Revenue Collection Facility,"Revenue Processing Building 6,250 sf",640 S Massachusetts St,Seattle,WA,98134,47.59017,-122.3243,,,1,0,6250,,1,1990,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2957,Administrative Office / Sales Office,"Information Distribution 7,250 sf",W Of 6Th Ave S,Seattle,WA,98134,47.58955,-122.3266,,,1,0,7250,,1,1978,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2958,"Other, Administrative & Maintenance (describe in Notes)","Transit Control Center  14,200 sf",W Of 6Th Ave S,Seattle,WA,98134,47.59075,-122.3266,,,1,0,14200,,1,2011,100,N,12/31/2016,4,N,Metro Transit Control Center
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,TB,2959,Heavy Maintenance & Overhaul (Backshop),"Component Supply Center  110,750 sf",12100 E Marginal Wy S,Seattle,WA,98168,47.4945,-122.2845,,,1,0,110750,,1,1979,100,N,12/31/2016,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2963,"Other, Administrative & Maintenance (describe in Notes)",North EOC TCC,2160 N 163Rd St,Shoreline,WA,98133,47.7478,-122.3321,,,1,0,700,,1,2005,100,N,,,N,Emergency Trans. Control Center
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2964,"Other, Administrative & Maintenance (describe in Notes)",North Facilities Maintenance,12525 Stone Ave N,Seattle,WA,98133,47.72063,-122.3431,,,1,0,19050,,0,2009,100,N,12/31/2016,4,N,Facility Maint
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2965,Administrative Office / Sales Office,"Power Distribution Headquarters 26,900 sf",2255 4Th Ave S,Seattle,WA,98134,47.5827,-122.3296,,,1,0,26900,,0,2004,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2970,"Other, Administrative & Maintenance (describe in Notes)",South Annex Flammable Storage ,11911 E Marginal Way S,Seattle,WA,98168,47.49636,-122.2895,,,1,0,1200,,1,1986,100,N,,,N,Flamable Storage
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2971,"Other, Administrative & Maintenance (describe in Notes)","South Annex Pesticide Storage Bldg, 900 sf",11911 E Marginal Way S,Seattle,WA,98168,47.49636,-122.2895,,,1,0,900,,1,1986,100,N,,,N,Pesticide storage
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2972,"Other, Administrative & Maintenance (describe in Notes)",Safety and Training Center Building,11911 E Marginal Wy S,Seattle,WA,98168,47.49636,-122.2895,,,1,0,16350,,1,1986,100,N,12/31/2016,4,N,Training Facility
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2973,"Other, Administrative & Maintenance (describe in Notes)",South Annex Training Classroom 900 sf,11911 E Marginal Wy S,Seattle,WA,98168,47.49636,-122.2895,,,1,0,900,,1,1986,100,N,,,N,Training Classroom
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2974,"Other, Administrative & Maintenance (describe in Notes)",South Facilities/Maintenance Building,11911 E Marginal Wy S,Seattle,WA,98168,47.49636,-122.2895,,,1,0,29950,,1,1998,100,N,12/31/2016,3,N,Facility Maint
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2975,"Other, Administrative & Maintenance (describe in Notes)",Vehicle Maintenance Warehouse,11911 E Marginal Way S,Seattle,WA,98168,47.49636,-122.2895,,,1,0,5050,,1,1986,100,N,,,N,VM Warehouse
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3014,Surface Parking Lot,Bothell  Park & Ride,10303 Woodinville Dr.,Bothell,WA,98011,47.7596,-122.201,,,0,1,,220,0,2005,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3015,Surface Parking Lot,Brickyard Park & Ride,15530 Juanita-Woodinville Way Ne,Bothell,WA,98011,47.741,-122.188,,,0,1,,443,0,2005,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3016,Surface Parking Lot,Green Lake Park and Ride,6601 8Th Ave Ne,Seattle,WA,98115,47.6757,-122.32,,,0,1,,411,0,1975,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3017,Surface Parking Lot,Kenmore  Park & Ride,7346 Ne Bothell Wy,Kenmore,WA,98028,47.7577,-122.243,,,0,1,,603,0,1985,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3019,Surface Parking Lot,North Seattle  Park & Ride,10001 1St Ave Ne,Seattle,WA,98133,47.70151,-122.3287,,,0,1,,102,0,1985,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3020,Surface Parking Lot,Shoreline Park and Ride,18821 Aurora Ave N,Seattle,WA,98133,47.7673,-122.347,,,0,1,,393,0,1981,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3021,Surface Parking Lot,5th Ave NE & NE 133rd St  Park & Ride,351 Ne 133Rd,Seattle,WA,98125,47.72623,-122.3238,,,0,1,,46,0,1976,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3022,Parking Structure,Woodinville  Park & Ride,17720 140Th Ave Ne,Woodinville,WA,98072,47.7565,-122.152,,,0,1,,438,0,1995,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3023,Surface Parking Lot,Bear Creek  Park & Ride,7760 178Th Pl Ne,Redmond,WA,98052,47.6741,-122.101,,,0,1,,283,0,1996,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3024,Parking Structure,Eastgate Park and Ride Garage,14200 Se Eastgate Wy,Bellevue,WA,98007,47.5803,-122.152,,,0,1,,1303,0,2007,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3025,Surface Parking Lot,Evergreen Point Bridge  Park & Ride,Sr 520 & 76Th Ave Ne,Bellevue,WA,98004,47.63673,-122.238,,,0,1,,48,0,2007,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3026,Surface Parking Lot,Houghton  Park & Ride,7024 116Th Ave Ne,Kirkland,WA,98033,47.6679,-122.185,,,0,1,,470,0,2008,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3027,Surface Parking Lot,Kingsgate  Park & Ride,13001 116Th Ne,Kirkland,WA,98034,47.7175,-122.188,,,0,1,,502,0,2011,100,N,4/1/2011,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3028,Surface Parking Lot,Kirkland Way  Park & Ride,I 405 & Ne 85Th St & Kirkland Wy,Kirkland,WA,98033,47.67894,-122.1876,,,0,1,,20,0,1994,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3029,Surface Parking Lot,Newport Hills  Park & Ride,5115 113Th Pl Sw,Bellevue,WA,98004,47.5568,-122.189,,,0,1,,275,0,1995,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3030,Parking Structure,724_Overlake  Garage(KC),2650 152Nd Ave Ne,Redmond,WA,98052,47.6328,-122.137,,,0,1,,203,0,1997,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3031,Surface Parking Lot,Preston  Park & Ride,30303 Se High Point Way,Issaquah,WA,98027,47.52856,-121.9377,,,0,1,,53,0,1981,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3032,Parking Structure,726_Redmond Park & Ride Garage (KC),16201 Ne 83Rd St,Redmond,WA,98052,47.67784,-122.124,,,0,1,,377,0,1998,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3033,Surface Parking Lot,South Kirkland  Park & Ride,3677 108Th Ave Ne,Bellevue,WA,98033,47.6441,-122.196,,,0,1,,310,0,2004,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3034,Surface Parking Lot,Wilburton  Park & Ride,720 114Th Ave Se,Bellevue,WA,98004,47.6029,-122.185,,,0,1,,186,0,1990,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3035,Surface Parking Lot,Auburn Park and Ride,101 15Th St Ne,Auburn,WA,98002,47.32151,-122.2273,,,0,1,,244,0,1985,100,N,12/31/2020,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3036,Surface Parking Lot,Duvall  Park & Ride,26325 Ne Woodinville Duvall Rd,Duvall,WA,98019,47.7431,-121.986,,,0,1,,49,0,1989,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3037,Bus Transfer Center,Burien Transit Center,209 Sw 148Th St,Burien,WA,98166,47.4719,-122.334,,,0,1,225858,,0,1990,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3038,Surface Parking Lot,Federal Way/South 320th Street Park & Ride,32320 23Rd Ave S,Federal Way,WA,98003,47.3126,-122.301,,,0,1,,877,0,1996,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3039,Surface Parking Lot,Kent / James Street Park & Ride,902 W James St,Kent,WA,98032,47.3856,-122.243,,,0,1,,713,0,1998,100,N,3/1/2020,3,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3040,Surface Parking Lot,Kent/Des Moines  Park & Ride,23405 Military Rd S,Kent,WA,98032,47.3915,-122.287,,,0,1,,404,0,1998,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3041,Surface Parking Lot,Maple Valley  Park & Ride,23033 Maple Valley Highwy,Maple Valley,WA,98038,47.39631,-122.0451,,,0,1,,122,0,1998,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3042,Surface Parking Lot,Ober Park  Park & Ride,17106 Vashon Hwy Sw,Vashon,WA,98070,47.4519,-122.46,,,0,1,,48,0,1998,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3043,Surface Parking Lot,Olson/Meyers Park & Ride,9000 Olson Pl Sw,Seattle,WA,98106,47.5199,-122.336,,,0,1,,100,0,2002,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3044,Surface Parking Lot,SR 18/Peasley Canyon Road Park & Ride, Peasley Canyon Rd/West Valley Hwy,Auburn,WA,98001,47.30221,-122.2576,,,0,1,,54,0,2008,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3045,Surface Parking Lot,South Federal Way  Park & Ride,901 S 348Th,Federal Way,WA,98003,47.2895,-122.322,,,0,1,,515,0,2008,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3046,Surface Parking Lot,Twin Lakes  Park & Ride,21St Ave Sw & Sw 344Th St,Federal Way,WA,98023,47.2944,-122.36,,,0,1,,600,0,2004,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3047,Surface Parking Lot,South Renton  Park & Ride,205 So 7Th St,Renton,WA,98055,47.4722,-122.213,,,0,1,,385,0,1993,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3048,Surface Parking Lot,Southwest Spokane St. Park & Ride,3599 26Th Ave Sw,Seattle,WA,98106,47.57152,-122.3651,,,0,1,,55,0,1981,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3050,Parking Structure,Tukwila  Park & Ride,13445 Interurban Ave S,Seattle,WA,98168,47.4822,-122.269,,,0,1,,267,0,1994,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3051,Surface Parking Lot,Valley Center  Park & Ride,20221 99Th Ave Sw,Vashon,WA,98070,47.4232,-122.461,,,0,1,,55,0,1995,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3052,Surface Parking Lot,Lake Meridian  Park & Ride,26805 132Nd Ave Se,Kent,WA,98042,47.3612,-122.166,,,0,1,,172,0,1995,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3053,Surface Parking Lot,Spokane/Airport  Park & Ride,Airport Wy S/S Spokane St,Seattle,WA,98134,47.5714,-122.3227,,,0,1,,25,0,1985,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3054,Surface Parking Lot,SR 18/Auburn-Black Diamond Rd Park & Ride,Sr 18/Auburn-Black Diamond Rd,Auburn,WA,98092,47.30021,-122.1819,,,0,1,,26,0,2006,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3055,Surface Parking Lot,Tahlequah  Park & Ride,1675 Newport Wy Nw,Vashon,WA,98070,47.3332,-122.507,,,0,1,,36,0,1997,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3056,Bus Transfer Center,Northgate Transit Center ,10200 1St Ave Ne,Seattle,WA,98115,47.702,-122.327,,,0,1,115833,,0,1992,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3057,Surface Parking Lot,Northgate TC Extension  Park & Ride,3Rd Ave Ne & Ne 103Rd St,Seattle,WA,98115,47.7032,-122.326,,,0,1,,448,0,2002,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3058,Bus Transfer Center,Aurora Village Transit Center,1524 N 200Th St,Shoreline,WA,98133,47.77466,-122.3416,,,0,1,173687,,1,1997,100,N,3/1/2020,4,N,"Previously reported Combined with adjacent P&R, Split in this years reporting"
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3059,Surface Parking Lot,Tibbetts Lot Park & Ride,Newport Wy Nw & 117Th Ave Nw,Issaquah,WA,98027,47.5406,-122.062,,,0,1,,170,0,1995,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3060,Parking Structure,Metropolitan Place Garage,232 Burnett Ave S,Renton,WA,98055,47.4805,-122.2079,,,0,1,,150,0,1997,0,N,,,N,Leased No capital resp
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3061,Parking Structure,Redondo Heights P&R,27454 Pacific Highway South,Federal Way,WA,98032,47.3552,-122.31,,,0,1,,697,0,2003,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3062,Parking Structure,Northgate Mall Garage  Park & Ride,300 Ne 103Rd St,Seattle,WA,98125,47.70361,-122.3263,,,0,1,,280,0,2000,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3063,Parking Structure,Issaquah Highlands Parking Garage,1755 Highlands Drive Ne,Issaquah,WA,98029,47.5451,-122.019,,,0,1,,1010,1,2014,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3064,Parking Structure,Thornton Place Garage  Park & Ride,3Rd Ave Ne And Ne 100Th St,Seattle,WA,98125,47.7,-122.325,,,0,1,,350,0,2004,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3065,Surface Parking Lot,South Sammamish  Park & Ride,3015 228Th Ave Se,Sammamish,WA,98074,,,,,0,1,,265,0,1996,100,N,3/1/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3066,Surface Parking Lot,North Bend  Park & Ride,W North Bend Way & Sydney Ave,North,WA,98045,,,,,0,1,,80,0,1982,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3067,Parking Structure,Issaquah Transit Center (ST),1050 17Th Ave Nw,Issaquah,WA,98027,47.5429,-122.062,,,0,1,,819,0,1980,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3068,Parking Structure,Mercer Island Park & Ride (ST),7800 N Mercer Wy,Mercer Island,WA,98040,47.5885,-122.232,,,0,1,,447,0,1989,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3069,Surface Parking Lot,Tukwila Surface Lot at Tukwila Station (ST),7301 S 158Th St,Tukwila,WA,98188,47.4604,-122.2399,,,0,1,,390,0,2006,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3070,Parking Structure,Kent Garage at Kent Station (ST),301 Railroad Ave N,Kent,WA,98032,47.3832,-122.232,,,0,1,,877,1,2007,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3071,Surface Parking Lot,Kent Surface Lot at Kent Station (ST),301 Railroad Ave N,Kent,WA,98032,47.3832,-122.232,,,0,1,,119,1,2010,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3073,Surface Parking Lot,Auburn Station Park and Ride,23 A St Sw,Auburn,WA,98001,47.3072,-122.231,,,0,1,,113,1,2012,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3074,Bus Transfer Center,Federal Way Transit Center,31261 23Rd Ave S,Federal Way,WA,98003,47.3176,-122.305,,,0,1,142881,,1,2006,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,3075,Surface Parking Lot,Tukwila International Blvd Station Park & Ride,15426 35Th Ave S,Tukwila,WA,98188,47.4651,-122.289,,,0,1,,600,0,2013,0,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,18328,Surface Parking Lot,City Center Parking Garage,655 S 2Nd St,Renton,WA,98057,47.4805,-122.2079,,,0,1,,250,0,2004,0,N,,,N,Leased Space for parking to support Renton Transit Center
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,18329,"Other, Administrative & Maintenance (describe in Notes)",Bellevue Base Operations Building,1790 124Th Ave Ne,Bellevue,WA,98005,47.62596,-122.1727,,,1,0,365904,,0,1983,100,N,12/31/2016,4,N,Operations Building
